,Cas,,,,,,,,,Rétablissements,,,Décès,,,,,,,,,Hospitalisations incidentes,,,,,,,,,,,,,,,,,
Groupe d'âge,Cas F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Cas H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Cas total CUMUL,Taux pour 100 000 CUMUL,Rétablis F CUMUL,Rétablis H CUMUL,Rétablis T CUMUL,Décès F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Décès H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Décès total CUMUL,Taux pour 100 000 CUMUL,Hospit totales INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit totales INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit totales INC T CUMUL,Taux pour 100 000 CUMUL,Hospit SI INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit SI INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit SI INC T CUMUL,Taux pour 100 000 CUMUL
0-9 ans,1334,48.3,305.41,1428,51.7,312.34,2,2764,309.18,1189,1249,2440,0,          . ,0.00,0,          . ,0.00,0,0,0.00,15,31.9,3.43,32,68.1,7.00,0,47,5.26,3,33.3,0.69,6,66.7,1.31,0,9,1.01
10-19 ans,2700,52.6,626.97,2432,47.4,543.21,2,5134,584.51,2171,1974,4147,0,0.0,0.00,1,100.0,0.22,0,1,0.11,19,52.8,4.41,17,47.2,3.80,0,36,4.10,3,50.0,0.70,3,50.0,0.67,0,6,0.68
20-29 ans,6448,55.4,1266.86,5181,44.6,946.71,34,11663,1104.20,5742,4590,10360,1,33.3,0.20,2,66.7,0.37,0,3,0.28,106,69.3,20.83,47,30.7,8.59,0,153,14.49,15,53.6,2.95,13,46.4,2.38,0,28,2.65
30-39 ans,5516,56.4,1008.09,4269,43.6,750.61,21,9806,878.75,5024,3871,8917,4,66.7,0.73,2,33.3,0.35,0,6,0.54,154,60.4,28.14,101,39.6,17.76,0,255,22.85,21,39.6,3.84,32,60.4,5.63,0,53,4.75
40-49 ans,6168,57.4,1138.36,4582,42.6,819.68,21,10771,978.44,5716,4181,9916,6,30.0,1.11,14,70.0,2.50,0,20,1.82,164,39.7,30.27,249,60.3,44.54,0,413,37.52,36,33.6,6.64,71,66.4,12.70,0,107,9.72
50-59 ans,5491,54.8,935.41,4527,45.2,760.79,7,10025,848.10,5069,4119,9195,47,43.1,8.01,62,56.9,10.42,0,109,9.22,292,40.2,49.74,435,59.8,73.10,0,727,61.50,65,31.7,11.07,140,68.3,23.53,0,205,17.34
60-69 ans,3014,49.8,520.37,3033,50.2,533.54,4,6051,527.24,2687,2601,5292,135,38.6,23.31,215,61.4,37.82,0,350,30.50,383,41.3,66.12,545,58.7,95.87,0,928,80.86,84,33.2,14.50,169,66.8,29.73,0,253,22.04
70-79 ans,2605,51.4,663.54,2465,48.6,682.62,0,5070,672.68,1974,1725,3699,456,43.4,116.15,594,56.6,164.49,0,1050,139.31,650,46.4,165.57,751,53.6,207.97,0,1401,185.88,121,41.9,30.82,168,58.1,46.52,0,289,38.34
80-89 ans,4611,64.4,2434.81,2546,35.6,1840.97,2,7159,2184.79,3160,1299,4460,1209,51.7,638.41,1130,48.3,817.08,1,2340,714.12,1084,57.9,572.40,787,42.1,569.07,0,1871,570.99,68,49.6,35.91,69,50.4,49.89,0,137,41.81
90 ans et plus,3774,76.5,6479.41,1158,23.5,4741.24,2,4934,5968.31,2328,514,2843,1340,68.6,2300.59,614,31.4,2513.92,0,1954,2363.61,653,68.7,1121.11,297,31.3,1216.02,0,950,1149.15,11,52.4,18.89,10,47.6,40.94,0,21,25.40
Inconnu,38,53.5,         .  ,33,46.5,         .  ,2,73,         .  ,437,387,826,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  ,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  ,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  
Total,41699,56.8,976.14,31654,43.2,741.79,97,73450,860.16,35497,26510,62095,3198,54.8,74.86,2634,45.2,61.73,1,5833,68.31,3520,51.9,82.40,3261,48.1,76.42,0,6781,79.41,427,38.5,10.00,681,61.5,15.96,0,1108,12.98
Taux standardisés,           .,          . ,942.08,           .,          . ,758.33,           .,           .,854.44,           .,           .,           .,           .,          . ,56.11,           .,          . ,70.53,           .,           .,62.37,           .,          . ,70.22,           .,          . ,80.71,           .,           .,75.22,           .,          . ,9.25,           .,          . ,16.01,           .,           .,12.53
