,Cas,,,,,,,,,Rétablissements,,,Décès,,,,,,,,,Hospitalisations incidentes,,,,,,,,,,,,,,,,,,,,,,,,,,
Groupe d'âge,Cas F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Cas H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Cas total CUMUL,Taux pour 100 000 CUMUL,Rétablis F CUMUL,Rétablis H CUMUL,Rétablis T CUMUL,Décès F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Décès H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Décès total CUMUL,Taux pour 100 000 CUMUL,Hospit totales INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit totales INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit totales INC T CUMUL,Taux pour 100 000 CUMUL,Hospit SI INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit SI INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit SI INC T CUMUL,Taux pour 100 000 CUMUL,Hospit hors SI INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit hors SI INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit hors SI INC T CUMUL,Taux pour 100 000 CUMUL
0-9 ans          ,1579,47.4,361.51,1753,52.6,383.43,1,3333,372.83,1413,1537,2951,0,          . ,0.00,0,          . ,0.00,0,0,0.00,18,32.7,4.12,37,67.3,8.09,0,55,6.15,3,30.0,0.69,7,70.0,1.53,0,10,1.12,15,33.3,3.43,30,66.7,6.56,0,45,5.03
10-19 ans        ,3669,51.8,851.99,3409,48.2,761.43,3,7081,806.17,3075,2796,5873,0,0.0,0.00,1,100.0,0.22,0,1,0.11,25,52.1,5.81,23,47.9,5.14,0,48,5.46,3,37.5,0.70,5,62.5,1.12,0,8,0.91,22,55.0,5.11,18,45.0,4.02,0,40,4.55
20-29 ans        ,7745,54.7,1521.69,6416,45.3,1172.38,34,14195,1343.92,6987,5706,12724,1,33.3,0.20,2,66.7,0.37,0,3,0.28,132,68.0,25.93,62,32.0,11.33,0,194,18.37,18,51.4,3.54,17,48.6,3.11,0,35,3.31,114,71.7,22.40,45,28.3,8.22,0,159,15.05
30-39 ans        ,6480,55.5,1184.27,5202,44.5,914.66,23,11705,1048.92,5874,4655,10552,4,66.7,0.73,2,33.3,0.35,0,6,0.54,183,58.3,33.44,131,41.7,23.03,0,314,28.14,24,34.8,4.39,45,65.2,7.91,0,69,6.18,159,64.9,29.06,86,35.1,15.12,0,245,21.96
40-49 ans        ,7094,56.5,1309.26,5469,43.5,978.36,21,12584,1143.14,6504,4897,11421,6,30.0,1.11,14,70.0,2.50,0,20,1.82,202,38.6,37.28,321,61.4,57.42,0,523,47.51,45,32.1,8.31,95,67.9,16.99,0,140,12.72,157,41.0,28.98,226,59.0,40.43,0,383,34.79
50-59 ans        ,6240,53.9,1063.01,5327,46.1,895.24,8,11575,979.23,5713,4768,10489,47,43.1,8.01,62,56.9,10.42,0,109,9.22,384,40.7,65.42,560,59.3,94.11,0,944,79.86,88,32.6,14.99,182,67.4,30.59,0,270,22.84,296,43.9,50.42,378,56.1,63.53,0,674,57.02
60-69 ans        ,3505,49.3,605.14,3608,50.7,634.69,4,7117,620.12,3031,2996,6031,139,39.0,24.00,217,61.0,38.17,0,356,31.02,514,41.0,88.74,739,59.0,130.00,0,1253,109.18,124,33.3,21.41,248,66.7,43.63,0,372,32.41,390,44.3,67.33,491,55.7,86.37,0,881,76.76
70-79 ans        ,2908,51.2,740.72,2767,48.8,766.25,1,5676,753.08,2201,1911,4112,469,43.6,119.46,607,56.4,168.09,0,1076,142.76,824,45.3,209.89,996,54.7,275.82,0,1820,241.48,154,37.1,39.23,261,62.9,72.28,0,415,55.06,670,47.7,170.66,735,52.3,203.54,0,1405,186.41
80-89 ans        ,4877,64.1,2575.27,2733,35.9,1976.18,2,7612,2323.03,3259,1334,4594,1236,51.7,652.66,1153,48.3,833.71,1,2390,729.38,1287,56.2,679.59,1002,43.8,724.53,0,2289,698.56,88,48.6,46.47,93,51.4,67.25,0,181,55.24,1199,56.9,633.13,909,43.1,657.28,0,2108,643.32
90 ans et plus   ,3944,76.2,6771.28,1234,23.8,5052.41,2,5180,6265.88,2378,527,2907,1357,68.3,2329.77,629,31.7,2575.34,0,1986,2402.32,771,68.0,1323.70,362,32.0,1482.15,0,1133,1370.51,15,45.5,25.75,18,54.5,73.70,0,33,39.92,756,68.7,1297.94,344,31.3,1408.45,0,1100,1330.59
Inconnu          ,41,56.2,         .  ,32,43.8,         .  ,2,75,         .  ,111,72,185,2,33.3,         .  ,4,66.7,         .  ,0,6,         .  ,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  ,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  ,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  
