,Cas,,,,,,,,,Rétablissements,,,Décès,,,,,,,,,Hospitalisations incidentes,,,,,,,,,,,,,,,,,,,,,,,,,,
Groupe d'âge,Cas F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Cas H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Cas total CUMUL,Taux pour 100 000 CUMUL,Rétablis F CUMUL,Rétablis H CUMUL,Rétablis T CUMUL,Décès F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Décès H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Décès total CUMUL,Taux pour 100 000 CUMUL,Hospit totales INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit totales INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit totales INC T CUMUL,Taux pour 100 000 CUMUL,Hospit SI INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit SI INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit SI INC T CUMUL,Taux pour 100 000 CUMUL,Hospit hors SI INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit hors SI INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit hors SI INC T CUMUL,Taux pour 100 000 CUMUL
0-9 ans          ,3290,47.6,753.23,3624,52.4,792.66,2,6916,773.62,2848,3195,6045,0,          . ,0.00,0,          . ,0.00,0,0,0.00,30,39.0,6.87,47,61.0,10.28,0,77,8.61,3,27.3,0.69,8,72.7,1.75,0,11,1.23,27,40.9,6.18,39,59.1,8.53,0,66,7.38
10-19 ans        ,6961,50.8,1616.43,6747,49.2,1507.00,3,13711,1561.00,6205,6029,12237,0,0.0,0.00,1,100.0,0.22,0,1,0.11,32,54.2,7.43,27,45.8,6.03,0,59,6.72,3,37.5,0.70,5,62.5,1.12,0,8,0.91,29,56.9,6.73,22,43.1,4.91,0,51,5.81
20-29 ans        ,11098,54.2,2180.47,9393,45.8,1716.35,35,20526,1943.31,10390,8753,19176,1,33.3,0.20,2,66.7,0.37,0,3,0.28,153,66.2,30.06,78,33.8,14.25,0,231,21.87,18,47.4,3.54,20,52.6,3.65,0,38,3.60,135,69.9,26.52,58,30.1,10.60,0,193,18.27
30-39 ans        ,9916,55.6,1812.22,7922,44.4,1392.92,23,17861,1600.58,9112,7308,16444,5,71.4,0.91,2,28.6,0.35,0,7,0.63,231,58.5,42.22,164,41.5,28.84,0,395,35.40,26,33.3,4.75,52,66.7,9.14,0,78,6.99,205,64.7,37.47,112,35.3,19.69,0,317,28.41
40-49 ans        ,10743,55.8,1982.71,8523,44.2,1524.69,23,19289,1752.22,9952,7868,17841,11,42.3,2.03,15,57.7,2.68,0,26,2.36,242,39.2,44.66,375,60.8,67.08,0,617,56.05,50,31.4,9.23,109,68.6,19.50,0,159,14.44,192,41.9,35.44,266,58.1,47.59,0,458,41.60
50-59 ans        ,9173,52.9,1562.65,8174,47.1,1373.70,11,17358,1468.46,8390,7469,15870,57,45.6,9.71,68,54.4,11.43,0,125,10.57,468,40.3,79.73,694,59.7,116.63,0,1162,98.30,101,32.7,17.21,208,67.3,34.96,0,309,26.14,367,43.0,62.52,486,57.0,81.68,0,853,72.16
60-69 ans        ,5270,48.7,909.86,5547,51.3,975.78,4,10821,942.86,4657,4800,9461,156,39.0,26.93,244,61.0,42.92,0,400,34.85,653,40.7,112.74,950,59.3,167.12,0,1603,139.67,150,33.3,25.90,300,66.7,52.77,0,450,39.21,503,43.6,86.84,650,56.4,114.34,0,1153,100.46
70-79 ans        ,4088,50.9,1041.28,3941,49.1,1091.36,1,8030,1065.41,3135,2873,6009,554,43.8,141.11,710,56.2,196.62,0,1264,167.71,1082,45.6,275.60,1291,54.4,357.51,0,2373,314.85,195,37.3,49.67,328,62.7,90.83,0,523,69.39,887,47.9,225.93,963,52.1,266.68,0,1850,245.46
80-89 ans        ,6250,63.3,3300.28,3625,36.7,2621.17,2,9877,3014.27,4059,1793,5853,1389,51.4,733.45,1314,48.6,950.13,1,2704,825.21,1572,54.1,830.09,1335,45.9,965.31,0,2907,887.16,117,47.0,61.78,132,53.0,95.45,0,249,75.99,1455,54.7,768.30,1203,45.3,869.87,0,2658,811.17
