,Cas,,,,,,,,,Rétablissements,,,Décès,,,,,,,,,Hospitalisations incidentes,,,,,,,,,,,,,,,,,,,,,,,,,,
Groupe d'âge,Cas F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Cas H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Cas total CUMUL,Taux pour 100 000 CUMUL,Rétablis F CUMUL,Rétablis H CUMUL,Rétablis T CUMUL,Décès F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Décès H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Décès total CUMUL,Taux pour 100 000 CUMUL,Hospit totales INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit totales INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit totales INC T CUMUL,Taux pour 100 000 CUMUL,Hospit SI INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit SI INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit SI INC T CUMUL,Taux pour 100 000 CUMUL,Hospit hors SI INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit hors SI INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit hors SI INC T CUMUL,Taux pour 100 000 CUMUL
0-9 ans          ,2245,47.6,513.98,2470,52.4,540.25,3,4718,527.75,1920,2137,4059,0,          . ,0.00,0,          . ,0.00,0,0,0.00,24,35.3,5.49,44,64.7,9.62,0,68,7.61,3,27.3,0.69,8,72.7,1.75,0,11,1.23,21,36.8,4.81,36,63.2,7.87,0,57,6.38
10-19 ans        ,5156,51.0,1197.29,4944,49.0,1104.29,3,10103,1150.22,4520,4315,8838,0,0.0,0.00,1,100.0,0.22,0,1,0.11,28,53.8,6.50,24,46.2,5.36,0,52,5.92,3,37.5,0.70,5,62.5,1.12,0,8,0.91,25,56.8,5.81,19,43.2,4.24,0,44,5.01
20-29 ans        ,9260,54.2,1819.35,7821,45.8,1429.11,33,17114,1620.28,8685,7305,16022,1,33.3,0.20,2,66.7,0.37,0,3,0.28,141,65.9,27.70,73,34.1,13.34,0,214,20.26,18,50.0,3.54,18,50.0,3.29,0,36,3.41,123,69.1,24.17,55,30.9,10.05,0,178,16.85
30-39 ans        ,7982,55.4,1458.77,6436,44.6,1131.64,23,14441,1294.10,7333,5962,13319,5,71.4,0.91,2,28.6,0.35,0,7,0.63,213,58.5,38.93,151,41.5,26.55,0,364,32.62,25,34.7,4.57,47,65.3,8.26,0,72,6.45,188,64.4,34.36,104,35.6,18.29,0,292,26.17
40-49 ans        ,8740,56.0,1613.04,6864,44.0,1227.91,21,15625,1419.38,8051,6282,14354,9,37.5,1.66,15,62.5,2.68,0,24,2.18,220,38.3,40.60,355,61.7,63.51,0,575,52.23,49,31.8,9.04,105,68.2,18.78,0,154,13.99,171,40.6,31.56,250,59.4,44.72,0,421,38.24
50-59 ans        ,7549,53.0,1286.00,6696,47.0,1125.31,10,14255,1205.95,6927,6046,12983,50,43.9,8.52,64,56.1,10.76,0,114,9.64,417,39.8,71.04,632,60.2,106.21,0,1049,88.74,89,31.4,15.16,194,68.6,32.60,0,283,23.94,328,42.8,55.88,438,57.2,73.61,0,766,64.80
60-69 ans        ,4273,48.8,737.73,4476,51.2,787.38,4,8753,762.67,3784,3852,7640,146,38.9,25.21,229,61.1,40.28,0,375,32.67,577,40.6,99.62,843,59.4,148.29,0,1420,123.73,137,33.2,23.65,276,66.8,48.55,0,413,35.99,440,43.7,75.97,567,56.3,99.74,0,1007,87.74
70-79 ans        ,3411,50.9,868.84,3290,49.1,911.08,1,6702,889.21,2645,2343,4989,500,43.6,127.36,646,56.4,178.89,0,1146,152.05,943,45.3,240.20,1137,54.7,314.86,0,2080,275.97,172,36.2,43.81,303,63.8,83.91,0,475,63.02,771,48.0,196.39,834,52.0,230.96,0,1605,212.95
80-89 ans        ,5438,63.6,2871.51,3117,36.4,2253.84,2,8557,2611.43,3547,1515,5063,1280,51.2,675.90,1218,48.8,880.71,1,2499,762.65,1418,55.4,748.77,1143,44.6,826.48,0,2561,781.57,106,48.0,55.97,115,52.0,83.15,0,221,67.44,1312,56.1,692.79,1028,43.9,743.33,0,2340,714.12
