,Cas,,,,,,,,,Rétablissements,,,Décès,,,,,,,,,Hospitalisations incidentes,,,,,,,,,,,,,,,,,,,,,,,,,,
Groupe d'âge,Cas F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Cas H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Cas total CUMUL,Taux pour 100 000 CUMUL,Rétablis F CUMUL,Rétablis H CUMUL,Rétablis T CUMUL,Décès F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Décès H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Décès total CUMUL,Taux pour 100 000 CUMUL,Hospit totales INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit totales INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit totales INC T CUMUL,Taux pour 100 000 CUMUL,Hospit SI INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit SI INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit SI INC T CUMUL,Taux pour 100 000 CUMUL,Hospit hors SI INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit hors SI INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit hors SI INC T CUMUL,Taux pour 100 000 CUMUL
0-9 ans          ,1420,47.8,325.10,1549,52.2,338.81,2,2971,332.34,1277,1375,2654,0,          . ,0.00,0,          . ,0.00,0,0,0.00,15,30.6,3.43,34,69.4,7.44,0,49,5.48,3,33.3,0.69,6,66.7,1.31,0,9,1.01,12,30.0,2.75,28,70.0,6.12,0,40,4.47
10-19 ans        ,3092,52.6,718.00,2787,47.4,622.50,3,5882,669.66,2541,2286,4829,0,0.0,0.00,1,100.0,0.22,0,1,0.11,23,53.5,5.34,20,46.5,4.47,0,43,4.90,3,50.0,0.70,3,50.0,0.67,0,6,0.68,20,54.1,4.64,17,45.9,3.80,0,37,4.21
20-29 ans        ,6997,55.1,1374.73,5700,44.9,1041.54,32,12729,1205.13,6229,5000,11258,1,33.3,0.20,2,66.7,0.37,0,3,0.28,111,69.4,21.81,49,30.6,8.95,0,160,15.15,15,53.6,2.95,13,46.4,2.38,0,28,2.65,96,72.7,18.86,36,27.3,6.58,0,132,12.50
30-39 ans        ,5913,56.0,1080.65,4641,44.0,816.02,23,10577,947.84,5327,4134,9483,4,66.7,0.73,2,33.3,0.35,0,6,0.54,158,59.4,28.88,108,40.6,18.99,0,266,23.84,21,38.2,3.84,34,61.8,5.98,0,55,4.93,137,64.9,25.04,74,35.1,13.01,0,211,18.91
40-49 ans        ,6541,57.1,1207.20,4921,42.9,880.32,21,11483,1043.12,6006,4440,10466,6,28.6,1.11,15,71.4,2.68,0,21,1.91,172,40.0,31.74,258,60.0,46.15,0,430,39.06,37,33.6,6.83,73,66.4,13.06,0,110,9.99,135,42.2,24.92,185,57.8,33.09,0,320,29.07
50-59 ans        ,5782,54.4,984.99,4850,45.6,815.08,8,10640,900.13,5315,4326,9648,47,43.1,8.01,62,56.9,10.42,0,109,9.22,302,40.2,51.45,449,59.8,75.46,0,751,63.53,66,31.7,11.24,142,68.3,23.86,0,208,17.60,236,43.5,40.20,307,56.5,51.59,0,543,45.94
60-69 ans        ,3187,49.5,550.24,3245,50.5,570.83,4,6436,560.79,2808,2748,5560,137,38.7,23.65,217,61.3,38.17,0,354,30.85,401,41.3,69.23,571,58.7,100.45,0,972,84.69,91,34.1,15.71,176,65.9,30.96,0,267,23.26,310,44.0,53.52,395,56.0,69.49,0,705,61.43
70-79 ans        ,2725,51.5,694.10,2569,48.5,711.42,0,5294,702.40,2056,1790,3846,458,43.4,116.66,598,56.6,165.60,0,1056,140.11,669,45.8,170.41,793,54.2,219.60,0,1462,193.98,124,40.8,31.58,180,59.2,49.85,0,304,40.33,545,47.1,138.82,613,52.9,169.76,0,1158,153.64
80-89 ans        ,4719,64.2,2491.84,2626,35.8,1898.81,2,7347,2242.16,3219,1322,4542,1222,51.8,645.27,1139,48.2,823.59,1,2362,720.84,1116,57.5,589.30,824,42.5,595.82,0,1940,592.05,71,48.0,37.49,77,52.0,55.68,0,148,45.17,1045,58.3,551.81,747,41.7,540.14,0,1792,546.88
