,Cas,,,,,,,,,Rétablissements,,,Décès,,,,,,,,,Hospitalisations incidentes,,,,,,,,,,,,,,,,,,,,,,,,,,
Groupe d'âge,Cas F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Cas H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Cas total CUMUL,Taux pour 100 000 CUMUL,Rétablis F CUMUL,Rétablis H CUMUL,Rétablis T CUMUL,Décès F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Décès H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Décès total CUMUL,Taux pour 100 000 CUMUL,Hospit totales INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit totales INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit totales INC T CUMUL,Taux pour 100 000 CUMUL,Hospit SI INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit SI INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit SI INC T CUMUL,Taux pour 100 000 CUMUL,Hospit hors SI INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit hors SI INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit hors SI INC T CUMUL,Taux pour 100 000 CUMUL
0-9 ans          ,2411,47.4,551.99,2680,52.6,586.19,3,5094,569.81,2064,2300,4367,0,          . ,0.00,0,          . ,0.00,0,0,0.00,24,34.8,5.49,45,65.2,9.84,0,69,7.72,3,27.3,0.69,8,72.7,1.75,0,11,1.23,21,36.2,4.81,37,63.8,8.09,0,58,6.49
10-19 ans        ,5404,50.9,1254.88,5221,49.1,1166.16,3,10628,1210.00,4794,4584,9381,0,0.0,0.00,1,100.0,0.22,0,1,0.11,28,53.8,6.50,24,46.2,5.36,0,52,5.92,3,37.5,0.70,5,62.5,1.12,0,8,0.91,25,56.8,5.81,19,43.2,4.24,0,44,5.01
20-29 ans        ,9536,54.2,1873.58,8071,45.8,1474.79,33,17640,1670.08,8967,7565,16564,1,33.3,0.20,2,66.7,0.37,0,3,0.28,144,66.1,28.29,74,33.9,13.52,0,218,20.64,18,50.0,3.54,18,50.0,3.29,0,36,3.41,126,69.2,24.76,56,30.8,10.23,0,182,17.23
30-39 ans        ,8303,55.5,1517.44,6646,44.5,1168.56,25,14974,1341.87,7610,6176,13810,5,71.4,0.91,2,28.6,0.35,0,7,0.63,216,58.4,39.48,154,41.6,27.08,0,370,33.16,25,33.8,4.57,49,66.2,8.62,0,74,6.63,191,64.5,34.91,105,35.5,18.46,0,296,26.53
40-49 ans        ,9068,56.0,1673.58,7117,44.0,1273.17,21,16206,1472.16,8364,6531,14916,10,40.0,1.85,15,60.0,2.68,0,25,2.27,222,38.3,40.97,358,61.7,64.04,0,580,52.69,49,31.2,9.04,108,68.8,19.32,0,157,14.26,173,40.9,31.93,250,59.1,44.72,0,423,38.43
50-59 ans        ,7816,53.0,1331.48,6924,47.0,1163.63,11,14751,1247.92,7163,6296,13469,51,44.0,8.69,65,56.0,10.92,0,116,9.81,428,40.0,72.91,643,60.0,108.06,0,1071,90.61,91,31.5,15.50,198,68.5,33.28,0,289,24.45,337,43.1,57.41,445,56.9,74.79,0,782,66.16
60-69 ans        ,4409,48.7,761.21,4636,51.3,815.53,4,9049,788.47,3921,4002,7927,147,39.0,25.38,230,61.0,40.46,0,377,32.85,587,40.6,101.35,858,59.4,150.93,0,1445,125.91,139,33.2,24.00,280,66.8,49.26,0,419,36.51,448,43.7,77.35,578,56.3,101.68,0,1026,89.40
70-79 ans        ,3526,50.9,898.13,3403,49.1,942.38,1,6930,919.46,2706,2438,5145,509,43.5,129.65,661,56.5,183.05,0,1170,155.23,964,45.3,245.55,1164,54.7,322.34,0,2128,282.34,174,36.1,44.32,308,63.9,85.29,0,482,63.95,790,48.0,201.23,856,52.0,237.05,0,1646,218.39
80-89 ans        ,5569,63.6,2940.68,3187,36.4,2304.46,2,8758,2672.77,3589,1542,5132,1297,51.2,684.87,1237,48.8,894.45,1,2535,773.63,1438,55.2,759.33,1169,44.8,845.28,0,2607,795.61,108,47.6,57.03,119,52.4,86.05,0,227,69.28,1330,55.9,702.30,1050,44.1,759.24,0,2380,726.33
90 ans et plus   ,4408,75.9,7567.90,1402,24.1,5740.26,2,5812,7030.36,2566,598,3165,1425,68.0,2446.52,671,32.0,2747.30,0,2096,2535.38,849,66.9,1457.61,420,33.1,1719.62,0,1269,1535.02,16,45.7,27.47,19,54.3,77.79,0,35,42.34,833,67.5,1430.14,401,32.5,1641.83,0,1234,1492.68
Inconnu          ,41,55.4,         .  ,33,44.6,         .  ,2,76,         .  ,133,90,225,7,35.0,         .  ,13,65.0,         .  ,0,20,         .  ,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  ,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  ,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  
Total            ,60491,55.1,1416.04,49320,44.9,1155.78,107,109918,1287.24,51877,42122,94101,3452,54.4,80.81,2897,45.6,67.89,1,6350,74.36,4900,50.0,114.70,4909,50.0,115.04,0,9809,114.87,626,36.0,14.65,1112,64.0,26.06,0,1738,20.35,4274,53.0,100.05,3797,47.0,88.98,0,8071,94.52
Taux standardisés,           .,          . ,1382.89,           .,          . ,1174.83,           .,           .,1283.08,           .,           .,           .,           .,          . ,60.56,           .,          . ,77.18,           .,           .,67.67,           .,          . ,98.31,           .,          . ,121.01,           .,           .,108.81,           .,          . ,13.49,           .,          . ,26.03,           .,           .,19.54,           .,          . ,84.81,           .,          . ,94.98,           .,           .,89.27
