,Cas,,,,,,,,,Rétablissements,,,Décès,,,,,,,,,Hospitalisations incidentes,,,,,,,,,,,,,,,,,,,,,,,,,,
Groupe d'âge,Cas F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Cas H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Cas total CUMUL,Taux pour 100 000 CUMUL,Rétablis F CUMUL,Rétablis H CUMUL,Rétablis T CUMUL,Décès F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Décès H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Décès total CUMUL,Taux pour 100 000 CUMUL,Hospit totales INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit totales INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit totales INC T CUMUL,Taux pour 100 000 CUMUL,Hospit SI INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit SI INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit SI INC T CUMUL,Taux pour 100 000 CUMUL,Hospit hors SI INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit hors SI INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit hors SI INC T CUMUL,Taux pour 100 000 CUMUL
0-9 ans,2154,47.2,493.15,2407,52.8,526.47,2,4563,510.42,1857,2045,3903,0,          . ,0.00,0,          . ,0.00,0,0,0.00,24,35.8,5.49,43,64.2,9.41,0,67,7.49,3,27.3,0.69,8,72.7,1.75,0,11,1.23,21,37.5,4.81,35,62.5,7.66,0,56,6.26
10-19 ans,4989,51.1,1158.51,4778,48.9,1067.21,2,9769,1112.20,4382,4143,8527,0,0.0,0.00,1,100.0,0.22,0,1,0.11,27,52.9,6.27,24,47.1,5.36,0,51,5.81,3,37.5,0.70,5,62.5,1.12,0,8,0.91,24,55.8,5.57,19,44.2,4.24,0,43,4.90
20-29 ans,9108,54.2,1789.49,7684,45.8,1404.07,33,16825,1592.92,8497,7150,15679,1,33.3,0.20,2,66.7,0.37,0,3,0.28,141,66.2,27.70,72,33.8,13.16,0,213,20.17,18,50.0,3.54,18,50.0,3.29,0,36,3.41,123,69.5,24.17,54,30.5,9.87,0,177,16.76
30-39 ans,7788,55.2,1423.32,6308,44.8,1109.13,24,14120,1265.34,7170,5812,13006,5,71.4,0.91,2,28.6,0.35,0,7,0.63,208,58.8,38.01,146,41.2,25.67,0,354,31.72,25,34.7,4.57,47,65.3,8.26,0,72,6.45,183,64.9,33.44,99,35.1,17.41,0,282,25.27
40-49 ans,8561,56.0,1580.01,6718,44.0,1201.79,21,15300,1389.86,7865,6120,14006,9,37.5,1.66,15,62.5,2.68,0,24,2.18,218,38.2,40.23,352,61.8,62.97,0,570,51.78,48,31.4,8.86,105,68.6,18.78,0,153,13.90,170,40.8,31.37,247,59.2,44.19,0,417,37.88
50-59 ans,7404,53.1,1261.30,6548,46.9,1100.44,9,13961,1181.08,6781,5909,12699,50,44.2,8.52,63,55.8,10.59,0,113,9.56,414,39.9,70.53,623,60.1,104.70,0,1037,87.73,89,31.7,15.16,192,68.3,32.27,0,281,23.77,325,43.0,55.36,431,57.0,72.43,0,756,63.96
60-69 ans,4203,48.9,725.65,4395,51.1,773.13,4,8602,749.52,3707,3758,7469,144,38.7,24.86,228,61.3,40.11,0,372,32.41,572,40.8,98.76,831,59.2,146.18,0,1403,122.25,136,33.3,23.48,273,66.7,48.02,0,409,35.64,436,43.9,75.28,558,56.1,98.16,0,994,86.61
70-79 ans,3355,50.9,854.57,3232,49.1,895.02,1,6588,874.09,2592,2297,4890,498,43.6,126.85,643,56.4,178.06,0,1141,151.39,931,45.3,237.14,1123,54.7,310.99,0,2054,272.52,170,36.2,43.30,299,63.8,82.80,0,469,62.23,761,48.0,193.84,824,52.0,228.19,0,1585,210.30
80-89 ans,5371,63.7,2836.13,3061,36.3,2213.35,2,8434,2573.89,3506,1494,5001,1279,51.4,675.37,1207,48.6,872.76,1,2487,758.98,1404,55.5,741.37,1124,44.5,812.74,0,2528,771.50,105,48.2,55.44,113,51.8,81.71,0,218,66.53,1299,56.2,685.93,1011,43.8,731.04,0,2310,704.97
