,Cas,,,,,,,,,Rétablissements,,,Décès,,,,,,,,,Hospitalisations incidentes,,,,,,,,,,,,,,,,,,,,,,,,,,
Groupe d'âge,Cas F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Cas H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Cas total CUMUL,Taux pour 100 000 CUMUL,Rétablis F CUMUL,Rétablis H CUMUL,Rétablis T CUMUL,Décès F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Décès H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Décès total CUMUL,Taux pour 100 000 CUMUL,Hospit totales INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit totales INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit totales INC T CUMUL,Taux pour 100 000 CUMUL,Hospit SI INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit SI INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit SI INC T CUMUL,Taux pour 100 000 CUMUL,Hospit hors SI INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit hors SI INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit hors SI INC T CUMUL,Taux pour 100 000 CUMUL
0-9 ans,3790,47.8,867.71,4135,52.2,904.43,2,7927,886.71,3356,3693,7051,0,          . ,0.00,0,          . ,0.00,0,0,0.00,31,38.8,7.10,49,61.3,10.72,0,80,8.95,3,27.3,0.69,8,72.7,1.75,0,11,1.23,28,40.6,6.41,41,59.4,8.97,0,69,7.72
10-19 ans,7742,50.5,1797.79,7588,49.5,1694.85,3,15333,1745.66,7062,6895,13960,0,0.0,0.00,1,100.0,0.22,0,1,0.11,37,56.9,8.59,28,43.1,6.25,0,65,7.40,3,37.5,0.70,5,62.5,1.12,0,8,0.91,34,59.6,7.90,23,40.4,5.14,0,57,6.49
20-29 ans,12067,54.1,2370.85,10250,45.9,1872.95,35,22352,2116.19,11258,9517,20809,1,33.3,0.20,2,66.7,0.37,0,3,0.28,164,66.4,32.22,83,33.6,15.17,0,247,23.38,21,48.8,4.13,22,51.2,4.02,0,43,4.07,143,70.1,28.10,61,29.9,11.15,0,204,19.31
30-39 ans,10893,55.8,1990.78,8634,44.2,1518.11,22,19549,1751.85,10021,8026,18070,5,62.5,0.91,3,37.5,0.53,0,8,0.72,245,59.2,44.78,169,40.8,29.72,0,414,37.10,27,33.8,4.93,53,66.3,9.32,0,80,7.17,218,65.3,39.84,116,34.7,20.40,0,334,29.93
40-49 ans,11759,55.8,2170.23,9326,44.2,1668.34,24,21109,1917.55,10859,8597,19479,11,42.3,2.03,15,57.7,2.68,0,26,2.36,257,39.9,47.43,387,60.1,69.23,0,644,58.50,53,32.3,9.78,111,67.7,19.86,0,164,14.90,204,42.5,37.65,276,57.5,49.37,0,480,43.60
50-59 ans,10013,52.8,1705.75,8939,47.2,1502.26,11,18963,1604.25,9199,8175,17385,58,44.3,9.88,73,55.7,12.27,0,131,11.08,484,39.9,82.45,728,60.1,122.35,0,1212,102.53,105,32.3,17.89,220,67.7,36.97,0,325,27.49,379,42.7,64.56,508,57.3,85.37,0,887,75.04
60-69 ans,5777,48.9,997.40,6036,51.1,1061.80,4,11817,1029.65,5135,5284,10423,163,38.9,28.14,256,61.1,45.03,0,419,36.51,702,41.1,121.20,1008,58.9,177.32,0,1710,149.00,159,33.4,27.45,317,66.6,55.76,0,476,41.48,543,44.0,93.75,691,56.0,121.56,0,1234,107.52
70-79 ans,4437,51.0,1130.18,4270,49.0,1182.47,1,8708,1155.37,3436,3162,6599,579,44.0,147.48,737,56.0,204.09,0,1316,174.61,1164,45.7,296.49,1384,54.3,383.26,0,2548,338.07,204,37.4,51.96,342,62.6,94.71,0,546,72.44,960,48.0,244.53,1042,52.0,288.56,0,2002,265.62
80-89 ans,6762,63.0,3570.64,3971,37.0,2871.36,2,10735,3276.11,4350,1964,6315,1434,50.9,757.22,1384,49.1,1000.74,1,2819,860.30,1662,53.5,877.61,1444,46.5,1044.13,0,3106,947.89,120,45.1,63.37,146,54.9,105.57,0,266,81.18,1542,54.3,814.24,1298,45.7,938.56,0,2840,866.71
90 ans et plus,5233,75.0,8984.31,1747,25.0,7152.80,2,6982,8445.63,3032,737,3771,1563,67.3,2683.45,759,32.7,3107.60,0,2322,2808.76,982,65.5,1685.95,517,34.5,2116.77,0,1499,1813.23,19,45.2,32.62,23,54.8,94.17,0,42,50.80,963,66.1,1653.33,494,33.9,2022.60,0,1457,1762.43
Inconnu,39,54.9,         .  ,32,45.1,         .  ,2,73,         .  ,200,136,338,15,38.5,         .  ,24,61.5,         .  ,0,39,         .  ,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  ,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  ,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  
Total,78512,54.7,1837.90,64928,45.3,1521.55,108,143548,1681.07,67908,56186,124200,3829,54.1,89.63,3254,45.9,76.26,1,7084,82.96,5728,49.7,134.09,5797,50.3,135.85,0,11525,134.97,714,36.4,16.71,1247,63.6,29.22,0,1961,22.97,5014,52.4,117.37,4550,47.6,106.63,0,9564,112.00
Taux standardisés,           .,          . ,1802.21,           .,          . ,1544.93,           .,           .,1677.45,           .,           .,           .,           .,          . ,67.12,           .,          . ,86.53,           .,           .,75.31,           .,          . ,114.85,           .,          . ,143.26,           .,           .,127.65,           .,          . ,15.37,           .,          . ,29.25,           .,           .,22.03,           .,          . ,99.48,           .,          . ,114.01,           .,           .,105.62
