,Cas,,,,,,,,,Rétablissements,,,Décès,,,,,,,,,Hospitalisations incidentes,,,,,,,,,,,,,,,,,
Groupe d'âge,Cas F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Cas H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Cas total CUMUL,Taux pour 100 000 CUMUL,Rétablis F CUMUL,Rétablis H CUMUL,Rétablis T CUMUL,Décès F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Décès H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Décès total CUMUL,Taux pour 100 000 CUMUL,Hospit totales INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit totales INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit totales INC T CUMUL,Taux pour 100 000 CUMUL,Hospit SI INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit SI INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit SI INC T CUMUL,Taux pour 100 000 CUMUL
0-9 ans          ,1192,48.7,272.90,1255,51.3,274.50,3,2450,274.06,1093,1145,2240,0,          . ,0.00,0,          . ,0.00,0,0,0.00,15,33.3,3.43,30,66.7,6.56,0,45,5.03,3,37.5,0.69,5,62.5,1.09,0,8,0.89
10-19 ans        ,2245,52.7,521.32,2018,47.3,450.74,2,4265,485.57,1928,1736,3666,0,0.0,0.00,1,100.0,0.22,0,1,0.11,15,50.0,3.48,15,50.0,3.35,0,30,3.42,3,60.0,0.70,2,40.0,0.45,0,5,0.57
20-29 ans        ,5793,55.5,1138.17,4654,44.5,850.41,30,10477,991.92,5365,4228,9619,1,33.3,0.20,2,66.7,0.37,0,3,0.28,92,67.6,18.08,44,32.4,8.04,0,136,12.88,14,51.9,2.75,13,48.1,2.38,0,27,2.56
30-39 ans        ,5084,56.6,929.14,3894,43.4,684.68,22,9000,806.52,4831,3664,8517,4,66.7,0.73,2,33.3,0.35,0,6,0.54,151,59.9,27.60,101,40.1,17.76,0,252,22.58,21,39.6,3.84,32,60.4,5.63,0,53,4.75
40-49 ans        ,5796,57.8,1069.70,4231,42.2,756.89,18,10045,912.49,5537,4011,9566,6,30.0,1.11,14,70.0,2.50,0,20,1.82,162,40.2,29.90,241,59.8,43.11,0,403,36.61,35,33.7,6.46,69,66.3,12.34,0,104,9.45
50-59 ans        ,5171,54.9,880.90,4246,45.1,713.57,7,9424,797.26,4936,3993,8936,47,43.1,8.01,62,56.9,10.42,0,109,9.22,283,40.3,48.21,420,59.7,70.58,0,703,59.47,65,32.8,11.07,133,67.2,22.35,0,198,16.75
60-69 ans        ,2857,50.0,493.26,2862,50.0,503.46,4,5723,498.66,2612,2517,5133,135,38.6,23.31,215,61.4,37.82,0,350,30.50,371,41.0,64.05,533,59.0,93.76,0,904,78.77,82,33.2,14.16,165,66.8,29.03,0,247,21.52
70-79 ans        ,2481,51.3,631.95,2358,48.7,652.99,0,4839,642.03,1933,1692,3625,453,43.5,115.39,589,56.5,163.11,0,1042,138.25,629,46.1,160.22,735,53.9,203.54,0,1364,180.97,114,41.0,29.04,164,59.0,45.42,0,278,36.88
80-89 ans        ,4506,64.4,2379.37,2494,35.6,1803.37,2,7002,2136.87,3141,1291,4433,1204,51.8,635.77,1122,48.2,811.30,1,2327,710.15,1052,57.9,555.50,764,42.1,552.43,0,1816,554.21,65,50.0,34.32,65,50.0,47.00,0,130,39.67
90 ans et plus   ,3701,76.6,6354.08,1128,23.4,4618.41,2,4831,5843.72,2315,510,2826,1337,68.7,2295.44,609,31.3,2493.45,0,1946,2353.94,633,68.7,1086.77,288,31.3,1179.17,0,921,1114.07,8,47.1,13.73,9,52.9,36.85,0,17,20.56
Inconnu          ,38,54.3,         .  ,32,45.7,         .  ,2,72,         .  ,304,264,570,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  ,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  ,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  
Total            ,38864,57.1,909.77,29172,42.9,683.63,92,68128,797.84,33995,25051,59131,3187,54.9,74.60,2616,45.1,61.30,1,5804,67.97,3403,51.8,79.66,3171,48.2,74.31,0,6574,76.99,410,38.4,9.60,657,61.6,15.40,0,1067,12.50
Taux standardisés,           .,          . ,874.94,           .,          . ,700.09,           .,           .,791.74,           .,           .,           .,           .,          . ,55.91,           .,          . ,70.04,           .,           .,62.06,           .,          . ,67.84,           .,          . ,78.45,           .,           .,72.90,           .,          . ,8.92,           .,          . ,15.42,           .,           .,12.07
