,Cas,,,,,,,,,Rétablissements,,,Décès,,,,,,,,,Hospitalisations incidentes,,,,,,,,,,,,,,,,,,,,,,,,,,
Groupe d'âge,Cas F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Cas H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Cas total CUMUL,Taux pour 100 000 CUMUL,Rétablis F CUMUL,Rétablis H CUMUL,Rétablis T CUMUL,Décès F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Décès H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Décès total CUMUL,Taux pour 100 000 CUMUL,Hospit totales INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit totales INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit totales INC T CUMUL,Taux pour 100 000 CUMUL,Hospit SI INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit SI INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit SI INC T CUMUL,Taux pour 100 000 CUMUL,Hospit hors SI INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit hors SI INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit hors SI INC T CUMUL,Taux pour 100 000 CUMUL
0-9 ans          ,1527,47.6,349.60,1679,52.4,367.24,1,3207,358.73,1352,1456,2809,0,          . ,0.00,0,          . ,0.00,0,0,0.00,16,30.2,3.66,37,69.8,8.09,0,53,5.93,3,30.0,0.69,7,70.0,1.53,0,10,1.12,13,30.2,2.98,30,69.8,6.56,0,43,4.81
10-19 ans        ,3434,52.0,797.42,3173,48.0,708.72,2,6609,752.43,2809,2544,5355,0,0.0,0.00,1,100.0,0.22,0,1,0.11,24,54.5,5.57,20,45.5,4.47,0,44,5.01,3,50.0,0.70,3,50.0,0.67,0,6,0.68,21,55.3,4.88,17,44.7,3.80,0,38,4.33
20-29 ans        ,7459,54.9,1465.50,6131,45.1,1120.30,32,13622,1289.67,6607,5355,11993,1,33.3,0.20,2,66.7,0.37,0,3,0.28,119,70.8,23.38,49,29.2,8.95,0,168,15.91,15,53.6,2.95,13,46.4,2.38,0,28,2.65,104,74.3,20.43,36,25.7,6.58,0,140,13.25
30-39 ans        ,6247,55.5,1141.69,5004,44.5,879.85,22,11273,1010.21,5605,4410,10037,4,66.7,0.73,2,33.3,0.35,0,6,0.54,163,59.3,29.79,112,40.7,19.69,0,275,24.64,21,37.5,3.84,35,62.5,6.15,0,56,5.02,142,64.8,25.95,77,35.2,13.54,0,219,19.63
40-49 ans        ,6854,56.7,1264.97,5237,43.3,936.85,20,12111,1100.17,6258,4660,10937,6,30.0,1.11,14,70.0,2.50,0,20,1.82,174,39.5,32.11,267,60.5,47.76,0,441,40.06,39,33.6,7.20,77,66.4,13.77,0,116,10.54,135,41.5,24.92,190,58.5,33.99,0,325,29.52
50-59 ans        ,6051,54.0,1030.81,5147,46.0,864.99,8,11206,948.01,5524,4539,10070,47,43.1,8.01,62,56.9,10.42,0,109,9.22,311,40.2,52.98,463,59.8,77.81,0,774,65.48,69,31.9,11.75,147,68.1,24.70,0,216,18.27,242,43.4,41.23,316,56.6,53.11,0,558,47.21
60-69 ans        ,3369,49.4,581.66,3453,50.6,607.42,4,6826,594.77,2900,2873,5777,138,38.9,23.83,217,61.1,38.17,0,355,30.93,418,41.1,72.17,600,58.9,105.55,0,1018,88.70,96,34.2,16.57,185,65.8,32.54,0,281,24.48,322,43.7,55.59,415,56.3,73.00,0,737,64.22
70-79 ans        ,2822,51.3,718.81,2678,48.7,741.61,0,5500,729.73,2126,1853,3979,463,43.5,117.93,602,56.5,166.71,0,1065,141.30,687,45.6,174.99,818,54.4,226.53,0,1505,199.68,124,39.7,31.58,188,60.3,52.06,0,312,41.40,563,47.2,143.41,630,52.8,174.46,0,1193,158.29
80-89 ans        ,4789,64.1,2528.80,2680,35.9,1937.86,2,7471,2280.00,3239,1326,4566,1228,51.7,648.44,1147,48.3,829.37,1,2376,725.11,1132,57.1,597.75,852,42.9,616.07,0,1984,605.48,71,47.3,37.49,79,52.7,57.12,0,150,45.78,1061,57.9,560.26,773,42.1,558.94,0,1834,559.70
90 ans et plus   ,3883,76.3,6666.55,1208,23.7,4945.95,2,5093,6160.64,2370,525,2896,1355,68.5,2326.34,622,31.5,2546.68,0,1977,2391.44,681,68.0,1169.18,320,32.0,1310.19,0,1001,1210.84,12,48.0,20.60,13,52.0,53.23,0,25,30.24,669,68.5,1148.58,307,31.5,1256.96,0,976,1180.60
Inconnu          ,41,56.9,         .  ,31,43.1,         .  ,2,74,         .  ,94,70,166,0,0.0,         .  ,3,100.0,         .  ,0,3,         .  ,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  ,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  ,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  
Total            ,46476,56.1,1087.96,36421,43.9,853.50,95,82992,971.91,38884,29611,68585,3242,54.8,75.89,2672,45.2,62.62,1,5915,69.27,3725,51.3,87.20,3538,48.7,82.91,0,7263,85.06,453,37.8,10.60,747,62.3,17.51,0,1200,14.05,3272,54.0,76.59,2791,46.0,65.41,0,6063,71.00
Taux standardisés,           .,          . ,1055.00,           .,          . ,870.46,           .,           .,966.83,           .,           .,           .,           .,          . ,56.90,           .,          . ,71.47,           .,           .,63.21,           .,          . ,74.46,           .,          . ,87.50,           .,           .,80.57,           .,          . ,9.82,           .,          . ,17.57,           .,           .,13.56,           .,          . ,64.64,           .,          . ,69.93,           .,           .,67.02
