,Cas,,,,,,,,,Rétablissements,,,Décès,,,,,,,,,Hospitalisations incidentes,,,,,,,,,,,,,,,,,,,,,,,,,,
Groupe d'âge,Cas F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Cas H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Cas total CUMUL,Taux pour 100 000 CUMUL,Rétablis F CUMUL,Rétablis H CUMUL,Rétablis T CUMUL,Décès F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Décès H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Décès total CUMUL,Taux pour 100 000 CUMUL,Hospit totales INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit totales INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit totales INC T CUMUL,Taux pour 100 000 CUMUL,Hospit SI INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit SI INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit SI INC T CUMUL,Taux pour 100 000 CUMUL,Hospit hors SI INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit hors SI INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit hors SI INC T CUMUL,Taux pour 100 000 CUMUL
0-9 ans          ,1361,48.1,311.60,1468,51.9,321.09,2,2831,316.68,1211,1289,2502,0,          . ,0.00,0,          . ,0.00,0,0,0.00,15,30.6,3.43,34,69.4,7.44,0,49,5.48,3,33.3,0.69,6,66.7,1.31,0,9,1.01,12,30.0,2.75,28,70.0,6.12,0,40,4.47
10-19 ans        ,2844,52.6,660.41,2565,47.4,572.92,3,5412,616.16,2263,2040,4305,0,0.0,0.00,1,100.0,0.22,0,1,0.11,21,55.3,4.88,17,44.7,3.80,0,38,4.33,3,50.0,0.70,3,50.0,0.67,0,6,0.68,18,56.3,4.18,14,43.8,3.13,0,32,3.64
20-29 ans        ,6643,55.2,1305.18,5388,44.8,984.53,32,12063,1142.07,5866,4691,10586,1,33.3,0.20,2,66.7,0.37,0,3,0.28,108,68.8,21.22,49,31.2,8.95,0,157,14.86,15,53.6,2.95,13,46.4,2.38,0,28,2.65,93,72.1,18.27,36,27.9,6.58,0,129,12.21
30-39 ans        ,5661,56.3,1034.59,4393,43.7,772.42,21,10075,902.85,5097,3933,9052,4,66.7,0.73,2,33.3,0.35,0,6,0.54,157,59.9,28.69,105,40.1,18.46,0,262,23.48,21,38.9,3.84,33,61.1,5.80,0,54,4.84,136,65.4,24.86,72,34.6,12.66,0,208,18.64
40-49 ans        ,6288,57.2,1160.51,4701,42.8,840.97,21,11010,1000.15,5782,4228,10029,6,30.0,1.11,14,70.0,2.50,0,20,1.82,168,40.0,31.01,252,60.0,45.08,0,420,38.15,36,33.3,6.64,72,66.7,12.88,0,108,9.81,132,42.3,24.36,180,57.7,32.20,0,312,28.34
50-59 ans        ,5591,54.6,952.45,4644,45.4,780.46,8,10243,866.54,5128,4162,9297,47,43.1,8.01,62,56.9,10.42,0,109,9.22,295,40.2,50.25,439,59.8,73.78,0,734,62.10,66,31.9,11.24,141,68.1,23.70,0,207,17.51,229,43.5,39.01,298,56.5,50.08,0,527,44.58
60-69 ans        ,3074,49.7,530.73,3106,50.3,546.38,4,6184,538.83,2718,2640,5362,135,38.5,23.31,216,61.5,38.00,0,351,30.58,392,41.4,67.68,554,58.6,97.46,0,946,82.43,85,33.2,14.68,171,66.8,30.08,0,256,22.31,307,44.5,53.00,383,55.5,67.37,0,690,60.12
70-79 ans        ,2644,51.3,673.47,2508,48.7,694.53,0,5152,683.56,2003,1745,3748,457,43.4,116.41,596,56.6,165.05,0,1053,139.71,656,46.0,167.09,770,54.0,213.23,0,1426,189.20,122,41.1,31.08,175,58.9,48.46,0,297,39.41,534,47.3,136.02,595,52.7,164.77,0,1129,149.79
80-89 ans        ,4641,64.3,2450.65,2575,35.7,1861.93,2,7218,2202.79,3198,1308,4507,1215,51.7,641.57,1133,48.3,819.25,1,2349,716.87,1101,57.7,581.38,806,42.3,582.80,0,1907,581.98,70,49.3,36.96,72,50.7,52.06,0,142,43.34,1031,58.4,544.41,734,41.6,530.74,0,1765,538.64
90 ans et plus   ,3792,76.5,6510.32,1167,23.5,4778.09,2,4961,6000.97,2342,521,2864,1343,68.6,2305.74,615,31.4,2518.02,0,1958,2368.45,658,68.5,1129.69,302,31.5,1236.49,0,960,1161.24,11,52.4,18.89,10,47.6,40.94,0,21,25.40,647,68.9,1110.81,292,31.1,1195.55,0,939,1135.84
Inconnu          ,38,54.3,         .  ,32,45.7,         .  ,2,72,         .  ,461,429,892,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  ,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  ,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  ,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  
Total            ,42577,56.7,996.69,32547,43.3,762.72,97,75221,880.90,36069,26986,63144,3208,54.8,75.10,2641,45.2,61.89,1,5850,68.51,3571,51.8,83.59,3328,48.2,77.99,0,6899,80.79,432,38.3,10.11,696,61.7,16.31,0,1128,13.21,3139,54.4,73.48,2632,45.6,61.68,0,5771,67.58
Taux standardisés,           .,          . ,962.89,           .,          . ,779.35,           .,           .,875.32,           .,           .,           .,           .,          . ,56.29,           .,          . ,70.71,           .,           .,62.55,           .,          . ,71.28,           .,          . ,82.35,           .,           .,76.53,           .,          . ,9.36,           .,          . ,16.35,           .,           .,12.75,           .,          . ,61.92,           .,          . ,66.00,           .,           .,63.78
