,Cas,,,,,,,,,Rétablissements,,,Décès,,,,,,,,,Hospitalisations incidentes,,,,,,,,,,,,,,,,,,,,,,,,,,
Groupe d'âge,Cas F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Cas H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Cas total CUMUL,Taux pour 100 000 CUMUL,Rétablis F CUMUL,Rétablis H CUMUL,Rétablis T CUMUL,Décès F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Décès H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Décès total CUMUL,Taux pour 100 000 CUMUL,Hospit totales INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit totales INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit totales INC T CUMUL,Taux pour 100 000 CUMUL,Hospit SI INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit SI INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit SI INC T CUMUL,Taux pour 100 000 CUMUL,Hospit hors SI INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit hors SI INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit hors SI INC T CUMUL,Taux pour 100 000 CUMUL
0-9 ans,3459,47.5,791.92,3824,52.5,836.41,2,7285,814.90,3057,3395,6454,0,          . ,0.00,0,          . ,0.00,0,0,0.00,30,39.0,6.87,47,61.0,10.28,0,77,8.61,3,27.3,0.69,8,72.7,1.75,0,11,1.23,27,40.9,6.18,39,59.1,8.53,0,66,7.38
10-19 ans,7260,50.7,1685.86,7063,49.3,1577.58,3,14326,1631.01,6597,6423,13023,0,0.0,0.00,1,100.0,0.22,0,1,0.11,34,54.8,7.90,28,45.2,6.25,0,62,7.06,3,37.5,0.70,5,62.5,1.12,0,8,0.91,31,57.4,7.20,23,42.6,5.14,0,54,6.15
20-29 ans,11461,54.2,2251.79,9671,45.8,1767.15,35,21167,2004.00,10744,9073,19851,1,33.3,0.20,2,66.7,0.37,0,3,0.28,156,65.8,30.65,81,34.2,14.80,0,237,22.44,18,45.0,3.54,22,55.0,4.02,0,40,3.79,138,70.1,27.11,59,29.9,10.78,0,197,18.65
30-39 ans,10255,55.7,1874.18,8162,44.3,1435.12,23,18440,1652.47,9507,7594,17125,5,71.4,0.91,2,28.6,0.35,0,7,0.63,234,58.4,42.77,167,41.6,29.36,0,401,35.93,26,32.9,4.75,53,67.1,9.32,0,79,7.08,208,64.6,38.01,114,35.4,20.04,0,322,28.86
40-49 ans,11078,55.8,2044.54,8789,44.2,1572.27,22,19889,1806.72,10355,8179,18556,11,42.3,2.03,15,57.7,2.68,0,26,2.36,249,39.6,45.96,379,60.4,67.80,0,628,57.05,51,31.7,9.41,110,68.3,19.68,0,161,14.63,198,42.4,36.54,269,57.6,48.12,0,467,42.42
50-59 ans,9480,52.9,1614.95,8437,47.1,1417.90,11,17928,1516.69,8729,7766,16506,58,45.7,9.88,69,54.3,11.60,0,127,10.74,476,40.3,81.09,706,59.7,118.65,0,1182,100.00,103,32.9,17.55,210,67.1,35.29,0,313,26.48,373,42.9,63.54,496,57.1,83.36,0,869,73.52
60-69 ans,5444,48.8,939.91,5715,51.2,1005.34,4,11163,972.66,4855,4994,9853,157,38.8,27.11,248,61.2,43.63,0,405,35.29,680,41.0,117.40,977,59.0,171.87,0,1657,144.38,154,33.0,26.59,312,67.0,54.88,0,466,40.60,526,44.2,90.81,665,55.8,116.98,0,1191,103.78
70-79 ans,4228,51.0,1076.94,4065,49.0,1125.70,1,8294,1100.44,3251,2990,6242,566,43.9,144.17,722,56.1,199.94,0,1288,170.89,1114,45.5,283.75,1336,54.5,369.97,0,2450,325.06,198,36.9,50.43,338,63.1,93.60,0,536,71.12,916,47.9,233.32,998,52.1,276.37,0,1914,253.95
80-89 ans,6450,63.2,3405.89,3757,36.8,2716.62,2,10209,3115.59,4173,1863,6037,1409,51.2,744.01,1343,48.8,971.10,1,2753,840.16,1612,53.9,851.21,1380,46.1,997.85,0,2992,913.10,120,47.2,63.37,134,52.8,96.89,0,254,77.52,1492,54.5,787.84,1246,45.5,900.96,0,2738,835.58
90 ans et plus,4998,75.1,8580.85,1657,24.9,6784.31,2,6657,8052.50,2895,705,3602,1535,67.6,2635.37,735,32.4,3009.34,0,2270,2745.86,941,65.5,1615.56,495,34.5,2026.70,0,1436,1737.03,18,45.0,30.90,22,55.0,90.08,0,40,48.39,923,66.1,1584.66,473,33.9,1936.62,0,1396,1688.64
Inconnu,40,57.1,         .  ,30,42.9,         .  ,2,72,         .  ,183,117,302,13,37.1,         .  ,22,62.9,         .  ,0,35,         .  ,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  ,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  ,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  
Total,74153,54.8,1735.86,61170,45.2,1433.48,107,135430,1586.00,64346,53099,117551,3755,54.3,87.90,3159,45.7,74.03,1,6915,80.98,5526,49.7,129.36,5596,50.3,131.14,0,11122,130.25,694,36.4,16.25,1214,63.6,28.45,0,1908,22.34,4832,52.4,113.11,4382,47.6,102.69,0,9214,107.90
Taux standardisés,           .,          . ,1701.13,           .,          . ,1455.64,           .,           .,1582.29,           .,           .,           .,           .,          . ,65.85,           .,          . ,83.99,           .,           .,73.54,           .,          . ,110.88,           .,          . ,138.20,           .,           .,123.23,           .,          . ,14.93,           .,          . ,28.42,           .,           .,21.42,           .,          . ,95.95,           .,          . ,109.78,           .,           .,101.81
