,Cas,,,,,,,,,Rétablissements,,,Décès,,,,,,,,,Hospitalisations incidentes,,,,,,,,,,,,,,,,,,,,,,,,,,
Groupe d'âge,Cas F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Cas H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Cas total CUMUL,Taux pour 100 000 CUMUL,Rétablis F CUMUL,Rétablis H CUMUL,Rétablis T CUMUL,Décès F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Décès H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Décès total CUMUL,Taux pour 100 000 CUMUL,Hospit totales INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit totales INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit totales INC T CUMUL,Taux pour 100 000 CUMUL,Hospit SI INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit SI INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit SI INC T CUMUL,Taux pour 100 000 CUMUL,Hospit hors SI INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit hors SI INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit hors SI INC T CUMUL,Taux pour 100 000 CUMUL
0-9 ans          ,2459,47.3,562.98,2741,52.7,599.53,3,5203,582.01,2095,2343,4441,0,          . ,0.00,0,          . ,0.00,0,0,0.00,24,34.8,5.49,45,65.2,9.84,0,69,7.72,3,27.3,0.69,8,72.7,1.75,0,11,1.23,21,36.2,4.81,37,63.8,8.09,0,58,6.49
10-19 ans        ,5473,50.8,1270.90,5293,49.2,1182.24,3,10769,1226.05,4858,4659,9520,0,0.0,0.00,1,100.0,0.22,0,1,0.11,29,54.7,6.73,24,45.3,5.36,0,53,6.03,3,37.5,0.70,5,62.5,1.12,0,8,0.91,26,57.8,6.04,19,42.2,4.24,0,45,5.12
20-29 ans        ,9627,54.2,1891.46,8140,45.8,1487.40,34,17801,1685.32,9027,7612,16671,1,33.3,0.20,2,66.7,0.37,0,3,0.28,148,66.7,29.08,74,33.3,13.52,0,222,21.02,18,50.0,3.54,18,50.0,3.29,0,36,3.41,130,69.9,25.54,56,30.1,10.23,0,186,17.61
30-39 ans        ,8397,55.6,1534.62,6706,44.4,1179.11,23,15126,1355.49,7667,6222,13913,5,71.4,0.91,2,28.6,0.35,0,7,0.63,219,58.7,40.02,154,41.3,27.08,0,373,33.43,25,33.3,4.57,50,66.7,8.79,0,75,6.72,194,65.1,35.45,104,34.9,18.29,0,298,26.70
40-49 ans        ,9159,56.0,1690.37,7208,44.0,1289.45,22,16389,1488.78,8425,6575,15021,10,40.0,1.85,15,60.0,2.68,0,25,2.27,224,38.5,41.34,358,61.5,64.04,0,582,52.87,49,31.2,9.04,108,68.8,19.32,0,157,14.26,175,41.2,32.30,250,58.8,44.72,0,425,38.61
50-59 ans        ,7883,53.0,1342.90,6999,47.0,1176.23,10,14892,1259.84,7222,6347,13579,53,44.9,9.03,65,55.1,10.92,0,118,9.98,428,39.9,72.91,646,60.1,108.56,0,1074,90.86,91,31.4,15.50,199,68.6,33.44,0,290,24.53,337,43.0,57.41,447,57.0,75.12,0,784,66.33
60-69 ans        ,4455,48.7,769.16,4690,51.3,825.03,4,9149,797.18,3956,4041,8001,149,39.2,25.72,231,60.8,40.64,0,380,33.11,588,40.6,101.52,861,59.4,151.46,0,1449,126.26,139,33.1,24.00,281,66.9,49.43,0,420,36.60,449,43.6,77.52,580,56.4,102.03,0,1029,89.66
70-79 ans        ,3558,50.9,906.28,3433,49.1,950.69,1,6992,927.69,2720,2456,5177,512,43.6,130.41,663,56.4,183.60,0,1175,155.90,970,45.3,247.08,1172,54.7,324.56,0,2142,284.20,174,35.9,44.32,311,64.1,86.12,0,485,64.35,796,48.0,202.75,861,52.0,238.43,0,1657,219.85
80-89 ans        ,5594,63.5,2953.88,3213,36.5,2323.26,2,8809,2688.33,3616,1558,5175,1299,51.1,685.93,1243,48.9,898.79,1,2543,776.07,1446,55.0,763.55,1181,45.0,853.96,0,2627,801.71,108,47.6,57.03,119,52.4,86.05,0,227,69.28,1338,55.8,706.52,1062,44.3,767.91,0,2400,732.43
90 ans et plus   ,4435,75.8,7614.26,1414,24.2,5789.39,2,5851,7077.54,2581,601,3183,1430,68.0,2455.10,674,32.0,2759.58,0,2104,2545.06,849,66.7,1457.61,423,33.3,1731.90,0,1272,1538.65,16,44.4,27.47,20,55.6,81.89,0,36,43.55,833,67.4,1430.14,403,32.6,1650.02,0,1236,1495.10
Inconnu          ,40,54.8,         .  ,33,45.2,         .  ,2,75,         .  ,115,86,203,7,31.8,         .  ,15,68.2,         .  ,0,22,         .  ,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  ,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  ,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  
Total            ,61080,55.1,1429.83,49870,44.9,1168.67,106,111056,1300.56,52282,42500,94884,3466,54.4,81.14,2911,45.6,68.22,1,6378,74.69,4925,49.9,115.29,4938,50.1,115.72,0,9863,115.50,626,35.9,14.65,1119,64.1,26.22,0,1745,20.44,4299,53.0,100.64,3819,47.0,89.50,0,8118,95.07
Taux standardisés,           .,          . ,1396.68,           .,          . ,1187.88,           .,           .,1296.45,           .,           .,           .,           .,          . ,60.82,           .,          . ,77.51,           .,           .,67.95,           .,          . ,98.84,           .,          . ,121.75,           .,           .,109.40,           .,          . ,13.49,           .,          . ,26.20,           .,           .,19.61,           .,          . ,85.35,           .,          . ,95.55,           .,           .,89.79
