,Cas,,,,,,,,,Rétablissements,,,Décès,,,,,,,,,Hospitalisations incidentes,,,,,,,,,,,,,,,,,,,,,,,,,,
Groupe d'âge,Cas F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Cas H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Cas total CUMUL,Taux pour 100 000 CUMUL,Rétablis F CUMUL,Rétablis H CUMUL,Rétablis T CUMUL,Décès F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Décès H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Décès total CUMUL,Taux pour 100 000 CUMUL,Hospit totales INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit totales INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit totales INC T CUMUL,Taux pour 100 000 CUMUL,Hospit SI INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit SI INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit SI INC T CUMUL,Taux pour 100 000 CUMUL,Hospit hors SI INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit hors SI INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit hors SI INC T CUMUL,Taux pour 100 000 CUMUL
0-9 ans          ,3616,47.7,827.87,3969,52.3,868.13,2,7587,848.68,3195,3545,6742,0,          . ,0.00,0,          . ,0.00,0,0,0.00,31,38.8,7.10,49,61.3,10.72,0,80,8.95,3,27.3,0.69,8,72.7,1.75,0,11,1.23,28,40.6,6.41,41,59.4,8.97,0,69,7.72
10-19 ans        ,7523,50.6,1746.93,7344,49.4,1640.35,3,14870,1692.95,6821,6622,13446,0,0.0,0.00,1,100.0,0.22,0,1,0.11,35,55.6,8.13,28,44.4,6.25,0,63,7.17,3,37.5,0.70,5,62.5,1.12,0,8,0.91,32,58.2,7.43,23,41.8,5.14,0,55,6.26
20-29 ans        ,11772,54.2,2312.89,9939,45.8,1816.12,35,21746,2058.82,10979,9290,20303,1,33.3,0.20,2,66.7,0.37,0,3,0.28,159,66.3,31.24,81,33.8,14.80,0,240,22.72,19,46.3,3.73,22,53.7,4.02,0,41,3.88,140,70.4,27.51,59,29.6,10.78,0,199,18.84
30-39 ans        ,10570,55.7,1931.75,8405,44.3,1477.84,22,18997,1702.38,9763,7826,17612,5,62.5,0.91,3,37.5,0.53,0,8,0.72,237,58.5,43.31,168,41.5,29.54,0,405,36.29,26,32.9,4.75,53,67.1,9.32,0,79,7.08,211,64.7,38.56,115,35.3,20.22,0,326,29.21
40-49 ans        ,11437,55.7,2110.80,9083,44.3,1624.87,24,20544,1866.22,10614,8395,19032,11,42.3,2.03,15,57.7,2.68,0,26,2.36,254,39.9,46.88,383,60.1,68.52,0,637,57.87,53,32.3,9.78,111,67.7,19.86,0,164,14.90,201,42.5,37.10,272,57.5,48.66,0,473,42.97
50-59 ans        ,9737,52.8,1658.73,8695,47.2,1461.25,11,18443,1560.25,8960,7985,16956,58,44.6,9.88,72,55.4,12.10,0,130,11.00,480,40.1,81.77,717,59.9,120.50,0,1197,101.26,104,32.6,17.72,215,67.4,36.13,0,319,26.99,376,42.8,64.05,502,57.2,84.36,0,878,74.28
60-69 ans        ,5617,48.9,969.77,5876,51.1,1033.66,4,11497,1001.77,5006,5162,10172,163,39.2,28.14,253,60.8,44.51,0,416,36.25,690,41.1,119.13,990,58.9,174.15,0,1680,146.38,156,33.1,26.93,315,66.9,55.41,0,471,41.04,534,44.2,92.20,675,55.8,118.74,0,1209,105.34
70-79 ans        ,4350,51.0,1108.02,4173,49.0,1155.61,1,8524,1130.95,3353,3076,6430,574,44.0,146.21,731,56.0,202.43,0,1305,173.15,1134,45.6,288.85,1355,54.4,375.23,0,2489,330.24,199,36.9,50.69,341,63.1,94.43,0,540,71.65,935,48.0,238.16,1014,52.0,280.80,0,1949,258.59
80-89 ans        ,6630,63.1,3500.93,3876,36.9,2802.66,2,10508,3206.84,4280,1936,6217,1426,51.1,752.99,1365,48.9,987.01,1,2792,852.06,1634,53.7,862.82,1409,46.3,1018.82,0,3043,928.66,120,46.5,63.37,138,53.5,99.79,0,258,78.74,1514,54.4,799.46,1271,45.6,919.04,0,2785,849.93
90 ans et plus   ,5145,75.1,8833.22,1707,24.9,6989.03,2,6854,8290.79,2980,722,3704,1553,67.5,2666.28,748,32.5,3062.56,0,2301,2783.36,959,65.5,1646.46,505,34.5,2067.64,0,1464,1770.90,19,45.2,32.62,23,54.8,94.17,0,42,50.80,940,66.1,1613.84,482,33.9,1973.47,0,1422,1720.09
Inconnu          ,39,54.9,         .  ,32,45.1,         .  ,2,73,         .  ,165,125,292,15,38.5,         .  ,24,61.5,         .  ,0,39,         .  ,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  ,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  ,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  
