,Cas,,,,,,,,,Rétablissements,,,Décès,,,,,,,,,Hospitalisations incidentes,,,,,,,,,,,,,,,,,,,,,,,,,,
Groupe d'âge,Cas F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Cas H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Cas total CUMUL,Taux pour 100 000 CUMUL,Rétablis F CUMUL,Rétablis H CUMUL,Rétablis T CUMUL,Décès F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Décès H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Décès total CUMUL,Taux pour 100 000 CUMUL,Hospit totales INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit totales INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit totales INC T CUMUL,Taux pour 100 000 CUMUL,Hospit SI INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit SI INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit SI INC T CUMUL,Taux pour 100 000 CUMUL,Hospit hors SI INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit hors SI INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit hors SI INC T CUMUL,Taux pour 100 000 CUMUL
0-9 ans,3126,47.4,715.69,3463,52.6,757.45,3,6592,737.38,2704,2998,5705,0,          . ,0.00,0,          . ,0.00,0,0,0.00,30,39.0,6.87,47,61.0,10.28,0,77,8.61,3,27.3,0.69,8,72.7,1.75,0,11,1.23,27,40.9,6.18,39,59.1,8.53,0,66,7.38
10-19 ans,6706,50.8,1557.22,6484,49.2,1448.26,3,13193,1502.02,5878,5693,11574,0,0.0,0.00,1,100.0,0.22,0,1,0.11,31,55.4,7.20,25,44.6,5.58,0,56,6.38,3,37.5,0.70,5,62.5,1.12,0,8,0.91,28,58.3,6.50,20,41.7,4.47,0,48,5.46
20-29 ans,10828,54.2,2127.42,9161,45.8,1673.96,35,20024,1895.78,10073,8501,18607,1,33.3,0.20,2,66.7,0.37,0,3,0.28,153,66.5,30.06,77,33.5,14.07,0,230,21.78,18,47.4,3.54,20,52.6,3.65,0,38,3.60,135,70.3,26.52,57,29.7,10.42,0,192,18.18
30-39 ans,9649,55.7,1763.43,7677,44.3,1349.84,23,17349,1554.70,8819,7052,15895,5,71.4,0.91,2,28.6,0.35,0,7,0.63,229,58.6,41.85,162,41.4,28.48,0,391,35.04,25,32.9,4.57,51,67.1,8.97,0,76,6.81,204,64.8,37.28,111,35.2,19.52,0,315,28.23
40-49 ans,10472,55.8,1932.70,8297,44.2,1484.26,24,18793,1707.16,9607,7575,17203,12,44.4,2.21,15,55.6,2.68,0,27,2.45,236,38.9,43.56,371,61.1,66.37,0,607,55.14,50,31.4,9.23,109,68.6,19.50,0,159,14.44,186,41.5,34.33,262,58.5,46.87,0,448,40.70
50-59 ans,8922,52.8,1519.90,7962,47.2,1338.07,11,16895,1429.30,8130,7239,15379,57,46.0,9.71,67,54.0,11.26,0,124,10.49,464,40.3,79.04,688,59.7,115.62,0,1152,97.46,101,32.8,17.21,207,67.2,34.79,0,308,26.06,363,43.0,61.84,481,57.0,80.84,0,844,71.40
60-69 ans,5116,48.7,883.28,5395,51.3,949.05,4,10515,916.20,4484,4603,9091,155,39.1,26.76,241,60.9,42.39,0,396,34.50,639,40.9,110.32,923,59.1,162.37,0,1562,136.10,148,33.6,25.55,293,66.4,51.54,0,441,38.43,491,43.8,84.77,630,56.2,110.82,0,1121,97.68
70-79 ans,3982,50.9,1014.28,3844,49.1,1064.50,1,7827,1038.48,3045,2768,5814,544,43.9,138.57,696,56.1,192.74,0,1240,164.52,1054,45.5,268.47,1261,54.5,349.20,0,2315,307.15,192,37.3,48.91,323,62.7,89.45,0,515,68.33,862,47.9,219.57,938,52.1,259.76,0,1800,238.82
80-89 ans,6120,63.3,3231.63,3547,36.7,2564.77,2,9669,2950.79,3939,1745,5685,1374,51.4,725.53,1298,48.6,938.56,1,2673,815.75,1540,54.0,813.19,1310,46.0,947.24,0,2850,869.76,115,47.1,60.73,129,52.9,93.28,0,244,74.46,1425,54.7,752.46,1181,45.3,853.96,0,2606,795.30
90 ans et plus,4744,75.3,8144.77,1554,24.7,6362.59,2,6300,7620.66,2790,669,3461,1500,67.8,2575.28,712,32.2,2915.17,0,2212,2675.70,902,65.7,1548.60,470,34.3,1924.34,0,1372,1659.61,16,42.1,27.47,22,57.9,90.08,0,38,45.97,886,66.4,1521.13,448,33.6,1834.26,0,1334,1613.64
Inconnu,43,58.1,         .  ,31,41.9,         .  ,2,76,         .  ,119,90,211,10,37.0,         .  ,17,63.0,         .  ,0,27,         .  ,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  ,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  ,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  
Total,69708,54.8,1631.80,57415,45.2,1345.49,110,127233,1490.01,59588,48933,108625,3658,54.5,85.63,3051,45.5,71.50,1,6710,78.58,5278,49.7,123.55,5334,50.3,125.00,0,10612,124.28,671,36.5,15.71,1167,63.5,27.35,0,1838,21.52,4607,52.5,107.85,4167,47.5,97.65,0,8774,102.75
Taux standardisés,           .,          . ,1598.32,           .,          . ,1366.31,           .,           .,1486.29,           .,           .,           .,           .,          . ,64.19,           .,          . ,81.25,           .,           .,71.44,           .,          . ,105.97,           .,          . ,131.77,           .,           .,117.67,           .,          . ,14.46,           .,          . ,27.35,           .,           .,20.65,           .,          . ,91.51,           .,          . ,104.42,           .,           .,97.02
