,Cas,,,,,,,,,Rétablissements,,,Décès,,,,,,,,,Hospitalisations incidentes,,,,,,,,,,,,,,,,,
Groupe d'âge,Cas F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Cas H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Cas total CUMUL,Taux pour 100 000 CUMUL,Rétablis F CUMUL,Rétablis H CUMUL,Rétablis T CUMUL,Décès F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Décès H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Décès total CUMUL,Taux pour 100 000 CUMUL,Hospit totales INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit totales INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit totales INC T CUMUL,Taux pour 100 000 CUMUL,Hospit SI INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit SI INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit SI INC T CUMUL,Taux pour 100 000 CUMUL
0-9 ans,1214,48.7,277.94,1277,51.3,279.31,3,2494,278.98,1105,1152,2259,0,          . ,0.00,0,          . ,0.00,0,0,0.00,15,32.6,3.43,31,67.4,6.78,0,46,5.15,3,37.5,0.69,5,62.5,1.09,0,8,0.89
10-19 ans,2292,52.6,532.23,2066,47.4,461.46,2,4360,496.39,1952,1758,3712,0,0.0,0.00,1,100.0,0.22,0,1,0.11,15,50.0,3.48,15,50.0,3.35,0,30,3.42,3,60.0,0.70,2,40.0,0.45,0,5,0.57
20-29 ans,5855,55.5,1150.36,4704,44.5,859.55,29,10588,1002.43,5408,4276,9710,1,33.3,0.20,2,66.7,0.37,0,3,0.28,92,67.6,18.08,44,32.4,8.04,0,136,12.88,14,51.9,2.75,13,48.1,2.38,0,27,2.56
30-39 ans,5118,56.6,935.35,3928,43.4,690.66,22,9068,812.61,4849,3689,8560,4,66.7,0.73,2,33.3,0.35,0,6,0.54,152,60.1,27.78,101,39.9,17.76,0,253,22.67,21,39.6,3.84,32,60.4,5.63,0,53,4.75
40-49 ans,5824,57.8,1074.87,4258,42.2,761.72,18,10100,917.49,5554,4030,9602,6,30.0,1.11,14,70.0,2.50,0,20,1.82,162,40.2,29.90,241,59.8,43.11,0,403,36.61,35,33.7,6.46,69,66.3,12.34,0,104,9.45
50-59 ans,5204,55.0,886.52,4266,45.0,716.93,7,9477,801.74,4947,4007,8961,47,43.1,8.01,62,56.9,10.42,0,109,9.22,284,40.3,48.38,421,59.7,70.75,0,705,59.64,65,32.8,11.07,133,67.2,22.35,0,198,16.75
60-69 ans,2869,50.0,495.33,2873,50.0,505.40,4,5746,500.67,2617,2529,5150,135,38.6,23.31,215,61.4,37.82,0,350,30.50,372,41.0,64.23,535,59.0,94.11,0,907,79.03,82,33.1,14.16,166,66.9,29.20,0,248,21.61
70-79 ans,2492,51.3,634.75,2365,48.7,654.93,0,4857,644.42,1940,1699,3639,454,43.5,115.64,589,56.5,163.11,0,1043,138.38,631,46.2,160.73,735,53.8,203.54,0,1366,181.24,115,41.1,29.29,165,58.9,45.69,0,280,37.15
80-89 ans,4516,64.4,2384.65,2496,35.6,1804.81,2,7014,2140.54,3143,1291,4435,1204,51.8,635.77,1122,48.2,811.30,1,2327,710.15,1059,58.0,559.20,766,42.0,553.88,0,1825,556.95,65,49.6,34.32,66,50.4,47.72,0,131,39.98
90 ans et plus,3708,76.6,6366.10,1131,23.4,4630.69,2,4841,5855.81,2317,511,2829,1337,68.7,2295.44,609,31.3,2493.45,0,1946,2353.94,635,68.6,1090.20,291,31.4,1191.45,0,926,1120.12,8,47.1,13.73,9,52.9,36.85,0,17,20.56
Inconnu,38,54.3,         .  ,32,45.7,         .  ,2,72,         .  ,314,277,593,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  ,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  ,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  
Total,39130,57.1,916.00,29396,42.9,688.88,91,68617,803.56,34146,25219,59450,3188,54.9,74.63,2616,45.1,61.30,1,5805,67.98,3417,51.8,79.99,3180,48.2,74.52,0,6597,77.26,411,38.4,9.62,660,61.6,15.47,0,1071,12.54
Taux standardisés,           .,          . ,881.25,           .,          . ,705.34,           .,           .,797.51,           .,           .,           .,           .,          . ,55.93,           .,          . ,70.04,           .,           .,62.07,           .,          . ,68.12,           .,          . ,78.70,           .,           .,73.16,           .,          . ,8.94,           .,          . ,15.49,           .,           .,12.12
