,Cas,,,,,,,,,Rétablissements,,,Décès,,,,,,,,,Hospitalisations incidentes,,,,,,,,,,,,,,,,,
Groupe d'âge,Cas F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Cas H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Cas total CUMUL,Taux pour 100 000 CUMUL,Rétablis F CUMUL,Rétablis H CUMUL,Rétablis T CUMUL,Décès F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Décès H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Décès total CUMUL,Taux pour 100 000 CUMUL,Hospit totales INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit totales INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit totales INC T CUMUL,Taux pour 100 000 CUMUL,Hospit SI INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit SI INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit SI INC T CUMUL,Taux pour 100 000 CUMUL
0-9 ans,1311,48.2,300.15,1407,51.8,307.75,2,2720,304.26,1175,1228,2405,0,          . ,0.00,0,          . ,0.00,0,0,0.00,15,31.9,3.43,32,68.1,7.00,0,47,5.26,3,33.3,0.69,6,66.7,1.31,0,9,1.01
10-19 ans,2636,52.6,612.11,2371,47.4,529.58,2,5009,570.27,2130,1927,4059,0,0.0,0.00,1,100.0,0.22,0,1,0.11,19,52.8,4.41,17,47.2,3.80,0,36,4.10,3,50.0,0.70,3,50.0,0.67,0,6,0.68
20-29 ans,6365,55.5,1250.56,5110,44.5,933.73,34,11509,1089.62,5682,4544,10254,1,33.3,0.20,2,66.7,0.37,0,3,0.28,105,69.5,20.63,46,30.5,8.41,0,151,14.30,15,53.6,2.95,13,46.4,2.38,0,28,2.65
30-39 ans,5447,56.4,995.48,4209,43.6,740.06,21,9677,867.19,4990,3847,8859,4,66.7,0.73,2,33.3,0.35,0,6,0.54,153,60.2,27.96,101,39.8,17.76,0,254,22.76,21,39.6,3.84,32,60.4,5.63,0,53,4.75
40-49 ans,6103,57.4,1126.36,4523,42.6,809.12,20,10646,967.09,5682,4152,9853,6,30.0,1.11,14,70.0,2.50,0,20,1.82,164,39.7,30.27,249,60.3,44.54,0,413,37.52,36,33.6,6.64,71,66.4,12.70,0,107,9.72
50-59 ans,5445,54.9,927.58,4476,45.1,752.22,7,9928,839.90,5047,4093,9147,47,43.1,8.01,62,56.9,10.42,0,109,9.22,290,40.1,49.40,434,59.9,72.94,0,724,61.25,65,31.7,11.07,140,68.3,23.53,0,205,17.34
60-69 ans,2995,49.9,517.09,3003,50.1,528.26,4,6002,522.97,2671,2589,5264,135,38.6,23.31,215,61.4,37.82,0,350,30.50,381,41.1,65.78,545,58.9,95.87,0,926,80.69,83,32.9,14.33,169,67.1,29.73,0,252,21.96
70-79 ans,2591,51.4,659.97,2446,48.6,677.36,0,5037,668.30,1966,1715,3681,456,43.5,116.15,592,56.5,163.94,0,1048,139.05,647,46.3,164.80,751,53.7,207.97,0,1398,185.48,121,41.9,30.82,168,58.1,46.52,0,289,38.34
80-89 ans,4598,64.5,2427.95,2536,35.5,1833.73,2,7136,2177.77,3159,1298,4458,1208,51.7,637.88,1127,48.3,814.91,1,2336,712.90,1081,57.9,570.82,785,42.1,567.62,0,1866,569.47,68,49.6,35.91,69,50.4,49.89,0,137,41.81
90 ans et plus,3760,76.6,6455.38,1151,23.4,4712.58,2,4913,5942.91,2328,514,2843,1340,68.6,2300.59,612,31.4,2505.73,0,1952,2361.20,652,68.7,1119.39,297,31.3,1216.02,0,949,1147.94,11,52.4,18.89,10,47.6,40.94,0,21,25.40
Inconnu,39,54.2,         .  ,33,45.8,         .  ,2,74,         .  ,427,377,806,0,0.0,         .  ,1,100.0,         .  ,0,1,         .  ,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  ,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  
Total,41290,56.9,966.56,31265,43.1,732.68,96,72651,850.81,35257,26284,61629,3197,54.9,74.84,2628,45.1,61.59,1,5826,68.23,3507,51.8,82.10,3257,48.2,76.33,0,6764,79.21,426,38.5,9.97,681,61.5,15.96,0,1107,12.96
Taux standardisés,           .,          . ,932.38,           .,          . ,749.15,           .,           .,845.02,           .,           .,           .,           .,          . ,56.09,           .,          . ,70.34,           .,           .,62.28,           .,          . ,69.94,           .,          . ,80.61,           .,           .,75.02,           .,          . ,9.23,           .,          . ,16.01,           .,           .,12.52
