,Cas,,,,,,,,,Rétablissements,,,Décès,,,,,,,,,Hospitalisations incidentes,,,,,,,,,,,,,,,,,
Groupe d'âge,Cas F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Cas H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Cas total CUMUL,Taux pour 100 000 CUMUL,Rétablis F CUMUL,Rétablis H CUMUL,Rétablis T CUMUL,Décès F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Décès H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Décès total CUMUL,Taux pour 100 000 CUMUL,Hospit totales INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit totales INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit totales INC T CUMUL,Taux pour 100 000 CUMUL,Hospit SI INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit SI INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit SI INC T CUMUL,Taux pour 100 000 CUMUL
0-9 ans,1180,48.9,270.16,1232,51.1,269.47,2,2414,270.03,1087,1135,2224,0,          . ,0.00,0,          . ,0.00,0,0,0.00,15,33.3,3.43,30,66.7,6.56,0,45,5.03,3,37.5,0.69,5,62.5,1.09,0,8,0.89
10-19 ans,2186,52.6,507.62,1966,47.4,439.12,2,4154,472.93,1901,1709,3612,0,0.0,0.00,1,100.0,0.22,0,1,0.11,15,50.0,3.48,15,50.0,3.35,0,30,3.42,3,60.0,0.70,2,40.0,0.45,0,5,0.57
20-29 ans,5712,55.5,1122.26,4582,44.5,837.25,30,10324,977.43,5322,4180,9528,1,33.3,0.20,2,66.7,0.37,0,3,0.28,92,67.6,18.08,44,32.4,8.04,0,136,12.88,14,51.9,2.75,13,48.1,2.38,0,27,2.56
30-39 ans,5032,56.6,919.64,3854,43.4,677.65,22,8908,798.27,4812,3643,8477,4,66.7,0.73,2,33.3,0.35,0,6,0.54,151,59.9,27.60,101,40.1,17.76,0,252,22.58,21,39.6,3.84,32,60.4,5.63,0,53,4.75
40-49 ans,5742,57.8,1059.74,4191,42.2,749.73,18,9951,903.95,5518,3989,9525,6,30.0,1.11,14,70.0,2.50,0,20,1.82,162,40.3,29.90,240,59.7,42.93,0,402,36.52,35,33.7,6.46,69,66.3,12.34,0,104,9.45
50-59 ans,5135,54.9,874.77,4215,45.1,708.36,7,9357,791.59,4924,3974,8905,47,42.7,8.01,63,57.3,10.59,0,110,9.31,283,40.3,48.21,420,59.7,70.58,0,703,59.47,65,32.8,11.07,133,67.2,22.35,0,198,16.75
60-69 ans,2834,49.9,489.29,2847,50.1,500.82,4,5685,495.35,2607,2510,5121,135,38.6,23.31,215,61.4,37.82,0,350,30.50,371,41.1,64.05,532,58.9,93.59,0,903,78.68,82,33.2,14.16,165,66.8,29.03,0,247,21.52
70-79 ans,2461,51.2,626.86,2347,48.8,649.94,0,4808,637.92,1927,1684,3611,453,43.5,115.39,589,56.5,163.11,0,1042,138.25,627,46.1,159.71,732,53.9,202.71,0,1359,180.31,113,40.9,28.78,163,59.1,45.14,0,276,36.62
80-89 ans,4496,64.4,2374.09,2485,35.6,1796.86,2,6983,2131.07,3142,1291,4434,1203,51.8,635.24,1121,48.2,810.57,1,2325,709.54,1051,58.1,554.97,759,41.9,548.82,0,1810,552.38,65,50.0,34.32,65,50.0,47.00,0,130,39.67
90 ans et plus,3696,76.7,6345.50,1122,23.3,4593.84,2,4820,5830.41,2315,510,2826,1336,68.7,2293.72,609,31.3,2493.45,0,1945,2352.73,631,68.7,1083.34,288,31.3,1179.17,0,919,1111.65,8,47.1,13.73,9,52.9,36.85,0,17,20.56
Inconnu,38,54.3,         .  ,32,45.7,         .  ,2,72,         .  ,285,246,533,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  ,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  ,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  
Total,38512,57.2,901.53,28873,42.8,676.62,91,67476,790.20,33840,24871,58796,3185,54.9,74.56,2616,45.1,61.30,1,5802,67.95,3398,51.8,79.54,3161,48.2,74.08,0,6559,76.81,409,38.4,9.57,656,61.6,15.37,0,1065,12.47
Taux standardisés,           .,          . ,866.59,           .,          . ,693.04,           .,           .,784.07,           .,           .,           .,           .,          . ,55.88,           .,          . ,70.04,           .,           .,62.04,           .,          . ,67.76,           .,          . ,78.21,           .,           .,72.74,           .,          . ,8.90,           .,          . ,15.40,           .,           .,12.05
