,Cas,,,,,,,,,Rétablissements,,,Décès,,,,,,,,,Hospitalisations incidentes,,,,,,,,,,,,,,,,,,,,,,,,,,
Groupe d'âge,Cas F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Cas H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Cas total CUMUL,Taux pour 100 000 CUMUL,Rétablis F CUMUL,Rétablis H CUMUL,Rétablis T CUMUL,Décès F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Décès H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Décès total CUMUL,Taux pour 100 000 CUMUL,Hospit totales INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit totales INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit totales INC T CUMUL,Taux pour 100 000 CUMUL,Hospit SI INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit SI INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit SI INC T CUMUL,Taux pour 100 000 CUMUL,Hospit hors SI INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit hors SI INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit hors SI INC T CUMUL,Taux pour 100 000 CUMUL
0-9 ans          ,1668,47.7,381.88,1826,52.3,399.39,1,3495,390.95,1470,1618,3089,0,          . ,0.00,0,          . ,0.00,0,0,0.00,18,30.5,4.12,41,69.5,8.97,0,59,6.60,3,27.3,0.69,8,72.7,1.75,0,11,1.23,15,31.3,3.43,33,68.8,7.22,0,48,5.37
10-19 ans        ,3882,51.6,901.45,3642,48.4,813.47,3,7527,856.95,3295,3005,6302,0,0.0,0.00,1,100.0,0.22,0,1,0.11,25,51.0,5.81,24,49.0,5.36,0,49,5.58,3,37.5,0.70,5,62.5,1.12,0,8,0.91,22,53.7,5.11,19,46.3,4.24,0,41,4.67
20-29 ans        ,7974,54.6,1566.68,6624,45.4,1210.38,34,14632,1385.29,7261,5979,13271,1,33.3,0.20,2,66.7,0.37,0,3,0.28,134,68.4,26.33,62,31.6,11.33,0,196,18.56,18,51.4,3.54,17,48.6,3.11,0,35,3.31,116,72.0,22.79,45,28.0,8.22,0,161,15.24
30-39 ans        ,6686,55.4,1221.92,5392,44.6,948.07,24,12102,1084.50,6094,4887,11004,4,66.7,0.73,2,33.3,0.35,0,6,0.54,186,58.1,33.99,134,41.9,23.56,0,320,28.68,24,34.8,4.39,45,65.2,7.91,0,69,6.18,162,64.5,29.61,89,35.5,15.65,0,251,22.49
40-49 ans        ,7328,56.3,1352.45,5683,43.7,1016.64,20,13031,1183.74,6718,5082,11820,6,30.0,1.11,14,70.0,2.50,0,20,1.82,205,38.5,37.83,327,61.5,58.50,0,532,48.33,46,32.2,8.49,97,67.8,17.35,0,143,12.99,159,40.9,29.34,230,59.1,41.14,0,389,35.34
50-59 ans        ,6410,53.6,1091.97,5542,46.4,931.37,8,11960,1011.80,5873,4937,10818,47,43.1,8.01,62,56.9,10.42,0,109,9.22,386,40.5,65.76,566,59.5,95.12,0,952,80.54,88,32.6,14.99,182,67.4,30.59,0,270,22.84,298,43.7,50.77,384,56.3,64.53,0,682,57.70
60-69 ans        ,3605,49.0,622.40,3746,51.0,658.97,4,7355,640.86,3130,3114,6248,139,39.0,24.00,217,61.0,38.17,0,356,31.02,528,41.0,91.16,760,59.0,133.69,0,1288,112.23,127,33.2,21.93,256,66.8,45.03,0,383,33.37,401,44.3,69.23,504,55.7,88.66,0,905,78.86
70-79 ans        ,2972,51.1,757.02,2843,48.9,787.30,1,5816,771.66,2258,1966,4225,471,43.6,119.97,609,56.4,168.65,0,1080,143.29,833,45.1,212.18,1016,54.9,281.36,0,1849,245.32,157,37.0,39.99,267,63.0,73.94,0,424,56.26,676,47.4,172.19,749,52.6,207.42,0,1425,189.07
80-89 ans        ,4956,63.9,2616.99,2800,36.1,2024.63,2,7758,2367.59,3279,1344,4624,1240,51.7,654.78,1160,48.3,838.77,1,2401,732.74,1302,55.8,687.51,1033,44.2,746.94,0,2335,712.60,91,47.6,48.05,100,52.4,72.31,0,191,58.29,1211,56.5,639.46,933,43.5,674.64,0,2144,654.31
