,Cas,,,,,,,,,Rétablissements,,,Décès,,,,,,,,,Hospitalisations incidentes,,,,,,,,,,,,,,,,,,,,,,,,,,
Groupe d'âge,Cas F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Cas H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Cas total CUMUL,Taux pour 100 000 CUMUL,Rétablis F CUMUL,Rétablis H CUMUL,Rétablis T CUMUL,Décès F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Décès H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Décès total CUMUL,Taux pour 100 000 CUMUL,Hospit totales INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit totales INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit totales INC T CUMUL,Taux pour 100 000 CUMUL,Hospit SI INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit SI INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit SI INC T CUMUL,Taux pour 100 000 CUMUL,Hospit hors SI INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit hors SI INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit hors SI INC T CUMUL,Taux pour 100 000 CUMUL
0-9 ans,2994,47.4,685.46,3327,52.6,727.70,3,6324,707.40,2528,2813,5344,0,          . ,0.00,0,          . ,0.00,0,0,0.00,30,39.0,6.87,47,61.0,10.28,0,77,8.61,3,27.3,0.69,8,72.7,1.75,0,11,1.23,27,40.9,6.18,39,59.1,8.53,0,66,7.38
10-19 ans,6467,50.9,1501.72,6246,49.1,1395.10,4,12717,1447.83,5586,5429,11018,0,0.0,0.00,1,100.0,0.22,0,1,0.11,31,55.4,7.20,25,44.6,5.58,0,56,6.38,3,37.5,0.70,5,62.5,1.12,0,8,0.91,28,58.3,6.50,20,41.7,4.47,0,48,5.46
20-29 ans,10585,54.2,2079.68,8960,45.8,1637.23,34,19579,1853.65,9768,8248,18049,1,33.3,0.20,2,66.7,0.37,0,3,0.28,152,66.7,29.86,76,33.3,13.89,0,228,21.59,18,47.4,3.54,20,52.6,3.65,0,38,3.60,134,70.5,26.33,56,29.5,10.23,0,190,17.99
30-39 ans,9393,55.7,1716.64,7483,44.3,1315.73,23,16899,1514.37,8514,6830,15368,5,71.4,0.91,2,28.6,0.35,0,7,0.63,224,58.3,40.94,160,41.7,28.13,0,384,34.41,25,32.9,4.57,51,67.1,8.97,0,76,6.81,199,64.6,36.37,109,35.4,19.17,0,308,27.60
40-49 ans,10225,55.9,1887.11,8073,44.1,1444.19,23,18321,1664.29,9280,7291,16592,10,40.0,1.85,15,60.0,2.68,0,25,2.27,233,38.9,43.00,366,61.1,65.47,0,599,54.41,49,31.2,9.04,108,68.8,19.32,0,157,14.26,184,41.6,33.96,258,58.4,46.15,0,442,40.15
50-59 ans,8676,52.8,1477.99,7759,47.2,1303.95,11,16446,1391.31,7901,6983,14894,55,45.1,9.37,67,54.9,11.26,0,122,10.32,453,40.2,77.17,674,59.8,113.27,0,1127,95.34,98,32.1,16.69,207,67.9,34.79,0,305,25.80,355,43.2,60.48,467,56.8,78.48,0,822,69.54
60-69 ans,4962,48.7,856.69,5232,51.3,920.37,4,10198,888.58,4338,4450,8792,154,39.5,26.59,236,60.5,41.52,0,390,33.98,624,40.8,107.73,906,59.2,159.38,0,1530,133.31,147,33.9,25.38,287,66.1,50.49,0,434,37.82,477,43.5,82.35,619,56.5,108.89,0,1096,95.50
70-79 ans,3880,50.9,988.30,3744,49.1,1036.81,1,7625,1011.67,2961,2678,5640,539,43.9,137.29,688,56.1,190.52,0,1227,162.80,1035,45.4,263.63,1246,54.6,345.05,0,2281,302.64,185,36.6,47.12,321,63.4,88.89,0,506,67.14,850,47.9,216.51,925,52.1,256.16,0,1775,235.50
80-89 ans,5988,63.3,3161.93,3475,36.7,2512.71,2,9465,2888.53,3855,1698,5554,1353,51.3,714.44,1284,48.7,928.44,1,2638,805.07,1517,54.2,801.04,1280,45.8,925.54,0,2797,853.59,113,47.7,59.67,124,52.3,89.66,0,237,72.33,1404,54.8,741.37,1156,45.2,835.88,0,2560,781.26
90 ans et plus,4673,75.3,8022.87,1529,24.7,6260.24,2,6204,7504.54,2748,650,3400,1482,67.8,2544.38,705,32.2,2886.51,0,2187,2645.46,890,65.8,1528.00,462,34.2,1891.58,0,1352,1635.42,16,42.1,27.47,22,57.9,90.08,0,38,45.97,874,66.5,1500.53,440,33.5,1801.51,0,1314,1589.45
Inconnu,42,56.8,         .  ,32,43.2,         .  ,2,76,         .  ,108,87,197,9,34.6,         .  ,17,65.4,         .  ,0,26,         .  ,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  ,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  ,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  
Total,67885,54.9,1589.13,55860,45.1,1309.05,109,123854,1450.44,57587,47157,104848,3608,54.5,84.46,3017,45.5,70.70,1,6626,77.60,5189,49.7,121.47,5242,50.3,122.84,0,10431,122.16,657,36.3,15.38,1153,63.7,27.02,0,1810,21.20,4532,52.6,106.09,4089,47.4,95.82,0,8621,100.96
Taux standardisés,           .,          . ,1555.89,           .,          . ,1329.59,           .,           .,1446.68,           .,           .,           .,           .,          . ,63.31,           .,          . ,80.36,           .,           .,70.55,           .,          . ,104.15,           .,          . ,129.45,           .,           .,115.65,           .,          . ,14.16,           .,          . ,27.02,           .,           .,20.34,           .,          . ,89.99,           .,          . ,102.43,           .,           .,95.30
