,Cas,,,,,,,,,Rétablissements,,,Décès,,,,,,,,,Hospitalisations incidentes,,,,,,,,,,,,,,,,,,,,,,,,,,
Groupe d'âge,Cas F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Cas H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Cas total CUMUL,Taux pour 100 000 CUMUL,Rétablis F CUMUL,Rétablis H CUMUL,Rétablis T CUMUL,Décès F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Décès H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Décès total CUMUL,Taux pour 100 000 CUMUL,Hospit totales INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit totales INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit totales INC T CUMUL,Taux pour 100 000 CUMUL,Hospit SI INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit SI INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit SI INC T CUMUL,Taux pour 100 000 CUMUL,Hospit hors SI INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit hors SI INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit hors SI INC T CUMUL,Taux pour 100 000 CUMUL
0-9 ans          ,1483,47.8,339.53,1621,52.2,354.56,2,3106,347.44,1318,1422,2742,0,          . ,0.00,0,          . ,0.00,0,0,0.00,15,30.0,3.43,35,70.0,7.66,0,50,5.59,3,33.3,0.69,6,66.7,1.31,0,9,1.01,12,29.3,2.75,29,70.7,6.34,0,41,4.59
10-19 ans        ,3289,52.3,763.75,3005,47.7,671.19,2,6296,716.80,2689,2416,5107,0,0.0,0.00,1,100.0,0.22,0,1,0.11,24,54.5,5.57,20,45.5,4.47,0,44,5.01,3,50.0,0.70,3,50.0,0.67,0,6,0.68,21,55.3,4.88,17,44.7,3.80,0,38,4.33
20-29 ans        ,7260,55.0,1426.40,5944,45.0,1086.13,34,13238,1253.32,6439,5199,11669,1,33.3,0.20,2,66.7,0.37,0,3,0.28,114,69.9,22.40,49,30.1,8.95,0,163,15.43,15,53.6,2.95,13,46.4,2.38,0,28,2.65,99,73.3,19.45,36,26.7,6.58,0,135,12.78
30-39 ans        ,6102,55.7,1115.19,4853,44.3,853.30,22,10977,983.68,5480,4289,9791,4,66.7,0.73,2,33.3,0.35,0,6,0.54,159,59.1,29.06,110,40.9,19.34,0,269,24.11,21,38.2,3.84,34,61.8,5.98,0,55,4.93,138,64.5,25.22,76,35.5,13.36,0,214,19.18
40-49 ans        ,6710,56.9,1238.39,5091,43.1,910.74,22,11823,1074.01,6141,4555,10716,6,30.0,1.11,14,70.0,2.50,0,20,1.82,173,39.8,31.93,262,60.2,46.87,0,435,39.52,38,33.6,7.01,75,66.4,13.42,0,113,10.26,135,41.9,24.92,187,58.1,33.45,0,322,29.25
50-59 ans        ,5941,54.2,1012.07,5015,45.8,842.80,9,10965,927.62,5429,4430,9866,47,43.1,8.01,62,56.9,10.42,0,109,9.22,306,39.9,52.13,460,60.1,77.31,0,766,64.80,68,31.8,11.58,146,68.2,24.54,0,214,18.10,238,43.1,40.54,314,56.9,52.77,0,552,46.70
60-69 ans        ,3298,49.5,569.40,3364,50.5,591.77,4,6666,580.83,2866,2805,5675,138,38.9,23.83,217,61.1,38.17,0,355,30.93,410,41.0,70.79,590,59.0,103.79,0,1000,87.13,92,33.5,15.88,183,66.5,32.19,0,275,23.96,318,43.9,54.90,407,56.1,71.60,0,725,63.17
70-79 ans        ,2776,51.4,707.09,2622,48.6,726.10,0,5398,716.20,2089,1825,3914,462,43.5,117.68,600,56.5,166.16,0,1062,140.90,673,45.6,171.42,804,54.4,222.65,0,1477,195.97,124,40.5,31.58,182,59.5,50.40,0,306,40.60,549,46.9,139.84,622,53.1,172.25,0,1171,155.37
80-89 ans        ,4756,64.2,2511.38,2653,35.8,1918.34,2,7411,2261.69,3226,1324,4551,1226,51.8,647.38,1143,48.2,826.48,1,2370,723.28,1124,57.2,593.52,840,42.8,607.39,0,1964,599.37,71,47.3,37.49,79,52.7,57.12,0,150,45.78,1053,58.0,556.03,761,42.0,550.27,0,1814,553.60
90 ans et plus   ,3862,76.4,6630.50,1196,23.6,4896.82,2,5060,6120.72,2358,524,2883,1352,68.6,2321.19,619,31.4,2534.39,0,1971,2384.18,674,68.4,1157.16,311,31.6,1273.34,0,985,1191.48,12,52.2,20.60,11,47.8,45.04,0,23,27.82,662,68.8,1136.56,300,31.2,1228.30,0,962,1163.66
Inconnu          ,40,55.6,         .  ,32,44.4,         .  ,2,74,         .  ,62,55,119,0,0.0,         .  ,2,100.0,         .  ,0,2,         .  ,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  ,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  ,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  
Total            ,45517,56.3,1065.51,35396,43.7,829.48,101,81014,948.74,38097,28844,67033,3236,54.9,75.75,2662,45.1,62.38,1,5899,69.08,3672,51.3,85.96,3481,48.7,81.58,0,7153,83.77,447,37.9,10.46,732,62.1,17.15,0,1179,13.81,3225,54.0,75.49,2749,46.0,64.42,0,5974,69.96
Taux standardisés,           .,          . ,1032.34,           .,          . ,846.36,           .,           .,943.56,           .,           .,           .,           .,          . ,56.80,           .,          . ,71.22,           .,           .,63.06,           .,          . ,73.36,           .,          . ,86.07,           .,           .,79.36,           .,          . ,9.68,           .,          . ,17.21,           .,           .,13.32,           .,          . ,63.67,           .,          . ,68.86,           .,           .,66.04
