,Cas,,,,,,,,,Rétablissements,,,Décès,,,,,,,,,Hospitalisations incidentes,,,,,,,,,,,,,,,,,,,,,,,,,,
Groupe d'âge,Cas F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Cas H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Cas total CUMUL,Taux pour 100 000 CUMUL,Rétablis F CUMUL,Rétablis H CUMUL,Rétablis T CUMUL,Décès F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Décès H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Décès total CUMUL,Taux pour 100 000 CUMUL,Hospit totales INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit totales INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit totales INC T CUMUL,Taux pour 100 000 CUMUL,Hospit SI INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit SI INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit SI INC T CUMUL,Taux pour 100 000 CUMUL,Hospit hors SI INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit hors SI INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit hors SI INC T CUMUL,Taux pour 100 000 CUMUL
0-9 ans          ,3039,47.4,695.77,3375,52.6,738.20,3,6417,717.80,2582,2884,5469,0,          . ,0.00,0,          . ,0.00,0,0,0.00,30,39.0,6.87,47,61.0,10.28,0,77,8.61,3,27.3,0.69,8,72.7,1.75,0,11,1.23,27,40.9,6.18,39,59.1,8.53,0,66,7.38
10-19 ans        ,6544,50.8,1519.60,6341,49.2,1416.32,3,12888,1467.30,5672,5507,11182,0,0.0,0.00,1,100.0,0.22,0,1,0.11,31,55.4,7.20,25,44.6,5.58,0,56,6.38,3,37.5,0.70,5,62.5,1.12,0,8,0.91,28,58.3,6.50,20,41.7,4.47,0,48,5.46
20-29 ans        ,10687,54.2,2099.72,9032,45.8,1650.39,35,19754,1870.22,9874,8324,18231,1,33.3,0.20,2,66.7,0.37,0,3,0.28,152,66.7,29.86,76,33.3,13.89,0,228,21.59,18,47.4,3.54,20,52.6,3.65,0,38,3.60,134,70.5,26.33,56,29.5,10.23,0,190,17.99
30-39 ans        ,9475,55.7,1731.63,7540,44.3,1325.75,23,17038,1526.83,8615,6900,15539,5,71.4,0.91,2,28.6,0.35,0,7,0.63,226,58.2,41.30,162,41.8,28.48,0,388,34.77,25,32.9,4.57,51,67.1,8.97,0,76,6.81,201,64.4,36.73,111,35.6,19.52,0,312,27.96
40-49 ans        ,10308,55.8,1902.43,8166,44.2,1460.83,23,18497,1680.27,9371,7368,16760,10,40.0,1.85,15,60.0,2.68,0,25,2.27,234,38.9,43.19,368,61.1,65.83,0,602,54.69,49,31.2,9.04,108,68.8,19.32,0,157,14.26,185,41.6,34.14,260,58.4,46.51,0,445,40.42
50-59 ans        ,8772,52.8,1494.34,7836,47.2,1316.89,11,16619,1405.95,7967,7058,15035,56,45.5,9.54,67,54.5,11.26,0,123,10.41,455,40.2,77.51,677,59.8,113.77,0,1132,95.77,100,32.6,17.04,207,67.4,34.79,0,307,25.97,355,43.0,60.48,470,57.0,78.99,0,825,69.79
60-69 ans        ,5019,48.7,866.53,5281,51.3,928.99,4,10304,897.82,4374,4496,8874,154,39.4,26.59,237,60.6,41.69,0,391,34.07,629,40.9,108.60,909,59.1,159.90,0,1538,134.01,147,33.7,25.38,289,66.3,50.84,0,436,37.99,482,43.7,83.22,620,56.3,109.07,0,1102,96.02
70-79 ans        ,3916,50.9,997.47,3774,49.1,1045.12,1,7691,1020.43,2991,2704,5696,540,43.8,137.55,692,56.2,191.63,0,1232,163.46,1041,45.4,265.16,1253,54.6,346.99,0,2294,304.36,186,36.6,47.38,322,63.4,89.17,0,508,67.40,855,47.9,217.78,931,52.1,257.82,0,1786,236.96
80-89 ans        ,6045,63.3,3192.03,3498,36.7,2529.34,2,9545,2912.95,3877,1712,5590,1359,51.3,717.61,1290,48.7,932.78,1,2650,808.73,1524,54.3,804.74,1285,45.7,929.16,0,2809,857.25,114,47.5,60.20,126,52.5,91.11,0,240,73.24,1410,54.9,744.54,1159,45.1,838.05,0,2569,784.01
90 ans et plus   ,4702,75.3,8072.66,1539,24.7,6301.18,2,6243,7551.71,2758,653,3413,1486,67.8,2551.25,707,32.2,2894.69,0,2193,2652.72,892,65.8,1531.44,464,34.2,1899.77,0,1356,1640.26,16,42.1,27.47,22,57.9,90.08,0,38,45.97,876,66.5,1503.97,442,33.5,1809.70,0,1318,1594.29
Inconnu          ,42,56.8,         .  ,32,43.2,         .  ,2,76,         .  ,116,91,209,9,34.6,         .  ,17,65.4,         .  ,0,26,         .  ,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  ,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  ,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  
