,Cas,,,,,,,,,Rétablissements,,,Décès,,,,,,,,,Hospitalisations incidentes,,,,,,,,,,,,,,,,,
Groupe d'âge,Cas F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Cas H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Cas total CUMUL,Taux pour 100 000 CUMUL,Rétablis F CUMUL,Rétablis H CUMUL,Rétablis T CUMUL,Décès F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Décès H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Décès total CUMUL,Taux pour 100 000 CUMUL,Hospit totales INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit totales INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit totales INC T CUMUL,Taux pour 100 000 CUMUL,Hospit SI INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit SI INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit SI INC T CUMUL,Taux pour 100 000 CUMUL
0-9 ans          ,1154,48.8,264.20,1210,51.2,264.66,2,2366,264.66,1071,1119,2192,0,          . ,0.00,0,          . ,0.00,0,0,0.00,15,33.3,3.43,30,66.7,6.56,0,45,5.03,3,37.5,0.69,5,62.5,1.09,0,8,0.89
10-19 ans        ,2125,52.7,493.45,1904,47.3,425.28,2,4031,458.93,1859,1669,3530,0,0.0,0.00,1,100.0,0.22,0,1,0.11,15,50.0,3.48,15,50.0,3.35,0,30,3.42,3,60.0,0.70,2,40.0,0.45,0,5,0.57
20-29 ans        ,5595,55.6,1099.27,4461,44.4,815.14,29,10085,954.80,5246,4098,9370,1,33.3,0.20,2,66.7,0.37,0,3,0.28,92,67.6,18.08,44,32.4,8.04,0,136,12.88,14,51.9,2.75,13,48.1,2.38,0,27,2.56
30-39 ans        ,4976,56.7,909.40,3795,43.3,667.27,21,8792,787.88,4772,3598,8392,4,66.7,0.73,2,33.3,0.35,0,6,0.54,150,60.0,27.41,100,40.0,17.58,0,250,22.40,20,38.5,3.66,32,61.5,5.63,0,52,4.66
40-49 ans        ,5683,57.8,1048.85,4146,42.2,741.68,18,9847,894.51,5477,3952,9447,6,30.0,1.11,14,70.0,2.50,0,20,1.82,162,40.6,29.90,237,59.4,42.40,0,399,36.25,35,34.0,6.46,68,66.0,12.16,0,103,9.36
50-59 ans        ,5096,55.0,868.12,4166,45.0,700.12,7,9269,784.15,4894,3942,8843,47,43.1,8.01,62,56.9,10.42,0,109,9.22,282,40.2,48.04,419,59.8,70.42,0,701,59.30,65,32.8,11.07,133,67.2,22.35,0,198,16.75
60-69 ans        ,2817,50.0,486.35,2820,50.0,496.07,4,5641,491.52,2595,2490,5089,135,38.6,23.31,215,61.4,37.82,0,350,30.50,371,41.1,64.05,532,58.9,93.59,0,903,78.68,81,32.9,13.98,165,67.1,29.03,0,246,21.43
70-79 ans        ,2443,51.1,622.27,2339,48.9,647.73,0,4782,634.47,1917,1676,3593,453,43.6,115.39,587,56.4,162.56,0,1040,137.99,624,46.0,158.94,732,54.0,202.71,0,1356,179.91,112,40.7,28.53,163,59.3,45.14,0,275,36.49
80-89 ans        ,4479,64.4,2365.11,2474,35.6,1788.90,2,6955,2122.53,3141,1290,4432,1200,51.7,633.65,1119,48.3,809.13,1,2320,708.02,1050,58.2,554.45,755,41.8,545.93,0,1805,550.85,65,50.0,34.32,65,50.0,47.00,0,130,39.67
90 ans et plus   ,3690,76.7,6335.20,1121,23.3,4589.75,2,4813,5821.94,2314,510,2826,1335,68.7,2292.00,608,31.3,2489.35,0,1943,2350.31,631,68.7,1083.34,288,31.3,1179.17,0,919,1111.65,8,47.1,13.73,9,52.9,36.85,0,17,20.56
Inconnu          ,38,54.3,         .  ,32,45.7,         .  ,2,72,         .  ,271,231,504,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  ,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  ,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  
Total            ,38096,57.2,891.79,28468,42.8,667.13,89,66653,780.56,33557,24575,58218,3181,54.9,74.46,2610,45.1,61.16,1,5792,67.83,3392,51.8,79.40,3152,48.2,73.87,0,6544,76.64,406,38.3,9.50,655,61.7,15.35,0,1061,12.43
Taux standardisés,           .,          . ,856.69,           .,          . ,683.54,           .,           .,774.34,           .,           .,           .,           .,          . ,55.81,           .,          . ,69.89,           .,           .,61.93,           .,          . ,67.63,           .,          . ,77.99,           .,           .,72.57,           .,          . ,8.84,           .,          . ,15.38,           .,           .,12.01
