,Cas,,,,,,,,,Rétablissements,,,Décès,,,,,,,,,Hospitalisations incidentes,,,,,,,,,,,,,,,,,,,,,,,,,,
Groupe d'âge,Cas F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Cas H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Cas total CUMUL,Taux pour 100 000 CUMUL,Rétablis F CUMUL,Rétablis H CUMUL,Rétablis T CUMUL,Décès F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Décès H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Décès total CUMUL,Taux pour 100 000 CUMUL,Hospit totales INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit totales INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit totales INC T CUMUL,Taux pour 100 000 CUMUL,Hospit SI INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit SI INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit SI INC T CUMUL,Taux pour 100 000 CUMUL,Hospit hors SI INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit hors SI INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit hors SI INC T CUMUL,Taux pour 100 000 CUMUL
0-9 ans,2952,47.4,675.85,3279,52.6,717.20,3,6234,697.33,2481,2760,5244,0,          . ,0.00,0,          . ,0.00,0,0,0.00,30,39.5,6.87,46,60.5,10.06,0,76,8.50,3,27.3,0.69,8,72.7,1.75,0,11,1.23,27,41.5,6.18,38,58.5,8.31,0,65,7.27
10-19 ans,6365,50.9,1478.03,6150,49.1,1373.66,3,12518,1425.17,5477,5328,10808,0,0.0,0.00,1,100.0,0.22,0,1,0.11,31,55.4,7.20,25,44.6,5.58,0,56,6.38,3,37.5,0.70,5,62.5,1.12,0,8,0.91,28,58.3,6.50,20,41.7,4.47,0,48,5.46
20-29 ans,10500,54.2,2062.98,8874,45.8,1621.52,35,19409,1837.56,9663,8158,17854,1,33.3,0.20,2,66.7,0.37,0,3,0.28,151,66.8,29.67,75,33.2,13.70,0,226,21.40,18,47.4,3.54,20,52.6,3.65,0,38,3.60,133,70.7,26.13,55,29.3,10.05,0,188,17.80
30-39 ans,9308,55.7,1701.11,7414,44.3,1303.60,23,16745,1500.57,8410,6758,15192,5,71.4,0.91,2,28.6,0.35,0,7,0.63,224,58.5,40.94,159,41.5,27.96,0,383,34.32,25,32.9,4.57,51,67.1,8.97,0,76,6.81,199,64.8,36.37,108,35.2,18.99,0,307,27.51
40-49 ans,10106,55.8,1865.15,7989,44.2,1429.16,23,18118,1645.85,9173,7212,16406,10,40.0,1.85,15,60.0,2.68,0,25,2.27,233,39.0,43.00,364,61.0,65.12,0,597,54.23,49,31.2,9.04,108,68.8,19.32,0,157,14.26,184,41.8,33.96,256,58.2,45.80,0,440,39.97
50-59 ans,8587,52.8,1462.83,7691,47.2,1292.52,12,16290,1378.11,7830,6916,14756,55,45.1,9.37,67,54.9,11.26,0,122,10.32,451,40.2,76.83,671,59.8,112.77,0,1122,94.92,98,32.2,16.69,206,67.8,34.62,0,304,25.72,353,43.2,60.13,465,56.8,78.15,0,818,69.20
60-69 ans,4914,48.7,848.40,5175,51.3,910.34,4,10093,879.43,4297,4402,8703,154,39.5,26.59,236,60.5,41.52,0,390,33.98,617,40.7,106.52,899,59.3,158.14,0,1516,132.09,145,33.6,25.03,287,66.4,50.49,0,432,37.64,472,43.5,81.49,612,56.5,107.66,0,1084,94.45
70-79 ans,3850,50.9,980.66,3716,49.1,1029.06,1,7567,1003.98,2931,2654,5586,538,43.9,137.04,687,56.1,190.25,0,1225,162.53,1029,45.3,262.10,1241,54.7,343.66,0,2270,301.18,183,36.3,46.61,321,63.7,88.89,0,504,66.87,846,47.9,215.49,920,52.1,254.77,0,1766,234.31
80-89 ans,5958,63.3,3146.09,3452,36.7,2496.08,2,9412,2872.36,3842,1691,5534,1351,51.4,713.39,1279,48.6,924.82,1,2631,802.93,1512,54.4,798.40,1266,45.6,915.42,0,2778,847.79,113,47.7,59.67,124,52.3,89.66,0,237,72.33,1399,55.1,738.73,1142,44.9,825.76,0,2541,775.46
90 ans et plus,4656,75.3,7993.68,1524,24.7,6239.76,2,6182,7477.92,2733,648,3383,1479,67.8,2539.23,702,32.2,2874.22,0,2181,2638.20,880,65.8,1510.83,458,34.2,1875.20,0,1338,1618.48,16,42.1,27.47,22,57.9,90.08,0,38,45.97,864,66.5,1483.36,436,33.5,1785.13,0,1300,1572.52
Inconnu,42,57.5,         .  ,31,42.5,         .  ,2,75,         .  ,114,86,202,9,34.6,         .  ,17,65.4,         .  ,0,26,         .  ,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  ,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  ,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  
Total,67238,54.9,1573.98,55295,45.1,1295.80,110,122643,1436.26,56951,46613,103668,3602,54.5,84.32,3008,45.5,70.49,1,6611,77.42,5158,49.8,120.74,5204,50.2,121.95,0,10362,121.35,653,36.2,15.29,1152,63.8,27.00,0,1805,21.14,4505,52.6,105.46,4052,47.4,94.96,0,8557,100.21
