,Cas,,,,,,,,,Rétablissements,,,Décès,,,,,,,,,Hospitalisations incidentes,,,,,,,,,,,,,,,,,
Groupe d'âge,Cas F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Cas H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Cas total CUMUL,Taux pour 100 000 CUMUL,Rétablis F CUMUL,Rétablis H CUMUL,Rétablis T CUMUL,Décès F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Décès H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Décès total CUMUL,Taux pour 100 000 CUMUL,Hospit totales INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit totales INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit totales INC T CUMUL,Taux pour 100 000 CUMUL,Hospit SI INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit SI INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit SI INC T CUMUL,Taux pour 100 000 CUMUL
0-9 ans          ,1163,48.8,266.26,1222,51.2,267.28,2,2387,267.01,1081,1128,2211,0,          . ,0.00,0,          . ,0.00,0,0,0.00,15,33.3,3.43,30,66.7,6.56,0,45,5.03,3,37.5,0.69,5,62.5,1.09,0,8,0.89
10-19 ans        ,2155,52.7,500.42,1937,47.3,432.65,2,4094,466.10,1874,1683,3559,0,0.0,0.00,1,100.0,0.22,0,1,0.11,15,50.0,3.48,15,50.0,3.35,0,30,3.42,3,60.0,0.70,2,40.0,0.45,0,5,0.57
20-29 ans        ,5657,55.6,1111.45,4515,44.4,825.01,29,10201,965.79,5282,4133,9441,1,33.3,0.20,2,66.7,0.37,0,3,0.28,92,67.6,18.08,44,32.4,8.04,0,136,12.88,14,51.9,2.75,13,48.1,2.38,0,27,2.56
30-39 ans        ,5009,56.7,915.43,3823,43.3,672.19,21,8853,793.35,4792,3617,8431,4,66.7,0.73,2,33.3,0.35,0,6,0.54,151,59.9,27.60,101,40.1,17.76,0,252,22.58,21,39.6,3.84,32,60.4,5.63,0,53,4.75
40-49 ans        ,5713,57.8,1054.38,4170,42.2,745.98,18,9901,899.41,5497,3966,9481,6,30.0,1.11,14,70.0,2.50,0,20,1.82,162,40.5,29.90,238,59.5,42.58,0,400,36.34,35,34.0,6.46,68,66.0,12.16,0,103,9.36
50-59 ans        ,5121,55.0,872.38,4191,45.0,704.33,7,9319,788.38,4908,3957,8872,47,42.7,8.01,63,57.3,10.59,0,110,9.31,283,40.3,48.21,420,59.7,70.58,0,703,59.47,65,32.8,11.07,133,67.2,22.35,0,198,16.75
60-69 ans        ,2827,49.9,488.08,2839,50.1,499.41,4,5670,494.04,2605,2498,5107,135,38.6,23.31,215,61.4,37.82,0,350,30.50,371,41.1,64.05,532,58.9,93.59,0,903,78.68,82,33.2,14.16,165,66.8,29.03,0,247,21.52
70-79 ans        ,2451,51.1,624.31,2343,48.9,648.84,0,4794,636.06,1923,1680,3603,453,43.5,115.39,588,56.5,162.83,0,1041,138.12,626,46.1,159.45,732,53.9,202.71,0,1358,180.18,113,40.9,28.78,163,59.1,45.14,0,276,36.62
80-89 ans        ,4490,64.4,2370.92,2480,35.6,1793.24,2,6972,2127.72,3141,1291,4433,1202,51.8,634.71,1120,48.2,809.85,1,2323,708.93,1050,58.1,554.45,756,41.9,546.65,0,1806,551.16,65,50.0,34.32,65,50.0,47.00,0,130,39.67
90 ans et plus   ,3693,76.7,6340.35,1122,23.3,4593.84,2,4817,5826.78,2314,510,2826,1335,68.7,2292.00,608,31.3,2489.35,0,1943,2350.31,631,68.7,1083.34,288,31.3,1179.17,0,919,1111.65,8,47.1,13.73,9,52.9,36.85,0,17,20.56
Inconnu          ,38,54.3,         .  ,32,45.7,         .  ,2,72,         .  ,279,245,526,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  ,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  ,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  
Total            ,38317,57.2,896.97,28674,42.8,671.96,89,67080,785.57,33696,24708,58490,3183,54.9,74.51,2613,45.1,61.23,1,5797,67.89,3396,51.8,79.50,3156,48.2,73.96,0,6552,76.73,409,38.4,9.57,655,61.6,15.35,0,1064,12.46
Taux standardisés,           .,          . ,861.96,           .,          . ,688.37,           .,           .,779.39,           .,           .,           .,           .,          . ,55.84,           .,          . ,69.96,           .,           .,61.99,           .,          . ,67.72,           .,          . ,78.09,           .,           .,72.67,           .,          . ,8.90,           .,          . ,15.38,           .,           .,12.04
