,Cas,,,,,,,,,Rétablissements,,,Décès,,,,,,,,,Hospitalisations incidentes,,,,,,,,,,,,,,,,,,,,,,,,,,
Groupe d'âge,Cas F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Cas H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Cas total CUMUL,Taux pour 100 000 CUMUL,Rétablis F CUMUL,Rétablis H CUMUL,Rétablis T CUMUL,Décès F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Décès H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Décès total CUMUL,Taux pour 100 000 CUMUL,Hospit totales INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit totales INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit totales INC T CUMUL,Taux pour 100 000 CUMUL,Hospit SI INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit SI INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit SI INC T CUMUL,Taux pour 100 000 CUMUL,Hospit hors SI INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit hors SI INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit hors SI INC T CUMUL,Taux pour 100 000 CUMUL
0-9 ans,3083,47.5,705.84,3414,52.5,746.73,3,6500,727.09,2647,2948,5598,0,          . ,0.00,0,          . ,0.00,0,0,0.00,30,39.0,6.87,47,61.0,10.28,0,77,8.61,3,27.3,0.69,8,72.7,1.75,0,11,1.23,27,40.9,6.18,39,59.1,8.53,0,66,7.38
10-19 ans,6621,50.8,1537.48,6417,49.2,1433.29,3,13041,1484.72,5771,5604,11378,0,0.0,0.00,1,100.0,0.22,0,1,0.11,31,55.4,7.20,25,44.6,5.58,0,56,6.38,3,37.5,0.70,5,62.5,1.12,0,8,0.91,28,58.3,6.50,20,41.7,4.47,0,48,5.46
20-29 ans,10754,54.2,2112.88,9091,45.8,1661.17,35,19880,1882.15,9976,8423,18432,1,33.3,0.20,2,66.7,0.37,0,3,0.28,153,66.5,30.06,77,33.5,14.07,0,230,21.78,18,47.4,3.54,20,52.6,3.65,0,38,3.60,135,70.3,26.52,57,29.7,10.42,0,192,18.18
30-39 ans,9550,55.7,1745.33,7600,44.3,1336.30,24,17174,1539.02,8707,6976,15707,5,71.4,0.91,2,28.6,0.35,0,7,0.63,226,58.2,41.30,162,41.8,28.48,0,388,34.77,25,32.9,4.57,51,67.1,8.97,0,76,6.81,201,64.4,36.73,111,35.6,19.52,0,312,27.96
40-49 ans,10380,55.8,1915.72,8218,44.2,1470.13,23,18621,1691.54,9489,7469,16979,10,40.0,1.85,15,60.0,2.68,0,25,2.27,234,38.7,43.19,370,61.3,66.19,0,604,54.87,49,31.2,9.04,108,68.8,19.32,0,157,14.26,185,41.4,34.14,262,58.6,46.87,0,447,40.61
50-59 ans,8842,52.8,1506.27,7895,47.2,1326.81,11,16748,1416.86,8043,7161,15214,57,46.0,9.71,67,54.0,11.26,0,124,10.49,460,40.4,78.36,680,59.6,114.28,0,1140,96.44,101,32.8,17.21,207,67.2,34.79,0,308,26.06,359,43.1,61.16,473,56.9,79.49,0,832,70.39
60-69 ans,5069,48.8,875.16,5328,51.2,937.26,4,10401,906.27,4422,4550,8976,154,39.3,26.59,238,60.7,41.87,0,392,34.16,633,41.0,109.29,912,59.0,160.43,0,1545,134.62,147,33.7,25.38,289,66.3,50.84,0,436,37.99,486,43.8,83.91,623,56.2,109.59,0,1109,96.63
70-79 ans,3943,50.9,1004.35,3806,49.1,1053.98,1,7750,1028.26,3012,2735,5748,542,43.9,138.06,694,56.1,192.19,0,1236,163.99,1045,45.4,266.18,1256,54.6,347.82,0,2301,305.29,187,36.7,47.63,322,63.3,89.17,0,509,67.53,858,47.9,218.55,934,52.1,258.65,0,1792,237.76
80-89 ans,6081,63.4,3211.04,3516,36.6,2542.35,2,9599,2929.43,3917,1732,5650,1366,51.4,721.31,1292,48.6,934.22,1,2659,811.47,1530,54.2,807.91,1293,45.8,934.94,0,2823,861.52,115,47.5,60.73,127,52.5,91.83,0,242,73.85,1415,54.8,747.18,1166,45.2,843.11,0,2581,787.67
