,Cas,,,,,,,,,Rétablissements,,,Décès,,,,,,,,,Hospitalisations incidentes,,,,,,,,,,,,,,,,,,,,,,,,,,
Groupe d'âge,Cas F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Cas H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Cas total CUMUL,Taux pour 100 000 CUMUL,Rétablis F CUMUL,Rétablis H CUMUL,Rétablis T CUMUL,Décès F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Décès H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Décès total CUMUL,Taux pour 100 000 CUMUL,Hospit totales INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit totales INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit totales INC T CUMUL,Taux pour 100 000 CUMUL,Hospit SI INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit SI INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit SI INC T CUMUL,Taux pour 100 000 CUMUL,Hospit hors SI INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit hors SI INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit hors SI INC T CUMUL,Taux pour 100 000 CUMUL
0-9 ans,1779,47.5,407.30,1963,52.5,429.36,1,3743,418.69,1560,1721,3282,0,          . ,0.00,0,          . ,0.00,0,0,0.00,19,31.7,4.35,41,68.3,8.97,0,60,6.71,3,27.3,0.69,8,72.7,1.75,0,11,1.23,16,32.7,3.66,33,67.3,7.22,0,49,5.48
10-19 ans,4231,51.6,982.49,3967,48.4,886.06,3,8201,933.68,3619,3351,6972,0,0.0,0.00,1,100.0,0.22,0,1,0.11,25,51.0,5.81,24,49.0,5.36,0,49,5.58,3,37.5,0.70,5,62.5,1.12,0,8,0.91,22,53.7,5.11,19,46.3,4.24,0,41,4.67
20-29 ans,8304,54.5,1631.52,6945,45.5,1269.04,34,15283,1446.93,7684,6369,14084,1,33.3,0.20,2,66.7,0.37,0,3,0.28,135,67.8,26.52,64,32.2,11.69,0,199,18.84,18,51.4,3.54,17,48.6,3.11,0,35,3.31,117,71.3,22.99,47,28.7,8.59,0,164,15.53
30-39 ans,7028,55.4,1284.42,5668,44.6,996.60,24,12720,1139.88,6402,5183,11609,4,66.7,0.73,2,33.3,0.35,0,6,0.54,190,58.5,34.72,135,41.5,23.74,0,325,29.12,24,34.8,4.39,45,65.2,7.91,0,69,6.18,166,64.8,30.34,90,35.2,15.82,0,256,22.94
40-49 ans,7697,56.2,1420.55,6006,43.8,1074.42,20,13723,1246.60,7014,5395,12429,8,36.4,1.48,14,63.6,2.50,0,22,2.00,209,38.1,38.57,339,61.9,60.64,0,548,49.78,46,31.7,8.49,99,68.3,17.71,0,145,13.17,163,40.4,30.08,240,59.6,42.93,0,403,36.61
50-59 ans,6693,53.4,1140.18,5842,46.6,981.79,9,12544,1061.21,6126,5201,11335,47,43.1,8.01,62,56.9,10.42,0,109,9.22,393,40.3,66.95,581,59.7,97.64,0,974,82.40,88,32.5,14.99,183,67.5,30.75,0,271,22.93,305,43.4,51.96,398,56.6,66.89,0,703,59.47
60-69 ans,3789,49.0,654.17,3940,51.0,693.09,4,7733,673.80,3294,3303,6601,139,38.8,24.00,219,61.2,38.52,0,358,31.19,543,40.9,93.75,786,59.1,138.27,0,1329,115.80,128,32.7,22.10,264,67.3,46.44,0,392,34.16,415,44.3,71.65,522,55.7,91.83,0,937,81.64
70-79 ans,3091,51.0,787.33,2967,49.0,821.64,1,6059,803.90,2349,2069,4419,481,43.7,122.52,619,56.3,171.42,0,1100,145.95,855,45.0,217.78,1043,55.0,288.83,0,1898,251.82,159,36.4,40.50,278,63.6,76.99,0,437,57.98,696,47.6,177.28,765,52.4,211.85,0,1461,193.84
80-89 ans,5082,63.8,2683.52,2886,36.2,2086.81,2,7970,2432.29,3319,1365,4685,1250,51.6,660.06,1172,48.4,847.45,1,2423,739.45,1328,55.5,701.24,1064,44.5,769.36,0,2392,729.99,97,48.5,51.22,103,51.5,74.48,0,200,61.04,1231,56.2,650.02,961,43.8,694.88,0,2192,668.96
90 ans et plus,4060,76.1,6970.44,1278,23.9,5232.56,2,5340,6459.42,2404,539,2944,1373,68.3,2357.24,638,31.7,2612.18,0,2011,2432.56,789,68.0,1354.60,372,32.0,1523.09,0,1161,1404.38,15,45.5,25.75,18,54.5,73.70,0,33,39.92,774,68.6,1328.85,354,31.4,1449.39,0,1128,1364.46
Inconnu,41,56.2,         .  ,32,43.8,         .  ,2,75,         .  ,109,88,199,0,0.0,         .  ,5,100.0,         .  ,0,5,         .  ,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  ,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  ,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  
Total,51795,55.5,1212.47,41494,44.5,972.39,102,93391,1093.69,43880,34584,78559,3303,54.7,77.32,2734,45.3,64.07,1,6038,70.71,4486,50.2,105.01,4449,49.8,104.26,0,8935,104.64,581,36.3,13.60,1020,63.7,23.90,0,1601,18.75,3905,53.2,91.41,3429,46.8,80.36,0,7334,85.89
Taux standardisés,           .,          . ,1179.50,           .,          . ,990.02,           .,           .,1088.88,           .,           .,           .,           .,          . ,58.00,           .,          . ,73.09,           .,           .,64.50,           .,          . ,89.95,           .,          . ,109.60,           .,           .,99.15,           .,          . ,12.56,           .,          . ,23.87,           .,           .,18.01,           .,          . ,77.39,           .,          . ,85.73,           .,           .,81.13
