,Cas,,,,,,,,,Rétablissements,,,Décès,,,,,,,,,Hospitalisations incidentes,,,,,,,,,,,,,,,,,,,,,,,,,,
Groupe d'âge,Cas F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Cas H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Cas total CUMUL,Taux pour 100 000 CUMUL,Rétablis F CUMUL,Rétablis H CUMUL,Rétablis T CUMUL,Décès F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Décès H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Décès total CUMUL,Taux pour 100 000 CUMUL,Hospit totales INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit totales INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit totales INC T CUMUL,Taux pour 100 000 CUMUL,Hospit SI INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit SI INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit SI INC T CUMUL,Taux pour 100 000 CUMUL,Hospit hors SI INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit hors SI INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit hors SI INC T CUMUL,Taux pour 100 000 CUMUL
0-9 ans,3855,47.8,882.59,4216,52.2,922.15,2,8073,903.04,3386,3731,7119,0,          . ,0.00,0,          . ,0.00,0,0,0.00,31,38.3,7.10,50,61.7,10.94,0,81,9.06,3,27.3,0.69,8,72.7,1.75,0,11,1.23,28,40.0,6.41,42,60.0,9.19,0,70,7.83
10-19 ans,7837,50.5,1819.85,7682,49.5,1715.84,3,15522,1767.18,7151,6970,14124,0,0.0,0.00,1,100.0,0.22,0,1,0.11,38,57.6,8.82,28,42.4,6.25,0,66,7.51,3,37.5,0.70,5,62.5,1.12,0,8,0.91,35,60.3,8.13,23,39.7,5.14,0,58,6.60
20-29 ans,12194,54.1,2395.80,10349,45.9,1891.04,35,22578,2137.59,11340,9582,20956,1,33.3,0.20,2,66.7,0.37,0,3,0.28,165,66.5,32.42,83,33.5,15.17,0,248,23.48,21,48.8,4.13,22,51.2,4.02,0,43,4.07,144,70.2,28.29,61,29.8,11.15,0,205,19.41
30-39 ans,11001,55.8,2010.52,8730,44.2,1534.99,22,19753,1770.13,10081,8077,18181,5,62.5,0.91,3,37.5,0.53,0,8,0.72,245,59.0,44.78,170,41.0,29.89,0,415,37.19,28,34.6,5.12,53,65.4,9.32,0,81,7.26,217,65.0,39.66,117,35.0,20.57,0,334,29.93
40-49 ans,11881,55.8,2192.74,9425,44.2,1686.05,24,21330,1937.63,10930,8662,19615,11,42.3,2.03,15,57.7,2.68,0,26,2.36,260,40.1,47.99,389,59.9,69.59,0,649,58.96,54,32.5,9.97,112,67.5,20.04,0,166,15.08,206,42.7,38.02,277,57.3,49.55,0,483,43.88
50-59 ans,10121,52.8,1724.15,9042,47.2,1519.57,11,19174,1622.10,9269,8244,17524,58,43.9,9.88,74,56.1,12.44,0,132,11.17,486,39.9,82.79,733,60.1,123.19,0,1219,103.13,105,32.2,17.89,221,67.8,37.14,0,326,27.58,381,42.7,64.90,512,57.3,86.05,0,893,75.55
60-69 ans,5835,48.9,1007.41,6098,51.1,1072.71,4,11937,1040.10,5165,5327,10496,164,39.0,28.31,257,61.0,45.21,0,421,36.68,706,41.0,121.89,1014,59.0,178.37,0,1720,149.87,161,33.4,27.80,321,66.6,56.47,0,482,42.00,545,44.0,94.09,693,56.0,121.91,0,1238,107.87
70-79 ans,4478,51.0,1140.62,4298,49.0,1190.23,1,8777,1164.52,3465,3177,6643,584,44.1,148.75,739,55.9,204.65,0,1323,175.53,1167,45.5,297.25,1397,54.5,386.86,0,2564,340.19,204,37.3,51.96,343,62.7,94.99,0,547,72.58,963,47.7,245.29,1054,52.3,291.88,0,2017,267.61
80-89 ans,6818,63.0,3600.21,3999,37.0,2891.60,2,10819,3301.75,4374,1978,6353,1447,51.0,764.08,1390,49.0,1005.08,1,2838,866.10,1679,53.6,886.59,1451,46.4,1049.19,0,3130,955.21,120,45.1,63.37,146,54.9,105.57,0,266,81.18,1559,54.4,823.22,1305,45.6,943.62,0,2864,874.04
