,Cas,,,,,,,,,Rétablissements,,,Décès,,,,,,,,,Hospitalisations incidentes,,,,,,,,,,,,,,,,,,,,,,,,,,
Groupe d'âge,Cas F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Cas H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Cas total CUMUL,Taux pour 100 000 CUMUL,Rétablis F CUMUL,Rétablis H CUMUL,Rétablis T CUMUL,Décès F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Décès H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Décès total CUMUL,Taux pour 100 000 CUMUL,Hospit totales INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit totales INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit totales INC T CUMUL,Taux pour 100 000 CUMUL,Hospit SI INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit SI INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit SI INC T CUMUL,Taux pour 100 000 CUMUL,Hospit hors SI INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit hors SI INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit hors SI INC T CUMUL,Taux pour 100 000 CUMUL
0-9 ans          ,1561,47.5,357.38,1724,52.5,377.08,1,3286,367.57,1384,1511,2896,0,          . ,0.00,0,          . ,0.00,0,0,0.00,18,32.7,4.12,37,67.3,8.09,0,55,6.15,3,30.0,0.69,7,70.0,1.53,0,10,1.12,15,33.3,3.43,30,66.7,6.56,0,45,5.03
10-19 ans        ,3587,51.8,832.95,3343,48.2,746.69,2,6932,789.21,2996,2711,5709,0,0.0,0.00,1,100.0,0.22,0,1,0.11,25,52.1,5.81,23,47.9,5.14,0,48,5.46,3,37.5,0.70,5,62.5,1.12,0,8,0.91,22,55.0,5.11,18,45.0,4.02,0,40,4.55
20-29 ans        ,7674,54.8,1507.74,6336,45.2,1157.76,33,14043,1329.53,6863,5588,12482,1,33.3,0.20,2,66.7,0.37,0,3,0.28,132,68.0,25.93,62,32.0,11.33,0,194,18.37,18,51.4,3.54,17,48.6,3.11,0,35,3.31,114,71.7,22.40,45,28.3,8.22,0,159,15.05
30-39 ans        ,6415,55.5,1172.39,5143,44.5,904.29,23,11581,1037.81,5781,4564,10367,4,66.7,0.73,2,33.3,0.35,0,6,0.54,183,58.3,33.44,131,41.7,23.03,0,314,28.14,23,33.8,4.20,45,66.2,7.91,0,68,6.09,160,65.0,29.24,86,35.0,15.12,0,246,22.04
40-49 ans        ,7018,56.5,1295.23,5404,43.5,966.73,20,12442,1130.24,6423,4823,11265,6,30.0,1.11,14,70.0,2.50,0,20,1.82,202,38.8,37.28,319,61.2,57.07,0,521,47.33,45,32.1,8.31,95,67.9,16.99,0,140,12.72,157,41.2,28.98,224,58.8,40.07,0,381,34.61
50-59 ans        ,6194,54.0,1055.17,5273,46.0,886.16,8,11475,970.77,5642,4682,10332,47,43.1,8.01,62,56.9,10.42,0,109,9.22,382,40.6,65.08,560,59.4,94.11,0,942,79.69,88,32.6,14.99,182,67.4,30.59,0,270,22.84,294,43.8,50.08,378,56.3,63.53,0,672,56.85
60-69 ans        ,3471,49.3,599.27,3571,50.7,628.18,4,7046,613.94,2978,2947,5929,139,39.0,24.00,217,61.0,38.17,0,356,31.02,512,41.2,88.40,730,58.8,128.42,0,1242,108.22,124,33.6,21.41,245,66.4,43.10,0,369,32.15,388,44.4,66.99,485,55.6,85.32,0,873,76.07
70-79 ans        ,2876,51.3,732.57,2733,48.7,756.84,0,5609,744.19,2170,1893,4063,468,43.5,119.21,607,56.5,168.09,0,1075,142.63,823,45.4,209.63,991,54.6,274.43,0,1814,240.68,154,37.2,39.23,260,62.8,72.00,0,414,54.93,669,47.8,170.41,731,52.2,202.43,0,1400,185.75
80-89 ans        ,4846,64.1,2558.90,2712,35.9,1961.00,2,7560,2307.16,3252,1329,4582,1235,51.7,652.13,1153,48.3,833.71,1,2389,729.08,1276,56.2,673.78,996,43.8,720.19,0,2272,693.37,87,48.3,45.94,93,51.7,67.25,0,180,54.93,1189,56.8,627.84,903,43.2,652.94,0,2092,638.44
90 ans et plus   ,3917,76.2,6724.93,1224,23.8,5011.46,2,5143,6221.12,2372,527,2901,1357,68.3,2329.77,629,31.7,2575.34,0,1986,2402.32,766,68.0,1315.11,360,32.0,1473.96,0,1126,1362.04,15,45.5,25.75,18,54.5,73.70,0,33,39.92,751,68.7,1289.36,342,31.3,1400.26,0,1093,1322.12
Inconnu          ,41,56.9,         .  ,31,43.1,         .  ,2,74,         .  ,103,65,170,1,20.0,         .  ,4,80.0,         .  ,0,5,         .  ,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  ,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  ,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  
Total            ,47600,55.9,1114.27,37494,44.1,878.65,97,85191,997.66,39964,30640,70696,3258,54.8,76.27,2691,45.2,63.06,1,5950,69.68,4319,50.6,101.10,4209,49.4,98.64,0,8528,99.87,560,36.7,13.11,967,63.3,22.66,0,1527,17.88,3759,53.7,87.99,3242,46.3,75.97,0,7001,81.99
Taux standardisés,           .,          . ,1081.40,           .,          . ,895.65,           .,           .,992.64,           .,           .,           .,           .,          . ,57.18,           .,          . ,71.98,           .,           .,63.56,           .,          . ,86.59,           .,          . ,103.77,           .,           .,94.64,           .,          . ,12.13,           .,          . ,22.66,           .,           .,17.21,           .,          . ,74.45,           .,          . ,81.11,           .,           .,77.43
