,Cas,,,,,,,,,Rétablissements,,,Décès,,,,,,,,,Hospitalisations incidentes,,,,,,,,,,,,,,,,,,,,,,,,,,
Groupe d'âge,Cas F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Cas H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Cas total CUMUL,Taux pour 100 000 CUMUL,Rétablis F CUMUL,Rétablis H CUMUL,Rétablis T CUMUL,Décès F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Décès H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Décès total CUMUL,Taux pour 100 000 CUMUL,Hospit totales INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit totales INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit totales INC T CUMUL,Taux pour 100 000 CUMUL,Hospit SI INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit SI INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit SI INC T CUMUL,Taux pour 100 000 CUMUL,Hospit hors SI INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit hors SI INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit hors SI INC T CUMUL,Taux pour 100 000 CUMUL
0-9 ans          ,2015,47.3,461.33,2249,52.7,491.92,2,4266,477.19,1730,1907,3638,0,          . ,0.00,0,          . ,0.00,0,0,0.00,21,33.3,4.81,42,66.7,9.19,0,63,7.05,3,27.3,0.69,8,72.7,1.75,0,11,1.23,18,34.6,4.12,34,65.4,7.44,0,52,5.82
10-19 ans        ,4697,51.2,1090.70,4471,48.8,998.64,2,9170,1044.00,4106,3842,7950,0,0.0,0.00,1,100.0,0.22,0,1,0.11,27,52.9,6.27,24,47.1,5.36,0,51,5.81,3,37.5,0.70,5,62.5,1.12,0,8,0.91,24,55.8,5.57,19,44.2,4.24,0,43,4.90
20-29 ans        ,8845,54.3,1737.81,7438,45.7,1359.12,33,16316,1544.73,8203,6858,15093,1,33.3,0.20,2,66.7,0.37,0,3,0.28,139,66.2,27.31,71,33.8,12.97,0,210,19.88,18,51.4,3.54,17,48.6,3.11,0,35,3.31,121,69.1,23.77,54,30.9,9.87,0,175,16.57
30-39 ans        ,7510,55.2,1372.51,6090,44.8,1070.80,23,13623,1220.80,6902,5585,12511,5,71.4,0.91,2,28.6,0.35,0,7,0.63,197,58.5,36.00,140,41.5,24.62,0,337,30.20,24,34.3,4.39,46,65.7,8.09,0,70,6.27,173,64.8,31.62,94,35.2,16.53,0,267,23.93
40-49 ans        ,8270,56.1,1526.30,6469,43.9,1157.25,21,14760,1340.80,7566,5874,13461,9,37.5,1.66,15,62.5,2.68,0,24,2.18,216,38.4,39.86,346,61.6,61.90,0,562,51.05,47,31.3,8.67,103,68.7,18.43,0,150,13.63,169,41.0,31.19,243,59.0,43.47,0,412,37.43
50-59 ans        ,7143,53.2,1216.84,6295,46.8,1057.92,9,13447,1137.60,6556,5660,12224,48,43.2,8.18,63,56.8,10.59,0,111,9.39,404,40.0,68.82,606,60.0,101.84,0,1010,85.44,88,32.1,14.99,186,67.9,31.26,0,274,23.18,316,42.9,53.83,420,57.1,70.58,0,736,62.26
60-69 ans        ,4051,48.8,699.40,4243,51.2,746.39,4,8298,723.03,3563,3608,7175,141,38.7,24.34,223,61.3,39.23,0,364,31.72,566,41.1,97.72,812,58.9,142.84,0,1378,120.07,135,33.4,23.31,269,66.6,47.32,0,404,35.20,431,44.3,74.41,543,55.7,95.52,0,974,84.87
70-79 ans        ,3254,51.0,828.85,3124,49.0,865.12,1,6379,846.36,2494,2207,4702,488,43.7,124.30,628,56.3,173.91,0,1116,148.07,908,45.4,231.28,1094,54.6,302.96,0,2002,265.62,169,36.4,43.05,295,63.6,81.69,0,464,61.56,739,48.0,188.24,799,52.0,221.26,0,1538,204.06
80-89 ans        ,5263,63.7,2779.10,2996,36.3,2166.35,2,8261,2521.10,3418,1419,4838,1275,51.6,673.26,1195,48.4,864.08,1,2471,754.10,1381,55.5,729.23,1106,44.5,799.73,0,2487,758.98,104,48.4,54.92,111,51.6,80.26,0,215,65.61,1277,56.2,674.31,995,43.8,719.47,0,2272,693.37
90 ans et plus   ,4188,75.9,7190.19,1330,24.1,5445.46,2,5520,6677.15,2466,558,3025,1392,68.4,2389.86,644,31.6,2636.75,0,2036,2462.80,814,67.4,1397.52,394,32.6,1613.17,0,1208,1461.23,16,47.1,27.47,18,52.9,73.70,0,34,41.13,798,68.0,1370.05,376,32.0,1539.47,0,1174,1420.10
Inconnu          ,41,56.9,         .  ,31,43.1,         .  ,2,74,         .  ,119,90,211,3,30.0,         .  ,7,70.0,         .  ,0,10,         .  ,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  ,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  ,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  
Total            ,55277,55.3,1293.99,44736,44.7,1048.36,101,100114,1172.42,47123,37608,84828,3362,54.7,78.70,2780,45.3,65.15,1,6143,71.94,4673,50.2,109.39,4635,49.8,108.62,0,9308,109.00,607,36.5,14.21,1058,63.5,24.79,0,1665,19.50,4066,53.2,95.18,3577,46.8,83.82,0,7643,89.51
Taux standardisés,           .,          . ,1261.14,           .,          . ,1066.63,           .,           .,1167.98,           .,           .,           .,           .,          . ,59.01,           .,          . ,74.24,           .,           .,65.58,           .,          . ,93.69,           .,          . ,114.24,           .,           .,103.25,           .,          . ,13.08,           .,          . ,24.74,           .,           .,18.71,           .,          . ,80.61,           .,          . ,89.50,           .,           .,84.54
