,Cas,,,,,,,,,Rétablissements,,,Décès,,,,,,,,,Hospitalisations incidentes,,,,,,,,,,,,,,,,,
Groupe d'âge,Cas F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Cas H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Cas total CUMUL,Taux pour 100 000 CUMUL,Rétablis F CUMUL,Rétablis H CUMUL,Rétablis T CUMUL,Décès F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Décès H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Décès total CUMUL,Taux pour 100 000 CUMUL,Hospit totales INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit totales INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit totales INC T CUMUL,Taux pour 100 000 CUMUL,Hospit SI INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit SI INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit SI INC T CUMUL,Taux pour 100 000 CUMUL
0-9 ans,1290,48.4,295.34,1373,51.6,300.31,2,2665,298.11,1156,1214,2372,0,          . ,0.00,0,          . ,0.00,0,0,0.00,15,31.9,3.43,32,68.1,7.00,0,47,5.26,3,33.3,0.69,6,66.7,1.31,0,9,1.01
10-19 ans,2582,52.7,599.57,2314,47.3,516.85,2,4898,557.64,2097,1897,3996,0,0.0,0.00,1,100.0,0.22,0,1,0.11,18,51.4,4.18,17,48.6,3.80,0,35,3.98,3,50.0,0.70,3,50.0,0.67,0,6,0.68
20-29 ans,6287,55.5,1235.23,5047,44.5,922.22,32,11366,1076.08,5611,4478,10116,1,33.3,0.20,2,66.7,0.37,0,3,0.28,104,69.3,20.43,46,30.7,8.41,0,150,14.20,15,53.6,2.95,13,46.4,2.38,0,28,2.65
30-39 ans,5390,56.5,985.06,4158,43.5,731.10,21,9569,857.51,4958,3805,8785,4,66.7,0.73,2,33.3,0.35,0,6,0.54,153,60.2,27.96,101,39.8,17.76,0,254,22.76,21,39.6,3.84,32,60.4,5.63,0,53,4.75
40-49 ans,6029,57.4,1112.70,4477,42.6,800.90,20,10526,956.19,5641,4119,9779,6,30.0,1.11,14,70.0,2.50,0,20,1.82,164,39.8,30.27,248,60.2,44.37,0,412,37.43,36,33.6,6.64,71,66.4,12.70,0,107,9.72
50-59 ans,5381,54.8,916.67,4445,45.2,747.01,7,9833,831.86,5017,4065,9089,47,43.1,8.01,62,56.9,10.42,0,109,9.22,288,39.9,49.06,433,60.1,72.77,0,721,61.00,65,31.7,11.07,140,68.3,23.53,0,205,17.34
60-69 ans,2977,50.0,513.98,2978,50.0,523.87,4,5959,519.22,2664,2575,5243,135,38.6,23.31,215,61.4,37.82,0,350,30.50,380,41.1,65.61,544,58.9,95.70,0,924,80.51,83,32.9,14.33,169,67.1,29.73,0,252,21.96
70-79 ans,2574,51.4,655.64,2431,48.6,673.21,0,5005,664.06,1959,1711,3670,456,43.5,116.15,592,56.5,163.94,0,1048,139.05,644,46.2,164.04,749,53.8,207.42,0,1393,184.82,121,42.0,30.82,167,58.0,46.25,0,288,38.21
80-89 ans,4579,64.5,2417.92,2525,35.5,1825.78,2,7106,2168.61,3158,1296,4455,1208,51.7,637.88,1127,48.3,814.91,1,2336,712.90,1076,57.8,568.18,784,42.2,566.90,0,1860,567.64,67,49.3,35.38,69,50.7,49.89,0,136,41.50
90 ans et plus,3751,76.6,6439.93,1147,23.4,4696.20,2,4900,5927.18,2328,514,2843,1340,68.6,2300.59,612,31.4,2505.73,0,1952,2361.20,649,68.6,1114.24,297,31.4,1216.02,0,946,1144.31,10,50.0,17.17,10,50.0,40.94,0,20,24.19
Inconnu,39,54.2,         .  ,33,45.8,         .  ,2,74,         .  ,412,367,781,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  ,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  ,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  
Total,40879,56.9,956.94,30928,43.1,724.78,94,71901,842.02,35001,26041,61129,3197,54.9,74.84,2627,45.1,61.56,1,5825,68.22,3491,51.8,81.72,3251,48.2,76.19,0,6742,78.95,424,38.4,9.93,680,61.6,15.94,0,1104,12.93
Taux standardisés,           .,          . ,922.60,           .,          . ,741.25,           .,           .,836.17,           .,           .,           .,           .,          . ,56.09,           .,          . ,70.34,           .,           .,62.28,           .,          . ,69.62,           .,          . ,80.47,           .,           .,74.78,           .,          . ,9.19,           .,          . ,15.99,           .,           .,12.49
