,Cas,,,,,,,,,Rétablissements,,,Décès,,,,,,,,,Hospitalisations incidentes,,,,,,,,,,,,,,,,,,,,,,,,,,
Groupe d'âge,Cas F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Cas H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Cas total CUMUL,Taux pour 100 000 CUMUL,Rétablis F CUMUL,Rétablis H CUMUL,Rétablis T CUMUL,Décès F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Décès H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Décès total CUMUL,Taux pour 100 000 CUMUL,Hospit totales INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit totales INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit totales INC T CUMUL,Taux pour 100 000 CUMUL,Hospit SI INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit SI INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit SI INC T CUMUL,Taux pour 100 000 CUMUL,Hospit hors SI INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit hors SI INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit hors SI INC T CUMUL,Taux pour 100 000 CUMUL
0-9 ans          ,2364,47.4,541.23,2625,52.6,574.16,3,4992,558.40,2036,2276,4315,0,          . ,0.00,0,          . ,0.00,0,0,0.00,24,35.3,5.49,44,64.7,9.62,0,68,7.61,3,27.3,0.69,8,72.7,1.75,0,11,1.23,21,36.8,4.81,36,63.2,7.87,0,57,6.38
10-19 ans        ,5343,50.9,1240.71,5158,49.1,1152.09,3,10504,1195.88,4729,4519,9251,0,0.0,0.00,1,100.0,0.22,0,1,0.11,28,53.8,6.50,24,46.2,5.36,0,52,5.92,3,37.5,0.70,5,62.5,1.12,0,8,0.91,25,56.8,5.81,19,43.2,4.24,0,44,5.01
20-29 ans        ,9470,54.2,1860.61,8005,45.8,1462.73,33,17508,1657.58,8905,7506,16443,1,33.3,0.20,2,66.7,0.37,0,3,0.28,143,65.9,28.10,74,34.1,13.52,0,217,20.54,18,50.0,3.54,18,50.0,3.29,0,36,3.41,125,69.1,24.56,56,30.9,10.23,0,181,17.14
30-39 ans        ,8205,55.4,1499.53,6596,44.6,1159.77,24,14825,1328.52,7542,6128,13694,5,71.4,0.91,2,28.6,0.35,0,7,0.63,215,58.6,39.29,152,41.4,26.73,0,367,32.89,25,34.2,4.57,48,65.8,8.44,0,73,6.54,190,64.6,34.72,104,35.4,18.29,0,294,26.35
40-49 ans        ,8977,56.0,1656.78,7066,44.0,1264.05,21,16064,1459.26,8295,6466,14782,10,40.0,1.85,15,60.0,2.68,0,25,2.27,221,38.2,40.79,357,61.8,63.86,0,578,52.51,49,31.4,9.04,107,68.6,19.14,0,156,14.17,172,40.8,31.74,250,59.2,44.72,0,422,38.33
50-59 ans        ,7755,53.1,1321.09,6860,46.9,1152.87,11,14626,1237.34,7106,6239,13355,51,44.3,8.69,64,55.7,10.76,0,115,9.73,422,39.7,71.89,641,60.3,107.72,0,1063,89.93,89,31.1,15.16,197,68.9,33.11,0,286,24.20,333,42.9,56.73,444,57.1,74.62,0,777,65.73
60-69 ans        ,4379,48.8,756.03,4596,51.2,808.49,4,8979,782.37,3893,3972,7869,146,38.8,25.21,230,61.2,40.46,0,376,32.76,584,40.8,100.83,846,59.2,148.82,0,1430,124.60,138,33.3,23.83,277,66.7,48.73,0,415,36.16,446,43.9,77.00,569,56.1,100.09,0,1015,88.44
70-79 ans        ,3497,50.9,890.74,3368,49.1,932.68,1,6866,910.97,2688,2415,5104,507,43.6,129.14,656,56.4,181.66,0,1163,154.31,951,45.3,242.24,1149,54.7,318.19,0,2100,278.63,173,36.2,44.07,305,63.8,84.46,0,478,63.42,778,48.0,198.17,844,52.0,233.73,0,1622,215.20
80-89 ans        ,5532,63.6,2921.14,3163,36.4,2287.11,2,8697,2654.15,3581,1533,5115,1294,51.3,683.29,1229,48.7,888.67,1,2524,770.28,1426,55.2,752.99,1157,44.8,836.61,0,2583,788.28,107,47.8,56.50,117,52.2,84.60,0,224,68.36,1319,55.9,696.49,1040,44.1,752.00,0,2359,719.92
