,Cas,,,,,,,,,Rétablissements,,,Décès,,,,,,,,,Hospitalisations incidentes,,,,,,,,,,,,,,,,,
Groupe d'âge,Cas F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Cas H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Cas total CUMUL,Taux pour 100 000 CUMUL,Rétablis F CUMUL,Rétablis H CUMUL,Rétablis T CUMUL,Décès F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Décès H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Décès total CUMUL,Taux pour 100 000 CUMUL,Hospit totales INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit totales INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit totales INC T CUMUL,Taux pour 100 000 CUMUL,Hospit SI INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit SI INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit SI INC T CUMUL,Taux pour 100 000 CUMUL
0-9 ans,1254,48.6,287.10,1325,51.4,289.81,2,2581,288.71,1127,1177,2306,0,          . ,0.00,0,          . ,0.00,0,0,0.00,15,32.6,3.43,31,67.4,6.78,0,46,5.15,3,37.5,0.69,5,62.5,1.09,0,8,0.89
10-19 ans,2437,52.4,565.90,2214,47.6,494.52,2,4653,529.74,2032,1815,3849,0,0.0,0.00,1,100.0,0.22,0,1,0.11,16,50.0,3.72,16,50.0,3.57,0,32,3.64,3,50.0,0.70,3,50.0,0.67,0,6,0.68
20-29 ans,6098,55.5,1198.10,4893,44.5,894.08,30,11021,1043.42,5503,4362,9892,1,33.3,0.20,2,66.7,0.37,0,3,0.28,96,68.6,18.86,44,31.4,8.04,0,140,13.25,14,51.9,2.75,13,48.1,2.38,0,27,2.56
30-39 ans,5245,56.5,958.56,4033,43.5,709.12,21,9299,833.31,4899,3759,8680,4,66.7,0.73,2,33.3,0.35,0,6,0.54,152,60.1,27.78,101,39.9,17.76,0,253,22.67,21,39.6,3.84,32,60.4,5.63,0,53,4.75
40-49 ans,5927,57.5,1093.88,4374,42.5,782.47,18,10319,937.38,5596,4060,9674,6,30.0,1.11,14,70.0,2.50,0,20,1.82,163,40.0,30.08,245,60.0,43.83,0,408,37.06,36,34.3,6.64,69,65.7,12.34,0,105,9.54
50-59 ans,5297,54.9,902.36,4351,45.1,731.22,7,9655,816.80,4975,4035,9017,47,43.1,8.01,62,56.9,10.42,0,109,9.22,286,40.3,48.72,424,59.7,71.26,0,710,60.07,65,32.5,11.07,135,67.5,22.69,0,200,16.92
60-69 ans,2918,49.9,503.79,2927,50.1,514.89,4,5849,509.64,2644,2554,5202,135,38.6,23.31,215,61.4,37.82,0,350,30.50,377,41.2,65.09,539,58.8,94.82,0,916,79.81,83,33.2,14.33,167,66.8,29.38,0,250,21.78
70-79 ans,2529,51.3,644.18,2399,48.7,664.34,0,4928,653.84,1946,1701,3647,455,43.5,115.90,592,56.5,163.94,0,1047,138.91,638,46.2,162.51,743,53.8,205.76,0,1381,183.23,116,41.1,29.55,166,58.9,45.97,0,282,37.42
80-89 ans,4547,64.4,2401.02,2509,35.6,1814.21,2,7058,2153.96,3153,1295,4449,1206,51.8,636.82,1123,48.2,812.02,1,2330,711.07,1069,57.9,564.48,776,42.1,561.11,0,1845,563.06,66,49.3,34.85,68,50.7,49.17,0,134,40.89
90 ans et plus,3730,76.6,6403.87,1139,23.4,4663.45,2,4871,5892.10,2327,513,2841,1338,68.7,2297.15,610,31.3,2497.54,0,1948,2356.36,643,68.5,1103.94,296,31.5,1211.92,0,939,1135.84,9,47.4,15.45,10,52.6,40.94,0,19,22.98
Inconnu,39,54.9,         .  ,32,45.1,         .  ,2,73,         .  ,369,328,699,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  ,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  ,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  
Total,40021,57.0,936.86,30196,43.0,707.62,90,70307,823.36,34571,25599,60256,3192,54.9,74.72,2621,45.1,61.42,1,5814,68.09,3455,51.8,80.88,3215,48.2,75.34,0,6670,78.11,416,38.4,9.74,668,61.6,15.65,0,1084,12.69
Taux standardisés,           .,          . ,902.37,           .,          . ,724.05,           .,           .,817.41,           .,           .,           .,           .,          . ,56.00,           .,          . ,70.17,           .,           .,62.17,           .,          . ,68.87,           .,          . ,79.59,           .,           .,73.96,           .,          . ,9.04,           .,          . ,15.70,           .,           .,12.26
