,Cas,,,,,,,,,Rétablissements,,,Décès,,,,,,,,,Hospitalisations incidentes,,,,,,,,,,,,,,,,,,,,,,,,,,
Groupe d'âge,Cas F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Cas H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Cas total CUMUL,Taux pour 100 000 CUMUL,Rétablis F CUMUL,Rétablis H CUMUL,Rétablis T CUMUL,Décès F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Décès H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Décès total CUMUL,Taux pour 100 000 CUMUL,Hospit totales INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit totales INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit totales INC T CUMUL,Taux pour 100 000 CUMUL,Hospit SI INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit SI INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit SI INC T CUMUL,Taux pour 100 000 CUMUL,Hospit hors SI INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit hors SI INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit hors SI INC T CUMUL,Taux pour 100 000 CUMUL
0-9 ans          ,1543,47.5,353.26,1703,52.5,372.49,1,3247,363.21,1368,1481,2850,0,          . ,0.00,0,          . ,0.00,0,0,0.00,16,30.2,3.66,37,69.8,8.09,0,53,5.93,3,30.0,0.69,7,70.0,1.53,0,10,1.12,13,30.2,2.98,30,69.8,6.56,0,43,4.81
10-19 ans        ,3511,52.0,815.30,3247,48.0,725.25,2,6760,769.62,2906,2615,5523,0,0.0,0.00,1,100.0,0.22,0,1,0.11,24,53.3,5.57,21,46.7,4.69,0,45,5.12,3,42.9,0.70,4,57.1,0.89,0,7,0.80,21,55.3,4.88,17,44.7,3.80,0,38,4.33
20-29 ans        ,7572,54.8,1487.70,6242,45.2,1140.58,32,13846,1310.88,6722,5462,12215,1,33.3,0.20,2,66.7,0.37,0,3,0.28,119,69.6,23.38,52,30.4,9.50,0,171,16.19,15,51.7,2.95,14,48.3,2.56,0,29,2.75,104,73.2,20.43,38,26.8,6.94,0,142,13.44
30-39 ans        ,6343,55.6,1159.23,5070,44.4,891.45,23,11436,1024.82,5702,4477,10201,4,66.7,0.73,2,33.3,0.35,0,6,0.54,165,58.7,30.15,116,41.3,20.40,0,281,25.18,21,36.2,3.84,37,63.8,6.51,0,58,5.20,144,64.6,26.32,79,35.4,13.89,0,223,19.98
40-49 ans        ,6926,56.6,1278.25,5319,43.4,951.52,20,12265,1114.16,6340,4742,11101,6,30.0,1.11,14,70.0,2.50,0,20,1.82,176,38.9,32.48,276,61.1,49.37,0,452,41.06,39,33.3,7.20,78,66.7,13.95,0,117,10.63,137,40.9,25.28,198,59.1,35.42,0,335,30.43
50-59 ans        ,6125,54.1,1043.42,5207,45.9,875.07,8,11340,959.35,5579,4606,10193,47,43.1,8.01,62,56.9,10.42,0,109,9.22,320,40.3,54.51,474,59.7,79.66,0,794,67.17,70,31.8,11.92,150,68.2,25.21,0,220,18.61,250,43.6,42.59,324,56.4,54.45,0,574,48.56
60-69 ans        ,3417,49.3,589.94,3514,50.7,618.15,4,6935,604.27,2929,2911,5844,139,39.0,24.00,217,61.0,38.17,0,356,31.02,426,41.0,73.55,612,59.0,107.66,0,1038,90.44,97,33.7,16.75,191,66.3,33.60,0,288,25.09,329,43.9,56.80,421,56.1,74.06,0,750,65.35
70-79 ans        ,2854,51.3,726.96,2706,48.7,749.36,0,5560,737.69,2144,1871,4015,465,43.5,118.44,603,56.5,166.99,0,1068,141.70,707,45.7,180.08,840,54.3,232.62,0,1547,205.25,130,40.0,33.11,195,60.0,54.00,0,325,43.12,577,47.2,146.97,645,52.8,178.62,0,1222,162.13
80-89 ans        ,4816,64.1,2543.06,2699,35.9,1951.60,2,7517,2294.04,3243,1326,4570,1234,51.7,651.61,1151,48.3,832.27,1,2386,728.16,1164,56.8,614.64,886,43.2,640.65,0,2050,625.62,72,47.7,38.02,79,52.3,57.12,0,151,46.08,1092,57.5,576.62,807,42.5,583.53,0,1899,579.54
90 ans et plus   ,3899,76.3,6694.02,1213,23.7,4966.43,2,5114,6186.04,2372,525,2899,1356,68.4,2328.06,626,31.6,2563.05,0,1982,2397.48,707,68.4,1213.82,326,31.6,1334.75,0,1033,1249.55,12,46.2,20.60,14,53.8,57.32,0,26,31.45,695,69.0,1193.21,312,31.0,1277.43,0,1007,1218.10
