,Cas,,,,,,,,,Rétablissements,,,Décès,,,,,,,,,Hospitalisations incidentes,,,,,,,,,,,,,,,,,,,,,,,,,,
Groupe d'âge,Cas F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Cas H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Cas total CUMUL,Taux pour 100 000 CUMUL,Rétablis F CUMUL,Rétablis H CUMUL,Rétablis T CUMUL,Décès F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Décès H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Décès total CUMUL,Taux pour 100 000 CUMUL,Hospit totales INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit totales INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit totales INC T CUMUL,Taux pour 100 000 CUMUL,Hospit SI INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit SI INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit SI INC T CUMUL,Taux pour 100 000 CUMUL,Hospit hors SI INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit hors SI INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit hors SI INC T CUMUL,Taux pour 100 000 CUMUL
0-9 ans,3741,47.8,856.49,4086,52.2,893.72,2,7829,875.75,3316,3651,6969,0,          . ,0.00,0,          . ,0.00,0,0,0.00,31,38.8,7.10,49,61.3,10.72,0,80,8.95,3,27.3,0.69,8,72.7,1.75,0,11,1.23,28,40.6,6.41,41,59.4,8.97,0,69,7.72
10-19 ans,7676,50.5,1782.46,7521,49.5,1679.88,3,15200,1730.52,6978,6812,13793,0,0.0,0.00,1,100.0,0.22,0,1,0.11,36,56.3,8.36,28,43.8,6.25,0,64,7.29,3,37.5,0.70,5,62.5,1.12,0,8,0.91,33,58.9,7.66,23,41.1,5.14,0,56,6.38
20-29 ans,11975,54.1,2352.78,10161,45.9,1856.69,35,22171,2099.05,11165,9449,20648,1,33.3,0.20,2,66.7,0.37,0,3,0.28,162,66.1,31.83,83,33.9,15.17,0,245,23.20,21,48.8,4.13,22,51.2,4.02,0,43,4.07,141,69.8,27.70,61,30.2,11.15,0,202,19.12
30-39 ans,10783,55.7,1970.67,8579,44.3,1508.44,23,19385,1737.15,9940,7957,17920,5,62.5,0.91,3,37.5,0.53,0,8,0.72,243,59.1,44.41,168,40.9,29.54,0,411,36.83,26,32.9,4.75,53,67.1,9.32,0,79,7.08,217,65.4,39.66,115,34.6,20.22,0,332,29.75
40-49 ans,11663,55.8,2152.51,9237,44.2,1652.42,24,20924,1900.74,10775,8535,19333,11,42.3,2.03,15,57.7,2.68,0,26,2.36,255,39.8,47.06,386,60.2,69.05,0,641,58.23,53,32.3,9.78,111,67.7,19.86,0,164,14.90,202,42.3,37.28,275,57.7,49.20,0,477,43.33
50-59 ans,9930,52.9,1691.61,8858,47.1,1488.65,11,18799,1590.37,9142,8121,17274,58,44.6,9.88,72,55.4,12.10,0,130,11.00,482,40.0,82.11,722,60.0,121.34,0,1204,101.86,105,32.6,17.89,217,67.4,36.47,0,322,27.24,377,42.7,64.22,505,57.3,84.87,0,882,74.62
60-69 ans,5732,48.9,989.63,5991,51.1,1053.89,4,11727,1021.81,5091,5256,10351,163,39.0,28.14,255,61.0,44.86,0,418,36.42,701,41.1,121.03,1004,58.9,176.62,0,1705,148.56,158,33.3,27.28,317,66.7,55.76,0,475,41.39,543,44.1,93.75,687,55.9,120.85,0,1230,107.17
70-79 ans,4407,50.9,1122.54,4244,49.1,1175.27,1,8652,1147.94,3414,3143,6558,577,44.0,146.97,734,56.0,203.26,0,1311,173.94,1150,45.5,292.92,1379,54.5,381.88,0,2529,335.54,201,37.0,51.20,342,63.0,94.71,0,543,72.04,949,47.8,241.73,1037,52.2,287.17,0,1986,263.50
80-89 ans,6725,63.0,3551.10,3945,37.0,2852.56,2,10672,3256.89,4326,1953,6280,1430,50.9,755.10,1377,49.1,995.68,1,2808,856.95,1659,53.7,876.03,1431,46.3,1034.73,0,3090,943.01,120,45.6,63.37,143,54.4,103.40,0,263,80.26,1539,54.4,812.66,1288,45.6,931.33,0,2827,862.75
90 ans et plus,5198,74.9,8924.22,1738,25.1,7115.95,2,6938,8392.40,3005,730,3737,1557,67.4,2673.14,754,32.6,3087.13,0,2311,2795.45,975,65.6,1673.93,512,34.4,2096.30,0,1487,1798.72,19,45.2,32.62,23,54.8,94.17,0,42,50.80,956,66.2,1641.31,489,33.8,2002.13,0,1445,1747.91
Inconnu,40,55.6,         .  ,32,44.4,         .  ,2,74,         .  ,186,126,314,15,37.5,         .  ,25,62.5,         .  ,0,40,         .  ,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  ,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  ,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  
Total,77870,54.7,1822.87,64392,45.3,1508.99,109,142371,1667.29,67338,55733,123177,3817,54.1,89.35,3238,45.9,75.88,1,7056,82.63,5694,49.7,133.29,5762,50.3,135.03,0,11456,134.16,709,36.4,16.60,1241,63.6,29.08,0,1950,22.84,4985,52.4,116.69,4521,47.6,105.95,0,9506,111.32
Taux standardisés,           .,          . ,1787.23,           .,          . ,1532.21,           .,           .,1663.59,           .,           .,           .,           .,          . ,66.92,           .,          . ,86.06,           .,           .,75.00,           .,          . ,114.18,           .,          . ,142.34,           .,           .,126.89,           .,          . ,15.27,           .,          . ,29.09,           .,           .,21.90,           .,          . ,98.91,           .,          . ,113.25,           .,           .,104.99
