,Cas,,,,,,,,,Rétablissements,,,Décès,,,,,,,,,Hospitalisations incidentes,,,,,,,,,,,,,,,,,
Groupe d'âge,Cas F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Cas H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Cas total CUMUL,Taux pour 100 000 CUMUL,Rétablis F CUMUL,Rétablis H CUMUL,Rétablis T CUMUL,Décès F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Décès H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Décès total CUMUL,Taux pour 100 000 CUMUL,Hospit totales INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit totales INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit totales INC T CUMUL,Taux pour 100 000 CUMUL,Hospit SI INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit SI INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit SI INC T CUMUL,Taux pour 100 000 CUMUL
0-9 ans          ,1229,48.8,281.37,1291,51.2,282.38,2,2522,282.11,1114,1159,2275,0,          . ,0.00,0,          . ,0.00,0,0,0.00,15,31.9,3.43,32,68.1,7.00,0,47,5.26,3,37.5,0.69,5,62.5,1.09,0,8,0.89
10-19 ans        ,2332,52.6,541.52,2103,47.4,469.72,2,4437,505.15,1973,1781,3756,0,0.0,0.00,1,100.0,0.22,0,1,0.11,15,50.0,3.48,15,50.0,3.35,0,30,3.42,3,60.0,0.70,2,40.0,0.45,0,5,0.57
20-29 ans        ,5923,55.5,1163.72,4756,44.5,869.05,30,10709,1013.88,5431,4302,9759,1,33.3,0.20,2,66.7,0.37,0,3,0.28,92,67.6,18.08,44,32.4,8.04,0,136,12.88,14,51.9,2.75,13,48.1,2.38,0,27,2.56
30-39 ans        ,5148,56.5,940.84,3964,43.5,696.99,22,9134,818.53,4863,3710,8595,4,66.7,0.73,2,33.3,0.35,0,6,0.54,152,60.1,27.78,101,39.9,17.76,0,253,22.67,21,39.6,3.84,32,60.4,5.63,0,53,4.75
40-49 ans        ,5852,57.7,1080.04,4292,42.3,767.80,18,10162,923.12,5568,4042,9628,6,30.0,1.11,14,70.0,2.50,0,20,1.82,162,40.0,29.90,243,60.0,43.47,0,405,36.79,35,33.7,6.46,69,66.3,12.34,0,104,9.45
50-59 ans        ,5222,54.9,889.59,4283,45.1,719.79,7,9512,804.70,4955,4015,8977,47,43.1,8.01,62,56.9,10.42,0,109,9.22,284,40.2,48.38,423,59.8,71.09,0,707,59.81,65,32.7,11.07,134,67.3,22.52,0,199,16.84
60-69 ans        ,2883,49.9,497.75,2895,50.1,509.27,4,5782,503.80,2623,2539,5166,135,38.6,23.31,215,61.4,37.82,0,350,30.50,372,40.9,64.23,538,59.1,94.64,0,910,79.29,82,33.1,14.16,166,66.9,29.20,0,248,21.61
70-79 ans        ,2498,51.2,636.28,2382,48.8,659.64,0,4880,647.47,1942,1701,3643,454,43.5,115.64,590,56.5,163.39,0,1044,138.52,631,46.2,160.73,735,53.8,203.54,0,1366,181.24,115,41.1,29.29,165,58.9,45.69,0,280,37.15
80-89 ans        ,4528,64.4,2390.99,2498,35.6,1806.26,2,7028,2144.81,3147,1292,4440,1205,51.8,636.29,1123,48.2,812.02,1,2329,710.77,1064,58.0,561.84,772,42.0,558.22,0,1836,560.31,65,49.2,34.32,67,50.8,48.45,0,132,40.28
90 ans et plus   ,3715,76.6,6378.12,1133,23.4,4638.88,2,4850,5866.70,2321,511,2833,1337,68.7,2295.44,610,31.3,2497.54,0,1947,2355.15,640,68.5,1098.79,294,31.5,1203.73,0,934,1129.79,9,50.0,15.45,9,50.0,36.85,0,18,21.77
Inconnu          ,38,54.3,         .  ,32,45.7,         .  ,2,72,         .  ,325,287,614,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  ,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  ,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  
Total            ,39368,57.1,921.57,29629,42.9,694.34,91,69088,809.08,34262,25339,59686,3189,54.9,74.65,2619,45.1,61.37,1,5809,68.03,3427,51.7,80.22,3197,48.3,74.92,0,6624,77.57,412,38.4,9.64,662,61.6,15.51,0,1074,12.58
Taux standardisés,           .,          . ,886.88,           .,          . ,710.74,           .,           .,803.03,           .,           .,           .,           .,          . ,55.95,           .,          . ,70.12,           .,           .,62.12,           .,          . ,68.29,           .,          . ,79.16,           .,           .,73.46,           .,          . ,8.95,           .,          . ,15.54,           .,           .,12.15
