,Cas,,,,,,,,,Rétablissements,,,Décès,,,,,,,,,Hospitalisations incidentes,,,,,,,,,,,,,,,,,,,,,,,,,,
Groupe d'âge,Cas F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Cas H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Cas total CUMUL,Taux pour 100 000 CUMUL,Rétablis F CUMUL,Rétablis H CUMUL,Rétablis T CUMUL,Décès F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Décès H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Décès total CUMUL,Taux pour 100 000 CUMUL,Hospit totales INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit totales INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit totales INC T CUMUL,Taux pour 100 000 CUMUL,Hospit SI INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit SI INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit SI INC T CUMUL,Taux pour 100 000 CUMUL,Hospit hors SI INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit hors SI INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit hors SI INC T CUMUL,Taux pour 100 000 CUMUL
0-9 ans          ,2618,47.2,599.38,2923,52.8,639.34,3,5544,620.15,2216,2465,4684,0,          . ,0.00,0,          . ,0.00,0,0,0.00,26,36.1,5.95,46,63.9,10.06,0,72,8.05,3,27.3,0.69,8,72.7,1.75,0,11,1.23,23,37.7,5.27,38,62.3,8.31,0,61,6.82
10-19 ans        ,5741,50.9,1333.13,5546,49.1,1238.75,3,11290,1285.36,5091,4905,9999,0,0.0,0.00,1,100.0,0.22,0,1,0.11,29,54.7,6.73,24,45.3,5.36,0,53,6.03,3,37.5,0.70,5,62.5,1.12,0,8,0.91,26,57.8,6.04,19,42.2,4.24,0,45,5.12
20-29 ans        ,9922,54.3,1949.42,8357,45.7,1527.05,34,18313,1733.79,9224,7793,17049,1,33.3,0.20,2,66.7,0.37,0,3,0.28,148,66.7,29.08,74,33.3,13.52,0,222,21.02,18,48.6,3.54,19,51.4,3.47,0,37,3.50,130,70.3,25.54,55,29.7,10.05,0,185,17.51
30-39 ans        ,8698,55.6,1589.63,6955,44.4,1222.89,23,15676,1404.78,7901,6401,14326,5,71.4,0.91,2,28.6,0.35,0,7,0.63,221,58.9,40.39,154,41.1,27.08,0,375,33.60,25,33.3,4.57,50,66.7,8.79,0,75,6.72,196,65.3,35.82,104,34.7,18.29,0,300,26.88
40-49 ans        ,9475,56.0,1748.69,7459,44.0,1334.35,21,16955,1540.20,8669,6786,15476,10,40.0,1.85,15,60.0,2.68,0,25,2.27,226,38.5,41.71,361,61.5,64.58,0,587,53.32,49,31.2,9.04,108,68.8,19.32,0,157,14.26,177,41.2,32.67,253,58.8,45.26,0,430,39.06
50-59 ans        ,8101,52.9,1380.04,7223,47.1,1213.87,10,15334,1297.24,7423,6531,13964,53,44.9,9.03,65,55.1,10.92,0,118,9.98,431,39.7,73.42,656,60.3,110.25,0,1087,91.96,91,31.1,15.50,202,68.9,33.95,0,293,24.79,340,42.8,57.92,454,57.2,76.30,0,794,67.17
60-69 ans        ,4597,48.7,793.67,4834,51.3,850.36,4,9435,822.10,4075,4170,8249,151,39.4,26.07,232,60.6,40.81,0,383,33.37,596,40.7,102.90,867,59.3,152.52,0,1463,127.48,139,33.0,24.00,282,67.0,49.61,0,421,36.68,457,43.9,78.90,585,56.1,102.91,0,1042,90.79
70-79 ans        ,3667,51.0,934.05,3517,49.0,973.95,1,7185,953.30,2798,2525,5324,518,43.6,131.94,669,56.4,185.26,0,1187,157.49,993,45.4,252.93,1193,54.6,330.37,0,2186,290.04,176,35.9,44.83,314,64.1,86.95,0,490,65.01,817,48.2,208.10,879,51.8,243.42,0,1696,225.02
80-89 ans        ,5705,63.5,3012.49,3284,36.5,2374.60,2,8991,2743.88,3683,1600,5284,1319,51.3,696.49,1252,48.7,905.30,1,2572,784.92,1457,54.8,769.36,1203,45.2,869.87,0,2660,811.78,110,48.0,58.08,119,52.0,86.05,0,229,69.89,1347,55.4,711.28,1084,44.6,783.82,0,2431,741.89
90 ans et plus   ,4502,75.6,7729.29,1450,24.4,5936.78,2,5954,7202.13,2644,616,3262,1438,67.8,2468.84,684,32.2,2800.52,0,2122,2566.83,853,66.3,1464.48,433,33.7,1772.85,0,1286,1555.58,16,43.2,27.47,21,56.8,85.98,0,37,44.76,837,67.0,1437.01,412,33.0,1686.87,0,1249,1510.83
Inconnu          ,42,57.5,         .  ,31,42.5,         .  ,2,75,         .  ,98,72,172,7,31.8,         .  ,15,68.2,         .  ,0,22,         .  ,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  ,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  ,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  
Total            ,63068,55.0,1476.37,51579,45.0,1208.72,105,114752,1343.85,53822,43864,97789,3502,54.4,81.98,2937,45.6,68.83,1,6440,75.42,4980,49.8,116.58,5011,50.2,117.43,0,9991,117.00,630,35.8,14.75,1128,64.2,26.43,0,1758,20.59,4350,52.8,101.83,3883,47.2,91.00,0,8233,96.42
Taux standardisés,           .,          . ,1443.14,           .,          . ,1228.44,           .,           .,1339.85,           .,           .,           .,           .,          . ,61.49,           .,          . ,78.24,           .,           .,68.61,           .,          . ,99.96,           .,          . ,123.60,           .,           .,110.80,           .,          . ,13.57,           .,          . ,26.42,           .,           .,19.76,           .,          . ,86.39,           .,          . ,97.19,           .,           .,91.05
