,Cas,,,,,,,,,Rétablissements,,,Décès,,,,,,,,,Hospitalisations incidentes,,,,,,,,,,,,,,,,,,,,,,,,,,
Groupe d'âge,Cas F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Cas H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Cas total CUMUL,Taux pour 100 000 CUMUL,Rétablis F CUMUL,Rétablis H CUMUL,Rétablis T CUMUL,Décès F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Décès H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Décès total CUMUL,Taux pour 100 000 CUMUL,Hospit totales INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit totales INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit totales INC T CUMUL,Taux pour 100 000 CUMUL,Hospit SI INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit SI INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit SI INC T CUMUL,Taux pour 100 000 CUMUL,Hospit hors SI INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit hors SI INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit hors SI INC T CUMUL,Taux pour 100 000 CUMUL
0-9 ans          ,1697,47.8,388.52,1855,52.2,405.74,1,3553,397.44,1493,1644,3138,0,          . ,0.00,0,          . ,0.00,0,0,0.00,18,30.5,4.12,41,69.5,8.97,0,59,6.60,3,27.3,0.69,8,72.7,1.75,0,11,1.23,15,31.3,3.43,33,68.8,7.22,0,48,5.37
10-19 ans        ,3976,51.7,923.28,3708,48.3,828.21,3,7687,875.16,3381,3086,6469,0,0.0,0.00,1,100.0,0.22,0,1,0.11,25,51.0,5.81,24,49.0,5.36,0,49,5.58,3,37.5,0.70,5,62.5,1.12,0,8,0.91,22,53.7,5.11,19,46.3,4.24,0,41,4.67
20-29 ans        ,8062,54.6,1583.97,6693,45.4,1222.99,34,14789,1400.16,7381,6060,13472,1,33.3,0.20,2,66.7,0.37,0,3,0.28,134,67.7,26.33,64,32.3,11.69,0,198,18.75,18,51.4,3.54,17,48.6,3.11,0,35,3.31,116,71.2,22.79,47,28.8,8.59,0,163,15.43
30-39 ans        ,6769,55.4,1237.09,5451,44.6,958.44,24,12244,1097.22,6167,4945,11135,4,66.7,0.73,2,33.3,0.35,0,6,0.54,186,57.9,33.99,135,42.1,23.74,0,321,28.77,24,34.8,4.39,45,65.2,7.91,0,69,6.18,162,64.3,29.61,90,35.7,15.82,0,252,22.58
40-49 ans        ,7416,56.4,1368.69,5737,43.6,1026.30,20,13173,1196.64,6787,5156,11963,7,33.3,1.29,14,66.7,2.50,0,21,1.91,205,38.2,37.83,332,61.8,59.39,0,537,48.78,46,32.2,8.49,97,67.8,17.35,0,143,12.99,159,40.4,29.34,235,59.6,42.04,0,394,35.79
50-59 ans        ,6477,53.6,1103.38,5617,46.4,943.97,8,12102,1023.81,5936,5003,10947,47,43.1,8.01,62,56.9,10.42,0,109,9.22,387,40.4,65.93,572,59.6,96.13,0,959,81.13,88,32.6,14.99,182,67.4,30.59,0,270,22.84,299,43.4,50.94,390,56.6,65.54,0,689,58.29
60-69 ans        ,3638,49.0,628.10,3784,51.0,665.65,4,7426,647.05,3163,3162,6329,139,38.9,24.00,218,61.1,38.35,0,357,31.11,532,41.1,91.85,763,58.9,134.22,0,1295,112.84,128,33.2,22.10,258,66.8,45.39,0,386,33.63,404,44.4,69.75,505,55.6,88.84,0,909,79.20
70-79 ans        ,2990,51.1,761.60,2864,48.9,793.11,1,5855,776.83,2275,1992,4268,477,43.8,121.50,613,56.2,169.76,0,1090,144.62,839,45.1,213.71,1020,54.9,282.46,0,1859,246.65,158,36.9,40.25,270,63.1,74.77,0,428,56.79,681,47.6,173.46,750,52.4,207.69,0,1431,189.86
80-89 ans        ,4975,63.8,2627.02,2822,36.2,2040.54,2,7799,2380.10,3295,1351,4647,1241,51.6,655.30,1166,48.4,843.11,1,2408,734.87,1308,55.6,690.68,1044,44.4,754.90,0,2352,717.78,93,47.7,49.11,102,52.3,73.75,0,195,59.51,1215,56.3,641.57,942,43.7,681.14,0,2157,658.27
