,Cas,,,,,,,,,Rétablissements,,,Décès,,,,,,,,,Hospitalisations incidentes,,,,,,,,,,,,,,,,,,,,,,,,,,
Groupe d'âge,Cas F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Cas H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Cas total CUMUL,Taux pour 100 000 CUMUL,Rétablis F CUMUL,Rétablis H CUMUL,Rétablis T CUMUL,Décès F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Décès H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Décès total CUMUL,Taux pour 100 000 CUMUL,Hospit totales INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit totales INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit totales INC T CUMUL,Taux pour 100 000 CUMUL,Hospit SI INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit SI INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit SI INC T CUMUL,Taux pour 100 000 CUMUL,Hospit hors SI INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit hors SI INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit hors SI INC T CUMUL,Taux pour 100 000 CUMUL
0-9 ans,1915,47.4,438.43,2126,52.6,465.01,1,4042,452.14,1644,1824,3469,0,          . ,0.00,0,          . ,0.00,0,0,0.00,21,33.9,4.81,41,66.1,8.97,0,62,6.94,3,27.3,0.69,8,72.7,1.75,0,11,1.23,18,35.3,4.12,33,64.7,7.22,0,51,5.70
10-19 ans,4511,51.3,1047.51,4277,48.7,955.31,2,8790,1000.74,3898,3643,7543,0,0.0,0.00,1,100.0,0.22,0,1,0.11,27,52.9,6.27,24,47.1,5.36,0,51,5.81,3,37.5,0.70,5,62.5,1.12,0,8,0.91,24,55.8,5.57,19,44.2,4.24,0,43,4.90
20-29 ans,8623,54.3,1694.20,7251,45.7,1324.95,34,15908,1506.10,7988,6640,14660,1,33.3,0.20,2,66.7,0.37,0,3,0.28,137,66.8,26.92,68,33.2,12.43,0,205,19.41,18,51.4,3.54,17,48.6,3.11,0,35,3.31,119,70.0,23.38,51,30.0,9.32,0,170,16.09
30-39 ans,7293,55.3,1332.85,5895,44.7,1036.51,23,13211,1183.88,6664,5409,12097,5,71.4,0.91,2,28.6,0.35,0,7,0.63,195,58.7,35.64,137,41.3,24.09,0,332,29.75,24,34.3,4.39,46,65.7,8.09,0,70,6.27,171,65.3,31.25,91,34.7,16.00,0,262,23.48
40-49 ans,8022,56.1,1480.53,6286,43.9,1124.51,21,14329,1301.65,7313,5651,12985,9,39.1,1.66,14,60.9,2.50,0,23,2.09,209,37.8,38.57,344,62.2,61.54,0,553,50.23,46,31.1,8.49,102,68.9,18.25,0,148,13.44,163,40.2,30.08,242,59.8,43.29,0,405,36.79
50-59 ans,6965,53.3,1186.51,6109,46.7,1026.66,9,13083,1106.81,6352,5447,11807,48,43.6,8.18,62,56.4,10.42,0,110,9.31,399,40.2,67.97,594,59.8,99.83,0,993,84.01,88,32.4,14.99,184,67.6,30.92,0,272,23.01,311,43.1,52.98,410,56.9,68.90,0,721,61.00
60-69 ans,3938,49.0,679.90,4100,51.0,721.24,4,8042,700.72,3439,3482,6925,141,39.0,24.34,221,61.0,38.88,0,362,31.54,555,40.9,95.82,801,59.1,140.91,0,1356,118.15,130,32.7,22.44,268,67.3,47.14,0,398,34.68,425,44.4,73.38,533,55.6,93.76,0,958,83.47
70-79 ans,3194,51.2,813.57,3050,48.8,844.62,1,6245,828.58,2423,2153,4577,485,43.8,123.54,623,56.2,172.52,0,1108,147.01,887,45.2,225.93,1074,54.8,297.42,0,1961,260.18,167,36.6,42.54,289,63.4,80.03,0,456,60.50,720,47.8,183.40,785,52.2,217.39,0,1505,199.68
80-89 ans,5184,63.7,2737.38,2951,36.3,2133.81,2,8137,2483.25,3372,1390,4763,1262,51.6,666.39,1186,48.4,857.57,1,2449,747.39,1362,55.5,719.20,1093,44.5,790.33,0,2455,749.22,103,48.4,54.39,110,51.6,79.54,0,213,65.00,1259,56.2,664.81,983,43.8,710.79,0,2242,684.21
