,Cas,,,,,,,,,Rétablissements,,,Décès,,,,,,,,,Hospitalisations incidentes,,,,,,,,,,,,,,,,,
Groupe d'âge,Cas F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Cas H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Cas total CUMUL,Taux pour 100 000 CUMUL,Rétablis F CUMUL,Rétablis H CUMUL,Rétablis T CUMUL,Décès F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Décès H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Décès total CUMUL,Taux pour 100 000 CUMUL,Hospit totales INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit totales INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit totales INC T CUMUL,Taux pour 100 000 CUMUL,Hospit SI INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit SI INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit SI INC T CUMUL,Taux pour 100 000 CUMUL
0-9 ans,1268,48.5,290.30,1345,51.5,294.19,2,2615,292.51,1141,1199,2342,0,          . ,0.00,0,          . ,0.00,0,0,0.00,15,31.9,3.43,32,68.1,7.00,0,47,5.26,3,37.5,0.69,5,62.5,1.09,0,8,0.89
10-19 ans,2502,52.6,581.00,2253,47.4,503.23,2,4757,541.58,2057,1853,3912,0,0.0,0.00,1,100.0,0.22,0,1,0.11,16,50.0,3.72,16,50.0,3.57,0,32,3.64,3,50.0,0.70,3,50.0,0.67,0,6,0.68
20-29 ans,6185,55.5,1215.19,4952,44.5,904.86,30,11167,1057.24,5547,4413,9987,1,33.3,0.20,2,66.7,0.37,0,3,0.28,98,68.5,19.25,45,31.5,8.22,0,143,13.54,14,51.9,2.75,13,48.1,2.38,0,27,2.56
30-39 ans,5306,56.5,969.71,4090,43.5,719.14,21,9417,843.89,4927,3778,8727,4,66.7,0.73,2,33.3,0.35,0,6,0.54,151,59.9,27.60,101,40.1,17.76,0,252,22.58,21,39.6,3.84,32,60.4,5.63,0,53,4.75
40-49 ans,5969,57.5,1101.63,4418,42.5,790.34,20,10407,945.38,5617,4088,9723,6,30.0,1.11,14,70.0,2.50,0,20,1.82,164,40.0,30.27,246,60.0,44.01,0,410,37.24,36,34.3,6.64,69,65.7,12.34,0,105,9.54
50-59 ans,5331,54.9,908.16,4385,45.1,736.93,7,9723,822.55,4998,4049,9054,47,43.1,8.01,62,56.9,10.42,0,109,9.22,287,40.1,48.89,428,59.9,71.93,0,715,60.49,65,32.0,11.07,138,68.0,23.19,0,203,17.17
60-69 ans,2941,49.9,507.76,2949,50.1,518.76,4,5894,513.56,2660,2565,5229,135,38.6,23.31,215,61.4,37.82,0,350,30.50,380,41.3,65.61,540,58.7,94.99,0,920,80.16,83,33.2,14.33,167,66.8,29.38,0,250,21.78
70-79 ans,2545,51.4,648.25,2407,48.6,666.56,0,4952,657.02,1952,1705,3657,456,43.5,116.15,592,56.5,163.94,0,1048,139.05,641,46.2,163.27,746,53.8,206.59,0,1387,184.03,118,41.4,30.06,167,58.6,46.25,0,285,37.81
80-89 ans,4559,64.4,2407.35,2516,35.6,1819.27,2,7077,2159.76,3155,1295,4451,1206,51.7,636.82,1127,48.3,814.91,1,2334,712.29,1072,57.9,566.06,780,42.1,564.00,0,1852,565.19,66,49.3,34.85,68,50.7,49.17,0,134,40.89
90 ans et plus,3738,76.6,6417.61,1143,23.4,4679.82,2,4883,5906.62,2328,514,2843,1340,68.7,2300.59,610,31.3,2497.54,0,1950,2358.78,645,68.5,1107.37,296,31.5,1211.92,0,941,1138.26,9,47.4,15.45,10,52.6,40.94,0,19,22.98
Inconnu,40,54.8,         .  ,33,45.2,         .  ,2,75,         .  ,387,346,735,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  ,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  ,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  
Total,40384,57.0,945.35,30491,43.0,714.54,92,70967,831.09,34769,25805,60660,3195,54.9,74.79,2625,45.1,61.52,1,5821,68.17,3469,51.8,81.21,3230,48.2,75.69,0,6699,78.45,418,38.3,9.79,672,61.7,15.75,0,1090,12.76
Taux standardisés,           .,          . ,910.94,           .,          . ,730.98,           .,           .,825.16,           .,           .,           .,           .,          . ,56.05,           .,          . ,70.27,           .,           .,62.24,           .,          . ,69.16,           .,          . ,79.96,           .,           .,74.29,           .,          . ,9.08,           .,          . ,15.79,           .,           .,12.33
