,Cas,,,,,,,,,Rétablissements,,,Décès,,,,,,,,,Hospitalisations incidentes,,,,,,,,,,,,,,,,,,,,,,,,,,
Groupe d'âge,Cas F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Cas H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Cas total CUMUL,Taux pour 100 000 CUMUL,Rétablis F CUMUL,Rétablis H CUMUL,Rétablis T CUMUL,Décès F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Décès H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Décès total CUMUL,Taux pour 100 000 CUMUL,Hospit totales INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit totales INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit totales INC T CUMUL,Taux pour 100 000 CUMUL,Hospit SI INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit SI INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit SI INC T CUMUL,Taux pour 100 000 CUMUL,Hospit hors SI INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit hors SI INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit hors SI INC T CUMUL,Taux pour 100 000 CUMUL
0-9 ans,2279,47.5,521.77,2514,52.5,549.88,3,4796,536.48,1963,2180,4145,0,          . ,0.00,0,          . ,0.00,0,0,0.00,24,35.3,5.49,44,64.7,9.62,0,68,7.61,3,27.3,0.69,8,72.7,1.75,0,11,1.23,21,36.8,4.81,36,63.2,7.87,0,57,6.38
10-19 ans,5225,51.0,1213.31,5023,49.0,1121.93,3,10251,1167.07,4609,4391,9003,0,0.0,0.00,1,100.0,0.22,0,1,0.11,28,53.8,6.50,24,46.2,5.36,0,52,5.92,3,37.5,0.70,5,62.5,1.12,0,8,0.91,25,56.8,5.81,19,43.2,4.24,0,44,5.01
20-29 ans,9343,54.2,1835.66,7884,45.8,1440.62,33,17260,1634.10,8759,7373,16164,1,33.3,0.20,2,66.7,0.37,0,3,0.28,142,66.0,27.90,73,34.0,13.34,0,215,20.36,18,50.0,3.54,18,50.0,3.29,0,36,3.41,124,69.3,24.36,55,30.7,10.05,0,179,16.95
30-39 ans,8046,55.4,1470.47,6489,44.6,1140.96,24,14559,1304.68,7388,6020,13432,5,71.4,0.91,2,28.6,0.35,0,7,0.63,214,58.6,39.11,151,41.4,26.55,0,365,32.71,25,34.7,4.57,47,65.3,8.26,0,72,6.45,189,64.5,34.54,104,35.5,18.29,0,293,26.26
40-49 ans,8799,55.9,1623.93,6934,44.1,1240.43,21,15754,1431.10,8140,6338,14499,9,37.5,1.66,15,62.5,2.68,0,24,2.18,221,38.3,40.79,356,61.7,63.69,0,577,52.41,49,31.8,9.04,105,68.2,18.78,0,154,13.99,172,40.7,31.74,251,59.3,44.90,0,423,38.43
50-59 ans,7630,53.1,1299.80,6749,46.9,1134.22,10,14389,1217.29,6990,6113,13113,51,44.3,8.69,64,55.7,10.76,0,115,9.73,418,39.8,71.21,633,60.2,106.38,0,1051,88.91,89,31.4,15.16,194,68.6,32.60,0,283,23.94,329,42.8,56.05,439,57.2,73.78,0,768,64.97
60-69 ans,4308,48.8,743.78,4512,51.2,793.72,4,8824,768.86,3816,3886,7706,146,38.8,25.21,230,61.2,40.46,0,376,32.76,580,40.7,100.14,844,59.3,148.47,0,1424,124.08,138,33.3,23.83,277,66.7,48.73,0,415,36.16,442,43.8,76.31,567,56.2,99.74,0,1009,87.92
70-79 ans,3436,50.9,875.21,3317,49.1,918.56,1,6754,896.11,2662,2372,5035,504,43.8,128.38,647,56.2,179.17,0,1151,152.71,946,45.3,240.96,1140,54.7,315.70,0,2086,276.77,173,36.2,44.07,305,63.8,84.46,0,478,63.42,773,48.1,196.90,835,51.9,231.23,0,1608,213.35
80-89 ans,5477,63.6,2892.10,3141,36.4,2271.20,2,8620,2630.66,3556,1522,5079,1286,51.3,679.07,1221,48.7,882.88,1,2508,765.39,1423,55.4,751.41,1145,44.6,827.93,0,2568,783.70,107,48.0,56.50,116,52.0,83.88,0,223,68.06,1316,56.1,694.91,1029,43.9,744.05,0,2345,715.65
