,Cas,,,,,,,,,Rétablissements,,,Décès,,,,,,,,,Hospitalisations incidentes,,,,,,,,,,,,,,,,,,,,,,,,,,
Groupe d'âge,Cas F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Cas H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Cas total CUMUL,Taux pour 100 000 CUMUL,Rétablis F CUMUL,Rétablis H CUMUL,Rétablis T CUMUL,Décès F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Décès H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Décès total CUMUL,Taux pour 100 000 CUMUL,Hospit totales INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit totales INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit totales INC T CUMUL,Taux pour 100 000 CUMUL,Hospit SI INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit SI INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit SI INC T CUMUL,Taux pour 100 000 CUMUL,Hospit hors SI INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit hors SI INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit hors SI INC T CUMUL,Taux pour 100 000 CUMUL
0-9 ans          ,1975,47.1,452.17,2218,52.9,485.14,2,4195,469.25,1708,1881,3590,0,          . ,0.00,0,          . ,0.00,0,0,0.00,21,33.3,4.81,42,66.7,9.19,0,63,7.05,3,27.3,0.69,8,72.7,1.75,0,11,1.23,18,34.6,4.12,34,65.4,7.44,0,52,5.82
10-19 ans        ,4643,51.3,1078.16,4411,48.7,985.24,2,9056,1031.02,4026,3756,7784,0,0.0,0.00,1,100.0,0.22,0,1,0.11,27,52.9,6.27,24,47.1,5.36,0,51,5.81,3,37.5,0.70,5,62.5,1.12,0,8,0.91,24,55.8,5.57,19,44.2,4.24,0,43,4.90
20-29 ans        ,8776,54.3,1724.26,7381,45.7,1348.71,33,16190,1532.80,8136,6777,14945,1,33.3,0.20,2,66.7,0.37,0,3,0.28,138,66.3,27.11,70,33.7,12.79,0,208,19.69,18,51.4,3.54,17,48.6,3.11,0,35,3.31,120,69.4,23.58,53,30.6,9.68,0,173,16.38
30-39 ans        ,7441,55.2,1359.90,6030,44.8,1060.25,23,13494,1209.24,6811,5517,12352,5,71.4,0.91,2,28.6,0.35,0,7,0.63,197,58.6,36.00,139,41.4,24.44,0,336,30.11,24,34.3,4.39,46,65.7,8.09,0,70,6.27,173,65.0,31.62,93,35.0,16.35,0,266,23.84
40-49 ans        ,8207,56.2,1514.67,6407,43.8,1146.16,21,14635,1329.45,7481,5788,13290,9,37.5,1.66,15,62.5,2.68,0,24,2.18,214,38.2,39.50,346,61.8,61.90,0,560,50.87,47,31.3,8.67,103,68.7,18.43,0,150,13.63,167,40.7,30.82,243,59.3,43.47,0,410,37.24
50-59 ans        ,7091,53.2,1207.98,6246,46.8,1049.68,9,13346,1129.05,6485,5587,12080,48,43.2,8.18,63,56.8,10.59,0,111,9.39,402,40.0,68.48,604,60.0,101.51,0,1006,85.11,88,32.1,14.99,186,67.9,31.26,0,274,23.18,314,42.9,53.49,418,57.1,70.25,0,732,61.93
60-69 ans        ,4016,48.9,693.36,4190,51.1,737.07,4,8210,715.36,3519,3570,7093,141,38.7,24.34,223,61.3,39.23,0,364,31.72,562,41.1,97.03,804,58.9,141.43,0,1366,119.02,132,33.1,22.79,267,66.9,46.97,0,399,34.77,430,44.5,74.24,537,55.5,94.46,0,967,84.26
70-79 ans        ,3230,51.0,822.73,3102,49.0,859.02,1,6333,840.25,2468,2182,4651,488,43.8,124.30,627,56.2,173.63,0,1115,147.94,900,45.3,229.25,1086,54.7,300.74,0,1986,263.50,167,36.4,42.54,292,63.6,80.86,0,459,60.90,733,48.0,186.71,794,52.0,219.88,0,1527,202.60
80-89 ans        ,5232,63.7,2762.73,2976,36.3,2151.89,2,8210,2505.53,3402,1405,4808,1270,51.6,670.62,1193,48.4,862.64,1,2464,751.96,1374,55.5,725.53,1102,44.5,796.84,0,2476,755.63,104,48.4,54.92,111,51.6,80.26,0,215,65.61,1270,56.2,670.62,991,43.8,716.57,0,2261,690.01
90 ans et plus   ,4167,75.9,7154.14,1323,24.1,5416.80,2,5492,6643.28,2455,553,3009,1391,68.4,2388.15,643,31.6,2632.66,0,2034,2460.38,812,67.6,1394.09,389,32.4,1592.70,0,1201,1452.76,16,47.1,27.47,18,52.9,73.70,0,34,41.13,796,68.2,1366.62,371,31.8,1519.00,0,1167,1411.64
Inconnu          ,41,56.9,         .  ,31,43.1,         .  ,2,74,         .  ,121,94,217,3,33.3,         .  ,6,66.7,         .  ,0,9,         .  ,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  ,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  ,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  
Total            ,54819,55.3,1283.26,44315,44.7,1038.50,101,99235,1162.13,46612,37110,83819,3356,54.7,78.56,2775,45.3,65.03,1,6132,71.81,4647,50.2,108.78,4606,49.8,107.94,0,9253,108.36,602,36.4,14.09,1053,63.6,24.68,0,1655,19.38,4045,53.2,94.69,3553,46.8,83.26,0,7598,88.98
Taux standardisés,           .,          . ,1250.49,           .,          . ,1056.70,           .,           .,1157.68,           .,           .,           .,           .,          . ,58.90,           .,          . ,74.13,           .,           .,65.47,           .,          . ,93.16,           .,          . ,113.51,           .,           .,102.65,           .,          . ,12.97,           .,          . ,24.63,           .,           .,18.60,           .,          . ,80.19,           .,          . ,88.88,           .,           .,84.05
