,Cas,,,,,,,,,Rétablissements,,,Décès,,,,,,,,,Hospitalisations incidentes,,,,,,,,,,,,,,,,,,,,,,,,,,
Groupe d'âge,Cas F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Cas H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Cas total CUMUL,Taux pour 100 000 CUMUL,Rétablis F CUMUL,Rétablis H CUMUL,Rétablis T CUMUL,Décès F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Décès H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Décès total CUMUL,Taux pour 100 000 CUMUL,Hospit totales INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit totales INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit totales INC T CUMUL,Taux pour 100 000 CUMUL,Hospit SI INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit SI INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit SI INC T CUMUL,Taux pour 100 000 CUMUL,Hospit hors SI INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit hors SI INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit hors SI INC T CUMUL,Taux pour 100 000 CUMUL
0-9 ans          ,3418,47.6,782.54,3767,52.4,823.94,2,7187,803.94,3012,3359,6373,0,          . ,0.00,0,          . ,0.00,0,0,0.00,30,39.0,6.87,47,61.0,10.28,0,77,8.61,3,27.3,0.69,8,72.7,1.75,0,11,1.23,27,40.9,6.18,39,59.1,8.53,0,66,7.38
10-19 ans        ,7192,50.7,1670.07,6994,49.3,1562.17,3,14189,1615.42,6543,6359,12905,0,0.0,0.00,1,100.0,0.22,0,1,0.11,33,54.1,7.66,28,45.9,6.25,0,61,6.94,3,37.5,0.70,5,62.5,1.12,0,8,0.91,30,56.6,6.97,23,43.4,5.14,0,53,6.03
20-29 ans        ,11373,54.2,2234.50,9608,45.8,1755.64,35,21016,1989.70,10678,9020,19732,1,33.3,0.20,2,66.7,0.37,0,3,0.28,155,66.2,30.45,79,33.8,14.44,0,234,22.15,18,46.2,3.54,21,53.8,3.84,0,39,3.69,137,70.3,26.92,58,29.7,10.60,0,195,18.46
30-39 ans        ,10167,55.6,1858.10,8107,44.4,1425.45,23,18297,1639.65,9430,7551,17005,5,71.4,0.91,2,28.6,0.35,0,7,0.63,233,58.4,42.58,166,41.6,29.19,0,399,35.76,26,32.9,4.75,53,67.1,9.32,0,79,7.08,207,64.7,37.83,113,35.3,19.87,0,320,28.68
40-49 ans        ,10994,55.8,2029.04,8724,44.2,1560.65,23,19741,1793.28,10275,8122,18419,11,42.3,2.03,15,57.7,2.68,0,26,2.36,247,39.5,45.59,378,60.5,67.62,0,625,56.78,51,31.7,9.41,110,68.3,19.68,0,161,14.63,196,42.2,36.17,268,57.8,47.94,0,464,42.15
50-59 ans        ,9396,52.9,1600.64,8381,47.1,1408.48,11,17788,1504.84,8649,7713,16373,57,45.2,9.71,69,54.8,11.60,0,126,10.66,472,40.2,80.41,701,59.8,117.81,0,1173,99.23,102,32.9,17.38,208,67.1,34.96,0,310,26.23,370,42.9,63.03,493,57.1,82.85,0,863,73.01
60-69 ans        ,5401,48.8,932.48,5666,51.2,996.72,4,11071,964.65,4815,4955,9774,156,38.6,26.93,248,61.4,43.63,0,404,35.20,668,40.9,115.33,966,59.1,169.93,0,1634,142.38,153,33.3,26.42,306,66.7,53.83,0,459,39.99,515,43.8,88.91,660,56.2,116.10,0,1175,102.38
70-79 ans        ,4194,51.0,1068.28,4029,49.0,1115.73,1,8224,1091.15,3228,2965,6194,565,44.0,143.91,720,56.0,199.39,0,1285,170.49,1103,45.5,280.95,1320,54.5,365.54,0,2423,321.48,197,37.0,50.18,335,63.0,92.77,0,532,70.59,906,47.9,230.77,985,52.1,272.77,0,1891,250.90
80-89 ans        ,6402,63.2,3380.54,3735,36.8,2700.71,2,10139,3094.22,4135,1841,5977,1403,51.2,740.85,1339,48.8,968.21,1,2743,837.11,1593,53.9,841.17,1360,46.1,983.39,0,2953,901.20,119,47.2,62.84,133,52.8,96.17,0,252,76.91,1474,54.6,778.34,1227,45.4,887.22,0,2701,824.29
90 ans et plus   ,4969,75.3,8531.06,1634,24.7,6690.14,2,6605,7989.60,2881,701,3584,1526,67.6,2619.92,733,32.4,3001.15,0,2259,2732.55,934,65.7,1603.54,488,34.3,1998.03,0,1422,1720.09,17,43.6,29.19,22,56.4,90.08,0,39,47.18,917,66.3,1574.36,466,33.7,1907.96,0,1383,1672.92
Inconnu          ,39,54.9,         .  ,32,45.1,         .  ,2,73,         .  ,170,116,288,11,33.3,         .  ,22,66.7,         .  ,0,33,         .  ,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  ,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  ,0,          . ,         .  ,0,          . ,         .  ,0,0,         .  
Total            ,73545,54.8,1721.62,60677,45.2,1421.93,108,134330,1573.12,63816,52702,116624,3735,54.2,87.43,3151,45.8,73.84,1,6887,80.65,5468,49.7,128.00,5533,50.3,129.66,0,11001,128.83,689,36.5,16.13,1201,63.5,28.14,0,1890,22.13,4779,52.5,111.87,4332,47.5,101.52,0,9111,106.70
Taux standardisés,           .,          . ,1687.03,           .,          . ,1443.82,           .,           .,1569.41,           .,           .,           .,           .,          . ,65.54,           .,          . ,83.78,           .,           .,73.26,           .,          . ,109.71,           .,          . ,136.62,           .,           .,121.90,           .,          . ,14.83,           .,          . ,28.12,           .,           .,21.22,           .,          . ,94.88,           .,          . ,108.50,           .,           .,100.68
