,Cas,,,,,,,,,Rétablissements,,,Décès,,,,,,,,,Hospitalisations incidentes,,,,,,,,,,,,,,,,,,,,,,,,,,
Groupe d'âge,Cas F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Cas H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Cas total CUMUL,Taux pour 100 000 CUMUL,Rétablis F CUMUL,Rétablis H CUMUL,Rétablis T CUMUL,Décès F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Décès H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Décès total CUMUL,Taux pour 100 000 CUMUL,Hospit totales INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit totales INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit totales INC T CUMUL,Taux pour 100 000 CUMUL,Hospit SI INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit SI INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit SI INC T CUMUL,Taux pour 100 000 CUMUL,Hospit hors SI INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit hors SI INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit hors SI INC T CUMUL,Taux pour 100 000 CUMUL
0-9 ans          ,1720,47.7,393.79,1886,52.3,412.52,1,3607,403.48,1517,1672,3190,0,          . ,0.00,0,          . ,0.00,0,0,0.00,18,30.5,4.12,41,69.5,8.97,0,59,6.60,3,27.3,0.69,8,72.7,1.75,0,11,1.23,15,31.3,3.43,33,68.8,7.22,0,48,5.37
10-19 ans        ,4056,51.8,941.85,3780,48.2,844.30,3,7839,892.47,3472,3190,6664,0,0.0,0.00,1,100.0,0.22,0,1,0.11,25,51.0,5.81,24,49.0,5.36,0,49,5.58,3,37.5,0.70,5,62.5,1.12,0,8,0.91,22,53.7,5.11,19,46.3,4.24,0,41,4.67
20-29 ans        ,8127,54.6,1596.74,6768,45.4,1236.70,34,14929,1413.41,7471,6162,13664,1,33.3,0.20,2,66.7,0.37,0,3,0.28,134,67.7,26.33,64,32.3,11.69,0,198,18.75,18,51.4,3.54,17,48.6,3.11,0,35,3.31,116,71.2,22.79,47,28.8,8.59,0,163,15.43
30-39 ans        ,6858,55.4,1253.35,5522,44.6,970.93,24,12404,1111.56,6227,5029,11279,4,66.7,0.73,2,33.3,0.35,0,6,0.54,186,57.9,33.99,135,42.1,23.74,0,321,28.77,24,34.8,4.39,45,65.2,7.91,0,69,6.18,162,64.3,29.61,90,35.7,15.82,0,252,22.58
40-49 ans        ,7501,56.3,1384.37,5824,43.7,1041.86,20,13345,1212.26,6855,5234,12109,8,36.4,1.48,14,63.6,2.50,0,22,2.00,205,38.2,37.83,332,61.8,59.39,0,537,48.78,46,32.2,8.49,97,67.8,17.35,0,143,12.99,159,40.4,29.34,235,59.6,42.04,0,394,35.79
50-59 ans        ,6541,53.5,1114.28,5680,46.5,954.56,8,12229,1034.56,5998,5075,11081,47,43.1,8.01,62,56.9,10.42,0,109,9.22,387,40.3,65.93,573,59.7,96.30,0,960,81.21,88,32.5,14.99,183,67.5,30.75,0,271,22.93,299,43.4,50.94,390,56.6,65.54,0,689,58.29
60-69 ans        ,3690,49.1,637.08,3829,50.9,673.57,4,7523,655.50,3214,3209,6427,139,38.9,24.00,218,61.1,38.35,0,357,31.11,534,41.0,92.20,767,59.0,134.92,0,1301,113.36,128,33.2,22.10,258,66.8,45.39,0,386,33.63,406,44.4,70.10,509,55.6,89.54,0,915,79.73
70-79 ans        ,3020,51.1,769.24,2886,48.9,799.21,1,5907,783.73,2301,2018,4320,478,43.8,121.75,614,56.2,170.03,0,1092,144.89,842,45.1,214.47,1024,54.9,283.57,0,1866,247.58,158,36.9,40.25,270,63.1,74.77,0,428,56.79,684,47.6,174.23,754,52.4,208.80,0,1438,190.79
80-89 ans        ,5022,63.9,2651.84,2843,36.1,2055.72,2,7867,2400.85,3303,1360,4664,1247,51.6,658.47,1170,48.4,846.01,1,2418,737.93,1310,55.6,691.74,1045,44.4,755.62,0,2355,718.70,93,47.7,49.11,102,52.3,73.75,0,195,59.51,1217,56.3,642.63,943,43.7,681.87,0,2160,659.19
