,Cas,,,,,,,,,Rétablissements,,,Décès,,,,,,,,,Hospitalisations incidentes,,,,,,,,,,,,,,,,,,,,,,,,,,
Groupe d'âge,Cas F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Cas H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Cas total CUMUL,Taux pour 100 000 CUMUL,Rétablis F CUMUL,Rétablis H CUMUL,Rétablis T CUMUL,Décès F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Décès H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Décès total CUMUL,Taux pour 100 000 CUMUL,Hospit totales INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit totales INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit totales INC T CUMUL,Taux pour 100 000 CUMUL,Hospit SI INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit SI INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit SI INC T CUMUL,Taux pour 100 000 CUMUL,Hospit hors SI INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit hors SI INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit hors SI INC T CUMUL,Taux pour 100 000 CUMUL
0-9 ans,1856,47.6,424.92,2043,52.4,446.86,1,3900,436.25,1597,1767,3365,0,          . ,0.00,0,          . ,0.00,0,0,0.00,19,31.7,4.35,41,68.3,8.97,0,60,6.71,3,27.3,0.69,8,72.7,1.75,0,11,1.23,16,32.7,3.66,33,67.3,7.22,0,49,5.48
10-19 ans,4362,51.4,1012.91,4131,48.6,922.70,3,8496,967.27,3780,3516,7299,0,0.0,0.00,1,100.0,0.22,0,1,0.11,26,52.0,6.04,24,48.0,5.36,0,50,5.69,3,37.5,0.70,5,62.5,1.12,0,8,0.91,23,54.8,5.34,19,45.2,4.24,0,42,4.78
20-29 ans,8453,54.4,1660.80,7086,45.6,1294.80,34,15573,1474.38,7865,6535,14432,1,33.3,0.20,2,66.7,0.37,0,3,0.28,136,67.7,26.72,65,32.3,11.88,0,201,19.03,18,51.4,3.54,17,48.6,3.11,0,35,3.31,118,71.1,23.18,48,28.9,8.77,0,166,15.72
30-39 ans,7151,55.3,1306.90,5780,44.7,1016.29,23,12954,1160.85,6553,5315,11892,4,66.7,0.73,2,33.3,0.35,0,6,0.54,192,58.4,35.09,137,41.6,24.09,0,329,29.48,24,34.3,4.39,46,65.7,8.09,0,70,6.27,168,64.9,30.70,91,35.1,16.00,0,259,23.21
40-49 ans,7849,56.2,1448.60,6129,43.8,1096.42,20,13998,1271.58,7171,5538,12729,9,39.1,1.66,14,60.9,2.50,0,23,2.09,209,38.0,38.57,341,62.0,61.00,0,550,49.96,46,31.3,8.49,101,68.7,18.07,0,147,13.35,163,40.4,30.08,240,59.6,42.93,0,403,36.61
50-59 ans,6808,53.3,1159.77,5963,46.7,1002.12,9,12780,1081.17,6249,5336,11593,47,43.1,8.01,62,56.9,10.42,0,109,9.22,397,40.5,67.63,584,59.5,98.15,0,981,82.99,88,32.4,14.99,184,67.6,30.92,0,272,23.01,309,43.6,52.64,400,56.4,67.22,0,709,59.98
60-69 ans,3853,49.0,665.22,4009,51.0,705.23,4,7866,685.39,3379,3404,6787,141,39.2,24.34,219,60.8,38.52,0,360,31.37,549,41.0,94.78,791,59.0,139.15,0,1340,116.76,129,32.7,22.27,265,67.3,46.62,0,394,34.33,420,44.4,72.51,526,55.6,92.53,0,946,82.43
70-79 ans,3125,51.0,795.99,3002,49.0,831.33,1,6128,813.05,2394,2121,4516,482,43.7,122.77,620,56.3,171.69,0,1102,146.21,871,45.2,221.86,1055,54.8,292.16,0,1926,255.54,165,36.8,42.03,283,63.2,78.37,0,448,59.44,706,47.8,179.83,772,52.2,213.79,0,1478,196.10
80-89 ans,5131,63.8,2709.40,2917,36.2,2109.23,2,8050,2456.70,3336,1373,4710,1254,51.6,662.17,1175,48.4,849.62,1,2430,741.59,1346,55.4,710.75,1082,44.6,782.37,0,2428,740.98,102,49.5,53.86,104,50.5,75.20,0,206,62.87,1244,56.0,656.89,978,44.0,707.17,0,2222,678.11
