,Cas,,,,,,,,,Rétablissements,,,Décès,,,,,,,,,Hospitalisations incidentes,,,,,,,,,,,,,,,,,,,,,,,,,,
Groupe d'âge,Cas F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Cas H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Cas total CUMUL,Taux pour 100 000 CUMUL,Rétablis F CUMUL,Rétablis H CUMUL,Rétablis T CUMUL,Décès F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Décès H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Décès total CUMUL,Taux pour 100 000 CUMUL,Hospit totales INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit totales INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit totales INC T CUMUL,Taux pour 100 000 CUMUL,Hospit SI INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit SI INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit SI INC T CUMUL,Taux pour 100 000 CUMUL,Hospit hors SI INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit hors SI INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit hors SI INC T CUMUL,Taux pour 100 000 CUMUL
0-9 ans,2200,47.4,503.68,2444,52.6,534.57,3,4647,519.81,1888,2092,3982,0,          . ,0.00,0,          . ,0.00,0,0,0.00,24,35.3,5.49,44,64.7,9.62,0,68,7.61,3,27.3,0.69,8,72.7,1.75,0,11,1.23,21,36.8,4.81,36,63.2,7.87,0,57,6.38
10-19 ans,5066,51.1,1176.39,4853,48.9,1083.96,3,9922,1129.62,4471,4241,8715,0,0.0,0.00,1,100.0,0.22,0,1,0.11,27,52.9,6.27,24,47.1,5.36,0,51,5.81,3,37.5,0.70,5,62.5,1.12,0,8,0.91,24,55.8,5.57,19,44.2,4.24,0,43,4.90
20-29 ans,9190,54.2,1805.60,7763,45.8,1418.51,33,16986,1608.16,8601,7244,15877,1,33.3,0.20,2,66.7,0.37,0,3,0.28,141,66.2,27.70,72,33.8,13.16,0,213,20.17,18,50.0,3.54,18,50.0,3.29,0,36,3.41,123,69.5,24.17,54,30.5,9.87,0,177,16.76
30-39 ans,7883,55.2,1440.68,6386,44.8,1122.84,23,14292,1280.75,7268,5878,13170,5,71.4,0.91,2,28.6,0.35,0,7,0.63,209,58.4,38.20,149,41.6,26.20,0,358,32.08,25,34.7,4.57,47,65.3,8.26,0,72,6.45,184,64.3,33.63,102,35.7,17.93,0,286,25.63
40-49 ans,8661,56.1,1598.46,6789,43.9,1214.49,21,15471,1405.39,7966,6213,14200,9,37.5,1.66,15,62.5,2.68,0,24,2.18,218,38.1,40.23,354,61.9,63.33,0,572,51.96,48,31.4,8.86,105,68.6,18.78,0,153,13.90,170,40.6,31.37,249,59.4,44.54,0,419,38.06
50-59 ans,7473,53.1,1273.05,6612,46.9,1111.19,10,14095,1192.42,6858,5988,12856,50,44.2,8.52,63,55.8,10.59,0,113,9.56,416,39.9,70.87,627,60.1,105.37,0,1043,88.24,89,31.7,15.16,192,68.3,32.27,0,281,23.77,327,42.9,55.71,435,57.1,73.10,0,762,64.46
60-69 ans,4236,48.8,731.34,4440,51.2,781.05,4,8680,756.31,3734,3807,7545,145,38.9,25.03,228,61.1,40.11,0,373,32.50,574,40.7,99.10,836,59.3,147.06,0,1410,122.86,138,33.6,23.83,273,66.4,48.02,0,411,35.81,436,43.6,75.28,563,56.4,99.04,0,999,87.05
70-79 ans,3393,51.0,864.25,3261,49.0,903.05,1,6655,882.98,2624,2321,4946,499,43.6,127.10,646,56.4,178.89,0,1145,151.92,936,45.3,238.41,1129,54.7,312.65,0,2065,273.98,171,36.3,43.56,300,63.7,83.08,0,471,62.49,765,48.0,194.86,829,52.0,229.57,0,1594,211.49
80-89 ans,5407,63.7,2855.14,3085,36.3,2230.71,2,8494,2592.20,3527,1504,5032,1279,51.3,675.37,1213,48.7,877.10,1,2493,760.81,1414,55.5,746.65,1132,44.5,818.53,0,2546,776.99,106,48.2,55.97,114,51.8,82.43,0,220,67.14,1308,56.2,690.68,1018,43.8,736.10,0,2326,709.85
