,Cas,,,,,,,,,Rétablissements,,,Décès,,,,,,,,,Hospitalisations incidentes,,,,,,,,,,,,,,,,,,,,,,,,,,
Groupe d'âge,Cas F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Cas H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Cas total CUMUL,Taux pour 100 000 CUMUL,Rétablis F CUMUL,Rétablis H CUMUL,Rétablis T CUMUL,Décès F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Décès H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Décès total CUMUL,Taux pour 100 000 CUMUL,Hospit totales INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit totales INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit totales INC T CUMUL,Taux pour 100 000 CUMUL,Hospit SI INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit SI INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit SI INC T CUMUL,Taux pour 100 000 CUMUL,Hospit hors SI INC F CUMUL,% F CUMUL,Taux pour 100 000 F CUMUL,Hospit hors SI INC H CUMUL,% H CUMUL,Taux pour 100 000 H CUMUL,Sexe inconnu CUMUL,Hospit hors SI INC T CUMUL,Taux pour 100 000 CUMUL
0-9 ans          ,1940,47.4,444.16,2156,52.6,471.57,1,4097,458.29,1678,1841,3520,0,          . ,0.00,0,          . ,0.00,0,0,0.00,21,33.9,4.81,41,66.1,8.97,0,62,6.94,3,27.3,0.69,8,72.7,1.75,0,11,1.23,18,35.3,4.12,33,64.7,7.22,0,51,5.70
10-19 ans        ,4582,51.3,1064.00,4350,48.7,971.61,2,8934,1017.13,3954,3683,7639,0,0.0,0.00,1,100.0,0.22,0,1,0.11,27,52.9,6.27,24,47.1,5.36,0,51,5.81,3,37.5,0.70,5,62.5,1.12,0,8,0.91,24,55.8,5.57,19,44.2,4.24,0,43,4.90
20-29 ans        ,8699,54.3,1709.13,7315,45.7,1336.65,34,16048,1519.35,8054,6696,14782,1,33.3,0.20,2,66.7,0.37,0,3,0.28,138,67.0,27.11,68,33.0,12.43,0,206,19.50,18,51.4,3.54,17,48.6,3.11,0,35,3.31,120,70.2,23.58,51,29.8,9.32,0,171,16.19
30-39 ans        ,7359,55.2,1344.91,5966,44.8,1049.00,23,13348,1196.16,6728,5448,12200,5,71.4,0.91,2,28.6,0.35,0,7,0.63,197,59.0,36.00,137,41.0,24.09,0,334,29.93,24,34.3,4.39,46,65.7,8.09,0,70,6.27,173,65.5,31.62,91,34.5,16.00,0,264,23.66
40-49 ans        ,8111,56.1,1496.96,6345,43.9,1135.06,21,14477,1315.10,7380,5716,13117,9,39.1,1.66,14,60.9,2.50,0,23,2.09,209,37.7,38.57,345,62.3,61.72,0,554,50.33,46,31.1,8.49,102,68.9,18.25,0,148,13.44,163,40.1,30.08,243,59.9,43.47,0,406,36.88
50-59 ans        ,7023,53.2,1196.39,6172,46.8,1037.25,9,13204,1117.04,6404,5513,11925,48,43.2,8.18,63,56.8,10.59,0,111,9.39,399,40.0,67.97,599,60.0,100.67,0,998,84.43,88,32.4,14.99,184,67.6,30.92,0,272,23.01,311,42.8,52.98,415,57.2,69.74,0,726,61.42
60-69 ans        ,3974,48.9,686.11,4146,51.1,729.33,4,8124,707.87,3465,3523,6992,141,39.0,24.34,221,61.0,38.88,0,362,31.54,558,41.0,96.34,802,59.0,141.08,0,1360,118.50,132,33.0,22.79,268,67.0,47.14,0,400,34.85,426,44.4,73.55,534,55.6,93.94,0,960,83.65
70-79 ans        ,3201,51.0,815.35,3072,49.0,850.72,1,6274,832.43,2440,2169,4610,486,43.7,123.79,626,56.3,173.36,0,1112,147.54,894,45.3,227.72,1078,54.7,298.53,0,1972,261.64,167,36.4,42.54,292,63.6,80.86,0,459,60.90,727,48.1,185.18,786,51.9,217.66,0,1513,200.74
80-89 ans        ,5202,63.7,2746.89,2963,36.3,2142.49,2,8167,2492.41,3391,1398,4790,1264,51.5,667.45,1188,48.5,859.02,1,2453,748.61,1364,55.4,720.25,1097,44.6,793.22,0,2461,751.05,104,48.4,54.92,111,51.6,80.26,0,215,65.61,1260,56.1,665.34,986,43.9,712.96,0,2246,685.44
