Régions sociosanitaires;27 septembre;28 septembre;29 septembre;30 septembre;Total des cas confirmés depuis le début de la pandémie
01 - Bas-Saint-Laurent;5;6;2;3;333
02 - Saguenay – Lac-Saint-Jean;7;10;6;10;443
03 - Capitale-Nationale;125;169;134;128;4 265
04 - Mauricie-et-Centre-du-Québec;23;40;12;36;2 468
05 - Estrie;28;23;8;28;1 798
06 - Montréal;245;234;318;319;34 055
07 - Outaouais;27;36;27;36;1 391
08 - Abitibi-Témiscamingue;2;1;2;7;207
09 - Côte-Nord;0;0;1;1;152
10 - Nord-du-Québec;0;0;0;0;8
11 - Gaspésie – Îles-de-la-Madeleine;15;21;9;18;384
12 - Chaudière-Appalaches;41;25;57;68;1 391
13 - Laval;73;64;78;73;7 233
14 - Lanaudière;40;24;40;32;5 307
15 - Laurentides;37;25;47;63;4 838
16 - Montérégie;81;121;97;108;10 870
17 - Nunavik;0;0;0;2;21
18 - Terres-Cries-de-la-Baie-James;0;0;0;0;13
Hors Québec;1;0;0;1;42
Région à déterminer;0;0;0;0;2
Total;750;799;838;933;75 221
