Régions sociosanitaires;8 novembre;9 novembre;10 novembre;11 novembre;12 novembre;13 novembre;14 novembre;Total des cas confirmés depuis le début de la pandémie
01 - Bas-Saint-Laurent;3;5;9;13;10;6;4;605
02 - Saguenay – Lac-Saint-Jean;94;89;198;197;82;108;113;2 911
03 - Capitale-Nationale;82;76;98;90;126;122;103;10 037
04 - Mauricie-et-Centre-du-Québec;81;78;86;106;101;101;84;5 859
05 - Estrie;54;85;59;73;78;76;82;3 595
06 - Montréal;285;253;318;325;317;341;313;46 583
07 - Outaouais;32;18;11;31;39;62;41;3 004
08 - Abitibi-Témiscamingue;0;2;0;2;0;0;0;256
09 - Côte-Nord;0;1;0;1;2;1;1;179
10 - Nord-du-Québec;1;2;1;1;3;1;1;33
11 - Gaspésie – Îles-de-la-Madeleine;25;19;17;17;29;23;14;1 221
12 - Chaudière-Appalaches;69;34;94;57;69;125;38;4 544
13 - Laval;109;66;86;76;71;79;88;10 295
14 - Lanaudière;164;173;166;138;151;183;103;9 515
15 - Laurentides;46;66;92;66;66;83;56;7 295
16 - Montérégie;123;192;144;172;155;138;169;17 800
17 - Nunavik;0;0;0;0;0;1;0;29
18 - Terres-Cries-de-la-Baie-James;0;0;0;0;2;-1;1;17
Hors Québec;1;3;-1;0;0;-1;0;73
Région à déterminer;0;0;0;0;0;0;0;3
Total;1169;1 162;1 378;1 365;1 301;1 448;1 211;123 854
