Régions sociosanitaires;8 novembre;9 novembre;Total des cas confirmés depuis le début de la pandémie
01 - Bas-Saint-Laurent;3;5;563
02 - Saguenay – Lac-Saint-Jean;94;89;2 213
03 - Capitale-Nationale;82;76;9 498
04 - Mauricie-et-Centre-du-Québec;81;78;5 381
05 - Estrie;54;85;3 227
06 - Montréal;285;253;44 969
07 - Outaouais;32;18;2 820
08 - Abitibi-Témiscamingue;0;2;254
09 - Côte-Nord;0;1;174
10 - Nord-du-Québec;1;2;26
11 - Gaspésie – Îles-de-la-Madeleine;25;19;1 121
12 - Chaudière-Appalaches;69;34;4 161
13 - Laval;109;66;9 895
14 - Lanaudière;164;173;8 774
15 - Laurentides;46;66;6 932
16 - Montérégie;123;192;17 022
17 - Nunavik;0;0;28
18 - Terres-Cries-de-la-Baie-James;0;0;15
Hors Québec;1;3;75
Région à déterminer;0;0;3
Total;1169;1 162;117 151
