Régions sociosanitaires;11 octobre;12 octobre;13 octobre;14 octobre;Total des cas confirmés depuis le début de la pandémie
01 - Bas-Saint-Laurent;4;1;2;-3;402
02 - Saguenay – Lac-Saint-Jean;38;13;25;17;665
03 - Capitale-Nationale;109;125;159;93;6 558
04 - Mauricie-et-Centre-du-Québec;67;42;48;77;3 217
05 - Estrie;28;28;27;31;2 178
06 - Montréal;309;278;189;296;38 427
07 - Outaouais;45;40;11;41;1 925
08 - Abitibi-Témiscamingue;-1;1;2;5;241
09 - Côte-Nord;1;0;2;0;162
10 - Nord-du-Québec;0;0;0;0;9
11 - Gaspésie – Îles-de-la-Madeleine;28;7;12;16;645
12 - Chaudière-Appalaches;91;76;58;79;2 370
13 - Laval;65;54;46;67;8 420
14 - Lanaudière;32;43;34;58;5 932
15 - Laurentides;55;50;46;49;5 620
16 - Montérégie;186;162;181;141;13 097
17 - Nunavik;0;2;2;2;28
18 - Terres-Cries-de-la-Baie-James;0;0;0;0;14
Hors Québec;-1;1;0;0;51
Région à déterminer;0;0;0;0;2
Total;1056;923;844;969;89 963
