Régions sociosanitaires;04-oct;05-oct;06-oct;07-oct;08-oct;09-oct;10-oct;Total des cas confirmés depuis le début de la pandémie
01 - Bas-Saint-Laurent;3;7;7;4;6;5;7;398
02 - Saguenay – Lac-Saint-Jean;20;9;17;23;11;19;14;571
03 - Capitale-Nationale;265;201;132;199;144;184;153;6 072
04 - Mauricie-et-Centre-du-Québec;57;27;39;60;74;69;51;2 983
05 - Estrie;25;6;23;25;38;40;32;2 060
06 - Montréal;329;442;269;290;345;277;227;37 346
07 - Outaouais;29;66;49;32;31;53;31;1 776
08 - Abitibi-Témiscamingue;-1;4;0;4;6;10;1;234
09 - Côte-Nord;2;0;1;1;0;-1;2;160
10 - Nord-du-Québec;-1;0;1;0;0;0;0;9
11 - Gaspésie – Îles-de-la-Madeleine;9;27;21;20;20;26;18;582
12 - Chaudière-Appalaches;68;88;73;64;67;65;63;2 068
13 - Laval;173;98;64;87;87;86;79;8 182
14 - Lanaudière;36;88;43;30;35;43;47;5 766
15 - Laurentides;57;74;49;70;54;51;48;5 414
16 - Montérégie;119;223;111;169;182;169;168;12 423
17 - Nunavik;0;0;1;0;0;1;0;23
18 - Terres-Cries-de-la-Baie-James;1;0;0;0;0;0;0;14
Hors Québec;0;4;0;0;2;0;1;50
Région à déterminer;0;0;0;0;0;0;0;2
Total;1 191;1 364;900;1 078;1 102;1 097;942;86 133
