Régions sociosanitaires;27 septembre;Total des cas confirmés depuis le début de la pandémie
01 - Bas-Saint-Laurent;5;322
02 - Saguenay – Lac-Saint-Jean;7;417
03 - Capitale-Nationale;125;3 834
04 - Mauricie-et-Centre-du-Québec;23;2 380
05 - Estrie;28;1 739
06 - Montréal;245;33 184
07 - Outaouais;27;1 292
08 - Abitibi-Témiscamingue;2;197
09 - Côte-Nord;0;150
10 - Nord-du-Québec;0;8
11 - Gaspésie – Îles-de-la-Madeleine;15;336
12 - Chaudière-Appalaches;41;1 241
13 - Laval;73;7 018
14 - Lanaudière;40;5 211
15 - Laurentides;37;4 703
16 - Montérégie;81;10 544
17 - Nunavik;0;19
18 - Terres-Cries-de-la-Baie-James;0;13
Hors Québec;1;41
Région à déterminer;0;2
Total;750;72 651
