Régions sociosanitaires;20 septembre;21 septembre;22 septembre;23 septembre;24 septembre;Total des cas confirmés depuis le début de la pandémie
01 - Bas-Saint-Laurent;11;9;7;7;12;300
02 - Saguenay – Lac-Saint-Jean;4;6;0;2;2;403
03 - Capitale-Nationale;92;92;95;103;132;3 483
04 - Mauricie-et-Centre-du-Québec;5;14;11;10;14;2 308
05 - Estrie;14;16;13;25;17;1 658
06 - Montréal;219;142;146;247;229;32 292
07 - Outaouais;31;11;17;36;20;1 230
08 - Abitibi-Témiscamingue;0;0;0;1;1;193
09 - Côte-Nord;1;0;1;0;2;150
10 - Nord-du-Québec;0;0;0;0;0;8
11 - Gaspésie – Îles-de-la-Madeleine;8;4;13;15;12;287
12 - Chaudière-Appalaches;50;46;33;24;38;1 098
13 - Laval;20;50;21;29;43;6 831
14 - Lanaudière;15;10;18;9;14;5 117
15 - Laurentides;39;25;26;20;16;4 593
16 - Montérégie;76;62;69;53;83;10 281
17 - Nunavik;0;0;1;0;0;19
18 - Terres-Cries-de-la-Baie-James;0;0;0;0;2;15
Hors Québec;1;2;0;1;0;39
Région à déterminer;0;0;0;0;0;2
Total;586;489;471;582;637;70 307
