Régions sociosanitaires;18 octobre;19 octobre;Total des cas confirmés depuis le début de la pandémie
01 - Bas-Saint-Laurent;2;1;415
02 - Saguenay – Lac-Saint-Jean;47;31;828
03 - Capitale-Nationale;272;92;7 507
04 - Mauricie-et-Centre-du-Québec;57;43;3 637
05 - Estrie;47;22;2 375
06 - Montréal;193;273;39 712
07 - Outaouais;39;49;2 111
08 - Abitibi-Témiscamingue;0;2;243
09 - Côte-Nord;0;1;167
10 - Nord-du-Québec;0;0;9
11 - Gaspésie – Îles-de-la-Madeleine;8;6;709
12 - Chaudière-Appalaches;48;47;2 684
13 - Laval;62;41;8 706
14 - Lanaudière;59;60;6 281
15 - Laurentides;32;41;5 847
16 - Montérégie;174;167;13 874
17 - Nunavik;0;0;28
18 - Terres-Cries-de-la-Baie-James;0;0;14
Hors Québec;-2;0;67
Région à déterminer;0;1;2
Total;1 038;877;95 216
