Régions sociosanitaires;04-oct;05-oct;06-oct;07-oct;08-oct;09-oct;Total des cas confirmés depuis le début de la pandémie
01 - Bas-Saint-Laurent;3;7;7;4;6;5;391
02 - Saguenay – Lac-Saint-Jean;20;9;17;23;11;19;557
03 - Capitale-Nationale;265;201;132;199;144;184;5 919
04 - Mauricie-et-Centre-du-Québec;57;27;39;60;74;69;2 932
05 - Estrie;25;6;23;25;38;40;2 028
06 - Montréal;329;442;269;290;345;277;37 119
07 - Outaouais;29;66;49;32;31;53;1 745
08 - Abitibi-Témiscamingue;-1;4;0;4;6;10;233
09 - Côte-Nord;2;0;1;1;0;-1;158
10 - Nord-du-Québec;-1;0;1;0;0;0;9
11 - Gaspésie – Îles-de-la-Madeleine;9;27;21;20;20;26;564
12 - Chaudière-Appalaches;68;88;73;64;67;65;2 005
13 - Laval;173;98;64;87;87;86;8 103
14 - Lanaudière;36;88;43;30;35;43;5 719
15 - Laurentides;57;74;49;70;54;51;5 366
16 - Montérégie;119;223;111;169;182;169;12 255
17 - Nunavik;0;0;1;0;0;1;23
18 - Terres-Cries-de-la-Baie-James;1;0;0;0;0;0;14
Hors Québec;0;4;0;0;2;0;49
Région à déterminer;0;0;0;0;0;0;2
Total;1 191;1 364;900;1 078;1 102;1 097;85 191
