Régions sociosanitaires;15 novembre;Total des cas confirmés depuis le début de la pandémie
01 - Bas-Saint-Laurent;4;609
02 - Saguenay – Lac-Saint-Jean;187;3 098
03 - Capitale-Nationale;75;10 112
04 - Mauricie-et-Centre-du-Québec;37;5 896
05 - Estrie;53;3 648
06 - Montréal;285;46 868
07 - Outaouais;58;3 062
08 - Abitibi-Témiscamingue;1;257
09 - Côte-Nord;2;181
10 - Nord-du-Québec;2;35
11 - Gaspésie – Îles-de-la-Madeleine;14;1 235
12 - Chaudière-Appalaches;57;4 601
13 - Laval;87;10 382
14 - Lanaudière;140;9 655
15 - Laurentides;73;7 368
16 - Montérégie;140;17 940
17 - Nunavik;0;29
18 - Terres-Cries-de-la-Baie-James;0;17
Hors Québec;3;76
Région à déterminer;0;3
Total;1 218;125 072
