Régions sociosanitaires;8 novembre;9 novembre;10 novembre;11 novembre;12 novembre;Total des cas confirmés depuis le début de la pandémie
01 - Bas-Saint-Laurent;3;5;9;13;10;595
02 - Saguenay – Lac-Saint-Jean;94;89;198;197;82;2 690
03 - Capitale-Nationale;82;76;98;90;126;9 812
04 - Mauricie-et-Centre-du-Québec;81;78;86;106;101;5 674
05 - Estrie;54;85;59;73;78;3 437
06 - Montréal;285;253;318;325;317;45 929
07 - Outaouais;32;18;11;31;39;2 901
08 - Abitibi-Témiscamingue;0;2;0;2;0;256
09 - Côte-Nord;0;1;0;1;2;177
10 - Nord-du-Québec;1;2;1;1;3;31
11 - Gaspésie – Îles-de-la-Madeleine;25;19;17;17;29;1 184
12 - Chaudière-Appalaches;69;34;94;57;69;4 381
13 - Laval;109;66;86;76;71;10 128
14 - Lanaudière;164;173;166;138;151;9 229
15 - Laurentides;46;66;92;66;66;7 156
16 - Montérégie;123;192;144;172;155;17 493
17 - Nunavik;0;0;0;0;0;28
18 - Terres-Cries-de-la-Baie-James;0;0;0;0;2;17
Hors Québec;1;3;-1;0;0;74
Région à déterminer;0;0;0;0;0;3
Total;1169;1 162;1 378;1 365;1 301;121 195
