Régions sociosanitaires;25 octobre;26 octobre;27 octobre;28 octobre;Total des cas confirmés depuis le début de la pandémie
01 - Bas-Saint-Laurent;7;6;12;4;471
02 - Saguenay – Lac-Saint-Jean;47;39;19;51;1 100
03 - Capitale-Nationale;91;129;59;119;8 631
04 - Mauricie-et-Centre-du-Québec;50;49;69;87;4 235
05 - Estrie;26;36;26;21;2 620
06 - Montréal;207;319;254;245;41 894
07 - Outaouais;15;24;43;40;2 371
08 - Abitibi-Témiscamingue;-1;0;0;1;248
09 - Côte-Nord;0;1;-1;1;172
10 - Nord-du-Québec;0;1;1;-2;9
11 - Gaspésie – Îles-de-la-Madeleine;20;14;17;15;876
12 - Chaudière-Appalaches;61;66;85;66;3 417
13 - Laval;32;31;56;67;9 171
14 - Lanaudière;80;80;101;130;7 096
15 - Laurentides;47;44;42;33;6 218
16 - Montérégie;127;122;146;151;15 203
17 - Nunavik;0;0;0;0;28
18 - Terres-Cries-de-la-Baie-James;0;0;0;0;14
Hors Québec;-1;2;0;1;67
Région à déterminer;0;0;0;0;3
Total;808;963;929;1 030;103 844
