Régions sociosanitaires;18 octobre;19 octobre;20 octobre;21 octobre;Total des cas confirmés depuis le début de la pandémie
01 - Bas-Saint-Laurent;2;1;1;3;419
02 - Saguenay – Lac-Saint-Jean;47;31;19;19;866
03 - Capitale-Nationale;272;92;190;168;7 865
04 - Mauricie-et-Centre-du-Québec;57;43;68;51;3 756
05 - Estrie;47;22;30;33;2 438
06 - Montréal;192;273;223;298;40 233
07 - Outaouais;38;49;20;32;2 163
08 - Abitibi-Témiscamingue;0;2;2;1;246
09 - Côte-Nord;0;1;1;0;168
10 - Nord-du-Québec;0;0;0;0;9
11 - Gaspésie – Îles-de-la-Madeleine;8;6;26;24;759
12 - Chaudière-Appalaches;48;47;98;88;2 870
13 - Laval;62;41;48;65;8 819
14 - Lanaudière;59;60;82;79;6 442
15 - Laurentides;32;41;51;37;5 935
16 - Montérégie;172;167;212;138;14 224
17 - Nunavik;0;0;1;-1;28
18 - Terres-Cries-de-la-Baie-James;0;0;0;0;14
Hors Québec;-2;0;0;-3;64
Région à déterminer;0;1;0;1;3
Total;1 034;877;1 072;1 033;97 321
