Régions sociosanitaires;22 novembre 2020;23 novembre 2020;24 novembre 2020;25 novembre 2020;Total des cas confirmés depuis le début de la pandémie
01 - Bas-Saint-Laurent;21;10;10;14;752
02 - Saguenay – Lac-Saint-Jean;161;104;148;211;4 725
03 - Capitale-Nationale;106;153;98;139;11 189
04 - Mauricie-et-Centre-du-Québec;53;78;66;117;6 639
05 - Estrie;62;40;40;116;4 349
06 - Montréal;294;284;219;336;49 584
07 - Outaouais;48;64;27;29;3 455
08 - Abitibi-Témiscamingue;0;0;2;5;265
09 - Côte-Nord;3;1;-1;2;201
10 - Nord-du-Québec;0;0;0;1;53
11 - Gaspésie – Îles-de-la-Madeleine;3;0;15;9;1 340
12 - Chaudière-Appalaches;40;34;64;50;5 113
13 - Laval;63;70;73;101;11 081
14 - Lanaudière;142;103;158;93;10 847
15 - Laurentides;41;37;27;54;7 764
16 - Montérégie;125;145;133;187;19 387
17 - Nunavik;0;0;-1;0;28
18 - Terres-Cries-de-la-Baie-James;0;0;0;0;16
Hors Québec;2;1;22;1;104
Région à déterminer;0;0;0;-1;2
Total;1 164;1 124;1 100;1 464;136 894
