Régions sociosanitaires;15 novembre;16 novembre;17 novembre;Total des cas confirmés depuis le début de la pandémie
01 - Bas-Saint-Laurent;4;4;13;626
02 - Saguenay – Lac-Saint-Jean;187;101;167;3 366
03 - Capitale-Nationale;75;49;84;10 245
04 - Mauricie-et-Centre-du-Québec;37;37;85;6 018
05 - Estrie;53;84;43;3 775
06 - Montréal;285;267;280;47 415
07 - Outaouais;58;39;60;3 161
08 - Abitibi-Témiscamingue;1;0;1;258
09 - Côte-Nord;2;4;0;185
10 - Nord-du-Québec;2;6;2;43
11 - Gaspésie – Îles-de-la-Madeleine;14;14;13;1 262
12 - Chaudière-Appalaches;57;44;65;4 710
13 - Laval;87;46;62;10 490
14 - Lanaudière;140;132;117;9 904
15 - Laurentides;73;20;52;7 440
16 - Montérégie;140;136;133;18 209
17 - Nunavik;0;0;1;30
18 - Terres-Cries-de-la-Baie-James;0;-1;0;16
Hors Québec;3;0;1;77
Région à déterminer;0;0;0;3
Total;1 218;982;1 179;127 233
