Régions sociosanitaires;22 novembre 2020;23 novembre 2020;24 novembre 2020;Total des cas confirmés depuis le début de la pandémie
01 - Bas-Saint-Laurent;21;10;10;738
02 - Saguenay – Lac-Saint-Jean;161;104;148;4 514
03 - Capitale-Nationale;106;153;98;11 050
04 - Mauricie-et-Centre-du-Québec;53;78;66;6 522
05 - Estrie;62;40;40;4 233
06 - Montréal;294;284;219;49 248
07 - Outaouais;48;64;27;3 426
08 - Abitibi-Témiscamingue;0;0;2;260
09 - Côte-Nord;3;1;-1;199
10 - Nord-du-Québec;0;0;0;52
11 - Gaspésie – Îles-de-la-Madeleine;3;0;15;1 331
12 - Chaudière-Appalaches;40;34;64;5 063
13 - Laval;63;70;73;10 980
14 - Lanaudière;142;103;158;10 754
15 - Laurentides;41;37;27;7 710
16 - Montérégie;125;145;133;19 200
17 - Nunavik;0;0;-1;28
18 - Terres-Cries-de-la-Baie-James;0;0;0;16
Hors Québec;2;1;22;103
Région à déterminer;0;0;0;3
Total;1 164;1 124;1 100;135 430
