Régions sociosanitaires;22 novembre;23 novembre;24 novembre;25 novembre;26 novembre;27 novembre;28 novembre;Total des cas confirmés depuis le début de la pandémie
01 - Bas-Saint-Laurent;21;10;10;14;20;20;10;802
02 - Saguenay – Lac-Saint-Jean;161;104;148;211;146;117;104;5 092
03 - Capitale-Nationale;106;153;98;139;132;128;167;11 616
04 - Mauricie-et-Centre-du-Québec;53;78;66;117;79;107;58;6 883
05 - Estrie;62;40;40;116;56;96;87;4 588
06 - Montréal;294;284;219;336;306;429;437;50 756
07 - Outaouais;48;64;27;29;36;33;30;3 554
08 - Abitibi-Témiscamingue;0;0;2;5;3;0;0;268
09 - Côte-Nord;3;1;-1;2;1;3;0;205
10 - Nord-du-Québec;0;0;0;1;0;1;0;54
11 - Gaspésie – Îles-de-la-Madeleine;3;0;15;9;8;12;6;1 366
12 - Chaudière-Appalaches;40;34;64;50;56;68;80;5 317
13 - Laval;63;70;73;101;82;85;120;11 368
14 - Lanaudière;142;103;158;93;110;120;95;11 172
15 - Laurentides;41;37;27;54;35;45;59;7 903
16 - Montérégie;125;145;133;187;198;215;137;19 937
17 - Nunavik;0;0;-1;0;0;0;0;28
18 - Terres-Cries-de-la-Baie-James;0;0;0;0;0;0;0;16
Hors Québec;2;1;22;1;2;1;5;110
Région à déterminer;0;0;0;-1;-1;0;0;3
Total;1 164;1 124;1 100;1 464;1 269;1 480;1 395;141 038
